setattrs_latency_avg,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
117,6.5e-05,6.1e-05,6.1e-05,6.3e-05,6.1e-05,6.1e-05,6.5e-05,6.4e-05,6.2e-05,6.2e-05,5.9e-05,6.6e-05,6.5e-05,6.2e-05,5.8e-05,6.1e-05,6e-05,5.9e-05,7.1e-05,6.7e-05,5.9e-05,6.9e-05,6.9e-05,6.7e-05,6.1e-05,6.4e-05,5.9e-05,6.4e-05,6.3e-05,5.9e-05,6.3e-05,5.9e-05
118,6.2e-05,5.5e-05,6.2e-05,6.2e-05,5.6e-05,5.7e-05,6.2e-05,5.8e-05,6.5e-05,5.6e-05,6.2e-05,6.2e-05,5e-05,5.3e-05,5.8e-05,6.3e-05,5.8e-05,6e-05,5.4e-05,5.2e-05,6.1e-05,5.9e-05,6.1e-05,6.2e-05,5.4e-05,5.8e-05,6e-05,5.8e-05,5.1e-05,5.3e-05,6e-05,6e-05
119,6.3e-05,7e-05,6.2e-05,7.2e-05,6.9e-05,8.1e-05,7.9e-05,6.5e-05,7e-05,7e-05,6.9e-05,7e-05,6.8e-05,7.1e-05,7.6e-05,7.6e-05,5.4e-05,5.9e-05,5.4e-05,5.6e-05,6.8e-05,6.3e-05,5.2e-05,4.9e-05,6.5e-05,6.5e-05,6.6e-05,7.3e-05,7.1e-05,6.9e-05,7.6e-05,7.1e-05
120,6.6e-05,6.4e-05,7.5e-05,7.3e-05,6.6e-05,7.2e-05,7.6e-05,6.8e-05,7.4e-05,7.4e-05,6.5e-05,7.2e-05,7.5e-05,7.3e-05,7.4e-05,6.8e-05,6.7e-05,7e-05,6.9e-05,7e-05,6e-05,7.1e-05,7.2e-05,6.5e-05,6.6e-05,6.4e-05,7.3e-05,6.6e-05,6.4e-05,6.7e-05,7.2e-05,7.8e-05
121,5.6e-05,5.5e-05,5.4e-05,5.4e-05,5.3e-05,5.6e-05,5.5e-05,5.5e-05,5.2e-05,5.5e-05,5.1e-05,5.1e-05,5.4e-05,5e-05,5.1e-05,4.9e-05,6.7e-05,6.5e-05,6.3e-05,6.2e-05,6.4e-05,6.3e-05,6.3e-05,6.4e-05,5.6e-05,5.3e-05,5.3e-05,5.1e-05,5.2e-05,5.4e-05,5.2e-05,5.4e-05
122,6.1e-05,5.4e-05,5.9e-05,5.8e-05,6.1e-05,6e-05,6.2e-05,6.4e-05,6.1e-05,5.7e-05,6.7e-05,5.8e-05,6.4e-05,6.2e-05,6e-05,6.5e-05,5.3e-05,5.4e-05,5.7e-05,5.5e-05,5.6e-05,5.5e-05,5.7e-05,5.5e-05,6.3e-05,6.1e-05,6e-05,5.7e-05,6.5e-05,6.3e-05,6.2e-05,5.9e-05
123,6.9e-05,6.1e-05,6.3e-05,7.3e-05,6.3e-05,5.7e-05,6.4e-05,6.5e-05,6e-05,5.9e-05,5.5e-05,6.3e-05,7.2e-05,5.9e-05,5.7e-05,5.1e-05,7e-05,6.7e-05,6.9e-05,7.7e-05,7.1e-05,6.8e-05,7.1e-05,6.7e-05,6.3e-05,6.3e-05,6.3e-05,5.6e-05,6.1e-05,6.5e-05,5.8e-05,6.3e-05
124,6e-05,6.5e-05,6.2e-05,5.7e-05,5.7e-05,5.3e-05,5.4e-05,5.7e-05,6.2e-05,5.9e-05,6.3e-05,6.6e-05,5.5e-05,5.7e-05,6e-05,6.3e-05,4.8e-05,5.2e-05,4.5e-05,4.5e-05,5.3e-05,4.7e-05,5.5e-05,5.5e-05,5.9e-05,6.2e-05,6.2e-05,5.8e-05,5.3e-05,5.4e-05,5.9e-05,5.9e-05
125,6.3e-05,7.2e-05,6.9e-05,6.6e-05,7.2e-05,6.9e-05,6.7e-05,6.8e-05,6.9e-05,5.8e-05,6.8e-05,7.1e-05,6.7e-05,6.9e-05,7.5e-05,6.6e-05,6.5e-05,6.3e-05,6.4e-05,6e-05,6.7e-05,7.5e-05,6.2e-05,5.8e-05,6.5e-05,6.5e-05,6.7e-05,6e-05,6.9e-05,6.9e-05,7e-05,6.8e-05
126,5.9e-05,5.2e-05,5.7e-05,5.9e-05,5.9e-05,6e-05,5.6e-05,5.9e-05,5.7e-05,5.8e-05,5.8e-05,5.7e-05,5.5e-05,6e-05,5.4e-05,6e-05,6.1e-05,5.9e-05,6.1e-05,5.9e-05,6.5e-05,5.4e-05,6.1e-05,5.7e-05,5.3e-05,5e-05,5.3e-05,5.3e-05,5.2e-05,5.6e-05,4.9e-05,5.4e-05
127,6.8e-05,5.9e-05,7e-05,6.6e-05,6.7e-05,6.9e-05,6.5e-05,6e-05,7.4e-05,7.4e-05,5.9e-05,6e-05,7e-05,6.7e-05,5.8e-05,5.5e-05,6e-05,5.9e-05,6.1e-05,5.5e-05,5.2e-05,5.6e-05,5.4e-05,5.5e-05,7.1e-05,6.7e-05,5.5e-05,5.7e-05,6.6e-05,6.8e-05,5.6e-05,5.7e-05
128,5.5e-05,4.7e-05,4.8e-05,5.5e-05,5e-05,5.5e-05,5.3e-05,5.4e-05,5.7e-05,5.4e-05,5.5e-05,6.2e-05,5.8e-05,5.2e-05,5.8e-05,5.9e-05,6.1e-05,6.9e-05,6.4e-05,6.5e-05,6.3e-05,6.3e-05,6.9e-05,7.3e-05,5.4e-05,5.6e-05,5.9e-05,5.5e-05,6e-05,5.9e-05,5.4e-05,5.6e-05
129,6.3e-05,6.8e-05,6.1e-05,5.9e-05,5.5e-05,5.5e-05,6e-05,6.1e-05,5.8e-05,5.9e-05,6.6e-05,6e-05,6.6e-05,6.4e-05,6e-05,7e-05,6.1e-05,6e-05,7.1e-05,6.7e-05,6.2e-05,6.6e-05,6.1e-05,6.2e-05,5.3e-05,6.1e-05,6e-05,5.5e-05,6.2e-05,5.9e-05,5.8e-05,5.7e-05
130,5.1e-05,5.3e-05,5.5e-05,6.6e-05,5.9e-05,5.7e-05,5.3e-05,5.7e-05,6e-05,6.3e-05,5.8e-05,6e-05,4.9e-05,5e-05,6e-05,5.9e-05,5.3e-05,5.8e-05,5.2e-05,4.9e-05,5.6e-05,5.4e-05,5.6e-05,5.7e-05,5.5e-05,5e-05,6e-05,5.9e-05,5.2e-05,5.6e-05,5.9e-05,5.8e-05
131,6.7e-05,5.9e-05,7.1e-05,7.1e-05,6.8e-05,6.6e-05,6.9e-05,6.7e-05,7.4e-05,7e-05,6.8e-05,7.5e-05,7e-05,6.6e-05,6.8e-05,7.3e-05,5.9e-05,5.9e-05,5.4e-05,5.6e-05,5.5e-05,5.6e-05,4.5e-05,4.7e-05,6.7e-05,6.9e-05,7.1e-05,7.7e-05,6.7e-05,7.2e-05,7.2e-05,7.1e-05
132,6.5e-05,5.8e-05,6.3e-05,6e-05,6.2e-05,6.4e-05,6.4e-05,5.8e-05,6.4e-05,5.9e-05,6.2e-05,6.3e-05,6.1e-05,6.2e-05,6e-05,5.6e-05,6.2e-05,6.6e-05,7e-05,7.1e-05,7.4e-05,6.8e-05,7e-05,6.6e-05,5.6e-05,5.5e-05,5.6e-05,6.1e-05,5.6e-05,5.6e-05,6.7e-05,7.1e-05
133,6.4e-05,6.3e-05,6.2e-05,6.9e-05,6.4e-05,6.3e-05,6.9e-05,5.7e-05,6.9e-05,6.7e-05,6.5e-05,6.9e-05,6.3e-05,6e-05,6.3e-05,5.8e-05,5.6e-05,6.2e-05,6.2e-05,6.1e-05,6.3e-05,6.2e-05,6.4e-05,6.5e-05,6.7e-05,6.7e-05,6.4e-05,6.4e-05,7.3e-05,6.1e-05,6.6e-05,6.3e-05
134,5.7e-05,4.9e-05,5.4e-05,5.3e-05,4.5e-05,5e-05,6.1e-05,5.8e-05,5.5e-05,5.4e-05,6.2e-05,5.9e-05,5.9e-05,6.3e-05,5.9e-05,5.6e-05,6.7e-05,7.1e-05,6e-05,6.2e-05,6.1e-05,6.1e-05,6.4e-05,6.7e-05,5.6e-05,5.7e-05,5.7e-05,5.2e-05,5.8e-05,5.9e-05,5.7e-05,5.7e-05
135,6e-05,6.2e-05,6e-05,6.2e-05,5.9e-05,5.5e-05,4.9e-05,5.1e-05,5.3e-05,5.5e-05,5.4e-05,5.6e-05,5.3e-05,5.9e-05,6e-05,6.5e-05,5.2e-05,5.2e-05,5.4e-05,5.5e-05,5.2e-05,5.2e-05,5.5e-05,5.4e-05,5.3e-05,5.3e-05,5.8e-05,5.4e-05,6.3e-05,6.2e-05,4.8e-05,5.2e-05
136,7.4e-05,7.8e-05,7.2e-05,6.8e-05,6.9e-05,6.7e-05,7e-05,7e-05,7.8e-05,7.3e-05,6.5e-05,6.9e-05,7.5e-05,7.8e-05,7.1e-05,7.4e-05,6.3e-05,6.1e-05,5.5e-05,5.6e-05,6e-05,6.3e-05,6.5e-05,6.7e-05,6.8e-05,7.2e-05,7.2e-05,7.4e-05,7e-05,7.4e-05,7.1e-05,7.1e-05
137,7.7e-05,7.2e-05,7.1e-05,7.9e-05,7.6e-05,7.5e-05,7.6e-05,8.1e-05,7.8e-05,7.7e-05,6.8e-05,7.3e-05,6.8e-05,7.7e-05,7.3e-05,7.6e-05,6.7e-05,6.8e-05,6.6e-05,6.4e-05,6.9e-05,7e-05,6.8e-05,7.4e-05,7e-05,7.4e-05,7.2e-05,7.5e-05,7.4e-05,7.3e-05,7.9e-05,7.5e-05
138,5.7e-05,5.9e-05,5.9e-05,6.3e-05,6.1e-05,6e-05,6.6e-05,6.3e-05,5.9e-05,5.5e-05,6.3e-05,5.8e-05,5.9e-05,5.8e-05,5.8e-05,6.1e-05,6.7e-05,7e-05,7e-05,6.8e-05,6.8e-05,8.2e-05,7.2e-05,7.4e-05,5.5e-05,5.3e-05,6.4e-05,6.2e-05,5.5e-05,5.2e-05,5.9e-05,5.7e-05
139,6.3e-05,5.8e-05,5.9e-05,6e-05,5.9e-05,6.5e-05,6e-05,5.8e-05,7.4e-05,7.2e-05,6e-05,5.6e-05,5.4e-05,5.5e-05,6.6e-05,6.1e-05,5.6e-05,5.8e-05,5.6e-05,5.1e-05,5e-05,5.3e-05,5.3e-05,5.5e-05,6.1e-05,6.1e-05,5.8e-05,6.8e-05,6.2e-05,6.5e-05,6.1e-05,6.4e-05
140,4.9e-05,4.8e-05,4.1e-05,5e-05,5.3e-05,5.5e-05,5.4e-05,4.6e-05,4.9e-05,4.8e-05,5e-05,5.2e-05,5.1e-05,4.8e-05,5.3e-05,5e-05,6.4e-05,6.4e-05,6.6e-05,5.9e-05,6.1e-05,6.6e-05,6.6e-05,6.7e-05,4.7e-05,4.6e-05,4.9e-05,4.9e-05,4.9e-05,4.9e-05,4.8e-05,4.8e-05
141,6.3e-05,5.8e-05,6e-05,6.4e-05,6.3e-05,6.2e-05,6.8e-05,5.8e-05,6.1e-05,6.8e-05,6.3e-05,6.2e-05,6.3e-05,6.2e-05,6.4e-05,6.4e-05,5e-05,5.2e-05,5.3e-05,5.2e-05,5.2e-05,5.4e-05,5.2e-05,5.3e-05,6.2e-05,5.8e-05,6.1e-05,6e-05,7e-05,6.7e-05,5.7e-05,5.8e-05
142,6.5e-05,5.6e-05,6.2e-05,6.3e-05,6e-05,5.6e-05,5.7e-05,5.6e-05,5.8e-05,5.9e-05,6.6e-05,6.3e-05,6.3e-05,5.7e-05,5.7e-05,6.4e-05,5.7e-05,6.6e-05,5.7e-05,5.8e-05,6e-05,6.4e-05,6e-05,6e-05,7.1e-05,6.8e-05,6.4e-05,5.6e-05,5.7e-05,5.9e-05,6e-05,6.1e-05
143,5.7e-05,5.8e-05,5.9e-05,5.7e-05,6.1e-05,6.6e-05,6.2e-05,6.1e-05,6.1e-05,5.9e-05,6.2e-05,6.3e-05,6.2e-05,6.7e-05,6.5e-05,5.7e-05,6.3e-05,6.8e-05,6.5e-05,6.2e-05,6.2e-05,5.6e-05,5.7e-05,6.5e-05,6.1e-05,6.2e-05,5.9e-05,6.1e-05,5.8e-05,6.1e-05,6.4e-05,6.1e-05
144,6.5e-05,6.3e-05,6.9e-05,6.5e-05,6.1e-05,6.2e-05,6.3e-05,5.7e-05,6.6e-05,6.5e-05,6.8e-05,6.6e-05,6.3e-05,5.3e-05,5.3e-05,5.5e-05,5.8e-05,6e-05,5.7e-05,5.8e-05,5.2e-05,5.1e-05,5e-05,5.7e-05,6.6e-05,5.8e-05,5.8e-05,5.5e-05,5.9e-05,6.4e-05,5.1e-05,6.2e-05
145,5.6e-05,5.4e-05,5.6e-05,6e-05,5.5e-05,5.5e-05,5.5e-05,5.3e-05,5.4e-05,4.9e-05,5.8e-05,5.4e-05,5.4e-05,5.9e-05,5.9e-05,5.2e-05,6.4e-05,6.1e-05,6e-05,5.9e-05,6e-05,5.3e-05,5.7e-05,5.4e-05,5.7e-05,5.6e-05,6.5e-05,5.8e-05,5.4e-05,5.5e-05,5.6e-05,5e-05
146,4.8e-05,5.3e-05,4.4e-05,5e-05,5.4e-05,5.7e-05,5.4e-05,5.5e-05,4.9e-05,5e-05,4.8e-05,4.4e-05,4.8e-05,4.4e-05,5.3e-05,5.7e-05,4.6e-05,5.2e-05,6e-05,5.8e-05,5.8e-05,5.8e-05,6.4e-05,5.6e-05,5e-05,4.3e-05,5.3e-05,5.6e-05,5.2e-05,5.1e-05,4.9e-05,4.9e-05
147,6.6e-05,6e-05,6.8e-05,7.1e-05,6.7e-05,6.1e-05,7.2e-05,6.8e-05,6.8e-05,6.6e-05,6.8e-05,6.2e-05,6.7e-05,6.6e-05,6.7e-05,6.7e-05,5.6e-05,5.9e-05,5.8e-05,5.9e-05,5.6e-05,5.7e-05,5.9e-05,5.8e-05,6.9e-05,6.6e-05,6.9e-05,7.1e-05,6.3e-05,7.2e-05,7e-05,6.4e-05
148,6.9e-05,7.2e-05,6.4e-05,7e-05,7.5e-05,6.8e-05,7.1e-05,7.1e-05,6.8e-05,6.7e-05,6.7e-05,7e-05,6.6e-05,6.9e-05,6.7e-05,6.9e-05,6.3e-05,6.4e-05,6.6e-05,6.5e-05,6.9e-05,6.7e-05,6.9e-05,6.9e-05,6.2e-05,7.2e-05,7.3e-05,6.6e-05,6.8e-05,6.3e-05,6.8e-05,7.1e-05
149,6.4e-05,6.3e-05,6.5e-05,6.7e-05,6.4e-05,6.4e-05,6.7e-05,6.9e-05,7e-05,6.6e-05,6e-05,6.4e-05,6e-05,6.7e-05,6.4e-05,6.7e-05,6.3e-05,6.7e-05,6.2e-05,6.1e-05,6.7e-05,6e-05,6.2e-05,7e-05,6.2e-05,6.3e-05,6.9e-05,6.2e-05,7.1e-05,6.8e-05,6.4e-05,7.3e-05
150,6e-05,6.2e-05,6e-05,6e-05,5.8e-05,5.7e-05,5.4e-05,6.2e-05,6.2e-05,5.7e-05,6.2e-05,6.2e-05,6.2e-05,6.2e-05,5.8e-05,5.5e-05,6.2e-05,6.1e-05,6.7e-05,6.5e-05,6.1e-05,6.1e-05,6e-05,6.1e-05,5.8e-05,6.1e-05,5.8e-05,5.8e-05,5.6e-05,5.3e-05,5.6e-05,5.6e-05
151,5.1e-05,5e-05,5.5e-05,5.7e-05,6.1e-05,5.7e-05,6e-05,5.1e-05,5.1e-05,5.1e-05,5.2e-05,4.8e-05,5.6e-05,5.3e-05,5.1e-05,5.5e-05,6e-05,6.1e-05,5.8e-05,5.5e-05,6e-05,5.5e-05,5.7e-05,5.7e-05,5.3e-05,5.7e-05,5.6e-05,5e-05,5.4e-05,5.5e-05,5.2e-05,4.8e-05
152,5.2e-05,5.6e-05,5.7e-05,5.8e-05,5.2e-05,6.1e-05,5.2e-05,5.6e-05,5.6e-05,5.5e-05,5.9e-05,5.8e-05,5.4e-05,5.6e-05,6.4e-05,6.1e-05,5e-05,5.5e-05,5.9e-05,5.8e-05,5.3e-05,5.5e-05,5.6e-05,5.5e-05,5.5e-05,5.3e-05,5.9e-05,5.7e-05,6.1e-05,6.2e-05,5.5e-05,5.9e-05
153,7.8e-05,6.9e-05,7.2e-05,7.5e-05,6.7e-05,7.2e-05,7.4e-05,7.3e-05,7.6e-05,7.3e-05,7.3e-05,7.7e-05,7.4e-05,6.6e-05,6.9e-05,6.8e-05,5.5e-05,5.9e-05,6.4e-05,5.1e-05,6.5e-05,5.8e-05,5.3e-05,5.8e-05,7.7e-05,7.2e-05,7.8e-05,7.7e-05,7e-05,6.6e-05,7.1e-05,7.6e-05
154,6.6e-05,7.1e-05,6.9e-05,6.4e-05,6.4e-05,7.1e-05,6.8e-05,6.7e-05,6.5e-05,7.3e-05,7e-05,6.9e-05,6.7e-05,6.9e-05,6.4e-05,6.5e-05,7.5e-05,7.4e-05,7.5e-05,6.8e-05,7.9e-05,7.1e-05,7.5e-05,7.1e-05,6.6e-05,7e-05,6.8e-05,6.5e-05,6.6e-05,6.9e-05,7.7e-05,7.1e-05
155,5.9e-05,5.9e-05,5.9e-05,6.1e-05,5.9e-05,6e-05,6.1e-05,5.8e-05,5.6e-05,6e-05,6.1e-05,5.9e-05,6.4e-05,6e-05,5.6e-05,6.1e-05,5.8e-05,5.8e-05,6e-05,6e-05,6.1e-05,6.8e-05,5.8e-05,6.1e-05,6.1e-05,5.9e-05,5.6e-05,6.1e-05,6e-05,6.2e-05,5.9e-05,5.9e-05
156,6.1e-05,5.5e-05,5.9e-05,6.2e-05,5.3e-05,5.8e-05,5.9e-05,6.1e-05,6.1e-05,5.8e-05,6.3e-05,5.9e-05,6.2e-05,6.3e-05,6e-05,5.7e-05,6.5e-05,5.8e-05,7e-05,5.8e-05,6.4e-05,5.7e-05,5.9e-05,6e-05,6.3e-05,5.3e-05,5.3e-05,5.6e-05,5.5e-05,6.1e-05,7e-05,6.7e-05
157,4.8e-05,5.7e-05,4.5e-05,4.4e-05,5.3e-05,5e-05,5.4e-05,4.8e-05,4.3e-05,4.2e-05,4.6e-05,4.5e-05,4.7e-05,4.7e-05,5.1e-05,4.9e-05,5.7e-05,6.1e-05,5.2e-05,5.5e-05,5.4e-05,5.5e-05,5.5e-05,5.4e-05,5.1e-05,5.1e-05,5.1e-05,4.9e-05,5.2e-05,5.4e-05,4.9e-05,4.9e-05
158,6.4e-05,5.7e-05,6e-05,5.9e-05,7.7e-05,5.4e-05,5.1e-05,5.3e-05,5.8e-05,5.6e-05,5.9e-05,6e-05,5.7e-05,5.3e-05,6.2e-05,6.3e-05,5e-05,5.3e-05,5.3e-05,5.4e-05,5.1e-05,5.3e-05,5.2e-05,5.4e-05,5.8e-05,5.9e-05,5.9e-05,6e-05,6.2e-05,6e-05,5.4e-05,5.3e-05
159,7.3e-05,7.3e-05,7.6e-05,7.6e-05,7.3e-05,6.5e-05,7.6e-05,6.8e-05,8.2e-05,7.7e-05,7.5e-05,7.9e-05,7.3e-05,7.3e-05,7e-05,7.3e-05,5.7e-05,5.6e-05,5.6e-05,5.5e-05,5.7e-05,5.9e-05,5.6e-05,6.5e-05,6.8e-05,7.3e-05,7.6e-05,7e-05,7.8e-05,6.6e-05,7.5e-05,7.2e-05
160,5.2e-05,5.2e-05,5.4e-05,5.5e-05,5.3e-05,5.6e-05,4.8e-05,5.2e-05,5.5e-05,5e-05,5.3e-05,5.4e-05,5.5e-05,5.6e-05,4.5e-05,4.9e-05,7.6e-05,7.3e-05,6.8e-05,6.4e-05,7.6e-05,7.2e-05,7.7e-05,7.2e-05,5.3e-05,5.2e-05,5.2e-05,4.9e-05,5.3e-05,4.8e-05,5.1e-05,4.7e-05
161,6.6e-05,6.4e-05,6.4e-05,6.5e-05,6.5e-05,6.6e-05,6.5e-05,6.7e-05,6.9e-05,6.4e-05,6.5e-05,6.9e-05,6.4e-05,7.3e-05,6.6e-05,6.2e-05,5.3e-05,5.5e-05,5.2e-05,5e-05,5.1e-05,4.8e-05,4e-05,4.2e-05,5.8e-05,6.1e-05,7.7e-05,6.7e-05,6.1e-05,6.3e-05,5.8e-05,6.4e-05
162,5.2e-05,5.5e-05,6.2e-05,6.3e-05,6e-05,5.5e-05,6.4e-05,6.2e-05,6.2e-05,6.1e-05,6.2e-05,5.9e-05,5.7e-05,5.3e-05,5.5e-05,6.1e-05,6.8e-05,6.3e-05,6.3e-05,6e-05,6.1e-05,6.2e-05,6.2e-05,6.2e-05,5e-05,5.7e-05,4.6e-05,4.6e-05,5.5e-05,6e-05,6.2e-05,5.6e-05
163,6.5e-05,6.6e-05,4.6e-05,4.4e-05,6.1e-05,6.1e-05,7.6e-05,4.9e-05,6.4e-05,5.7e-05,5.6e-05,5.2e-05,5.9e-05,5.2e-05,6.7e-05,6.4e-05,4.3e-05,4.7e-05,5.2e-05,6.1e-05,5.2e-05,5.1e-05,4.9e-05,5.3e-05,5.7e-05,5.2e-05,5.2e-05,5e-05,5.6e-05,5.3e-05,4.2e-05,4.3e-05
164,5.5e-05,6e-05,6.4e-05,6.6e-05,5.8e-05,4.8e-05,5.1e-05,5.6e-05,5.4e-05,5.3e-05,5.2e-05,5.4e-05,5.9e-05,6.1e-05,5.5e-05,5.6e-05,7.3e-05,7.5e-05,6.9e-05,7.4e-05,7.3e-05,7.7e-05,6.1e-05,7e-05,6.8e-05,6.2e-05,6.4e-05,6.7e-05,6.2e-05,6.7e-05,6.2e-05,6.4e-05
165,5.9e-05,6.4e-05,6.7e-05,6.8e-05,6.5e-05,6.5e-05,6.4e-05,7e-05,6.9e-05,6.4e-05,7e-05,6.7e-05,6.8e-05,6.2e-05,7e-05,7e-05,4.8e-05,4.7e-05,4.2e-05,4.5e-05,5e-05,4.6e-05,4.9e-05,5.4e-05,6.9e-05,8.2e-05,6.7e-05,7.2e-05,5.9e-05,7e-05,7e-05,8.4e-05
166,6e-05,6.2e-05,6e-05,5.7e-05,5.7e-05,5.4e-05,6.2e-05,5.2e-05,5.8e-05,5.6e-05,5.4e-05,5.7e-05,5.5e-05,5.3e-05,5.6e-05,5.6e-05,6.7e-05,6.9e-05,6.1e-05,6e-05,6.4e-05,6.7e-05,6.1e-05,6.4e-05,5.5e-05,5.1e-05,5.3e-05,5.2e-05,4.9e-05,4.7e-05,4.9e-05,5e-05
167,5.6e-05,5.9e-05,6.2e-05,6e-05,6.3e-05,6e-05,6.2e-05,5.6e-05,6e-05,5.6e-05,6.1e-05,6.3e-05,5.9e-05,5.8e-05,5.8e-05,6.3e-05,5.8e-05,6.9e-05,6.1e-05,5.8e-05,5.4e-05,5.9e-05,5.8e-05,5.6e-05,5.7e-05,6.2e-05,6e-05,5.9e-05,6.1e-05,6e-05,5.9e-05,6e-05
168,6.5e-05,5.9e-05,5.6e-05,6.1e-05,6.3e-05,6e-05,6.3e-05,6.6e-05,7.1e-05,6.5e-05,6.5e-05,6.4e-05,6e-05,6.9e-05,6.7e-05,6.5e-05,5.9e-05,6.5e-05,6.2e-05,6.3e-05,5.5e-05,5.1e-05,6e-05,5.9e-05,6e-05,6.4e-05,5.8e-05,6.6e-05,6.6e-05,6.4e-05,5.2e-05,5.7e-05
169,5.8e-05,6.2e-05,6.2e-05,6e-05,6.2e-05,6.2e-05,6e-05,6.5e-05,6.6e-05,6.8e-05,6.2e-05,6.9e-05,5.7e-05,6.1e-05,6e-05,6.5e-05,6.1e-05,6.5e-05,7.4e-05,6.8e-05,6.6e-05,6.6e-05,6.8e-05,6.9e-05,6.5e-05,6.7e-05,7.1e-05,6.7e-05,6.8e-05,7.3e-05,6.5e-05,6.6e-05
170,5.7e-05,5.3e-05,4.9e-05,4.8e-05,4.9e-05,4.6e-05,5e-05,4.9e-05,5.2e-05,4.6e-05,5.2e-05,4.9e-05,5.3e-05,4.9e-05,5.5e-05,5.6e-05,6e-05,5.9e-05,5.8e-05,5.5e-05,5.6e-05,6.3e-05,6.3e-05,5.6e-05,5.9e-05,5.6e-05,5.4e-05,5.4e-05,5.3e-05,5.2e-05,5.2e-05,5e-05
171,7.7e-05,7.6e-05,8e-05,7.2e-05,7.2e-05,7.2e-05,7.6e-05,7.6e-05,7.5e-05,7.5e-05,7.8e-05,7.3e-05,7.1e-05,8e-05,8.8e-05,7.9e-05,5.7e-05,5.5e-05,4.9e-05,4.3e-05,5.9e-05,5.1e-05,5.5e-05,5.8e-05,7.8e-05,8e-05,7.2e-05,8e-05,8.1e-05,7.8e-05,8e-05,7.6e-05
172,5.8e-05,5.9e-05,5.7e-05,5.6e-05,5.8e-05,6.6e-05,6.7e-05,5.9e-05,6.4e-05,5.9e-05,6.3e-05,5.8e-05,6.2e-05,6.9e-05,5.8e-05,5.9e-05,8.2e-05,8.9e-05,8.7e-05,8.3e-05,7.7e-05,8e-05,7.6e-05,7.8e-05,6.8e-05,6.1e-05,6.2e-05,5.9e-05,6.7e-05,6.1e-05,6.7e-05,6.4e-05
173,5.1e-05,5.2e-05,5e-05,5.2e-05,5.2e-05,5.1e-05,5.2e-05,5.3e-05,5.3e-05,4.9e-05,5e-05,5e-05,4.8e-05,4.6e-05,4.7e-05,5.1e-05,5.6e-05,5.5e-05,5.4e-05,5.2e-05,5.7e-05,5.5e-05,5.1e-05,5.1e-05,4.7e-05,4.8e-05,4.7e-05,4.7e-05,5e-05,5.2e-05,4.6e-05,4.7e-05
174,6e-05,6.5e-05,5.8e-05,6.5e-05,6.4e-05,6.5e-05,6.8e-05,6.2e-05,7.8e-05,6.5e-05,6.1e-05,5.9e-05,6e-05,5.9e-05,6.2e-05,6.4e-05,4.9e-05,4.7e-05,5.6e-05,5.3e-05,4.6e-05,4.7e-05,4.7e-05,5e-05,6.4e-05,5.8e-05,6.3e-05,6.1e-05,6.5e-05,7.1e-05,6e-05,5.7e-05
175,6.4e-05,5.6e-05,5.9e-05,5.7e-05,6.1e-05,6.2e-05,5.2e-05,5.3e-05,5.9e-05,5.5e-05,5.8e-05,5.7e-05,5.5e-05,5.6e-05,6.1e-05,5.6e-05,5.8e-05,6.2e-05,6.9e-05,6.8e-05,6.3e-05,6.5e-05,6.7e-05,6.3e-05,5.9e-05,5.9e-05,5.8e-05,5.6e-05,5.9e-05,5.9e-05,5.1e-05,5.7e-05
176,6.6e-05,6e-05,6e-05,6.3e-05,5.5e-05,5.8e-05,6.5e-05,6e-05,5.6e-05,6.2e-05,5.7e-05,5.6e-05,6.2e-05,6.2e-05,6.4e-05,6.3e-05,5.5e-05,6.4e-05,5.6e-05,5.4e-05,5.9e-05,5.6e-05,5.7e-05,6e-05,5.9e-05,6.1e-05,6.1e-05,5.8e-05,6.2e-05,6.8e-05,6.2e-05,5.7e-05
