op_w_in_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
251,2076876800,2271404032,2196275200,2032840704,2067603456,2302140416,2149289984,2070827008,2105438208,2273914880,2134683648,2199678976,2098241536,2221371392,2120339456,2201108480,2165063680,2147295232,2180702208,2139750400,2069012480,2126147584,2172170240,2103685120,2241429504,2156240896,2235715584,2251972608,2098073600,2096422912,2412863488,2151284736
252,2085199872,2280697856,2205523968,2040578048,2075312128,2310516736,2157223936,2079371264,2113720320,2281914368,2142674944,2208026624,2105327616,2229927936,2128814080,2209300480,2174726144,2156736512,2189651968,2148790272,2077560832,2135838720,2180763648,2112135168,2249224192,2164944896,2245099520,2260803584,2107572224,2105159680,2423070720,2160713728
253,2092875776,2288660480,2213048320,2047606784,2082725888,2319540224,2165592064,2086322176,2121986048,2290204672,2151284736,2217607168,2113794048,2238959616,2136764416,2217910272,2182459392,2164580352,2198958080,2156482560,2085613568,2143293440,2190155776,2120232960,2257870848,2172559360,2252558336,2269306880,2114748416,2112856064,2431840256,2168680448
254,2103025664,2299326464,2223263744,2056642560,2092449792,2331262976,2175385600,2096218112,2130931712,2300551168,2162552832,2226053120,2123026432,2248400896,2145886208,2229059584,2189971456,2172547072,2206404608,2164969472,2093613056,2150948864,2197811200,2127884288,2268635136,2183102464,2263580672,2279546880,2125283328,2122645504,2443292672,2178347008
255,2110873600,2308489216,2232705024,2065367040,2101121024,2339246080,2183766016,2104610816,2138234880,2307969024,2167828480,2233835520,2129743872,2255687680,2152513536,2235117568,2199486464,2182602752,2216054784,2174377984,2101977088,2160422912,2207756288,2137317376,2277326848,2191179776,2271465472,2288545792,2132942848,2130739200,2452316160,2186600448
256,2117496832,2315939840,2239922176,2071769088,2108051456,2346889216,2191020032,2111565824,2146545664,2316775424,2175823872,2242236416,2138443776,2264793088,2161049600,2243358720,2208579584,2190913536,2224726016,2183376896,2110345216,2169036800,2216263680,2145964032,2285043712,2198339584,2278682624,2296442880,2140319744,2137477120,2460463104,2193842176
257,2126741504,2326044672,2249826304,2081185792,2117267456,2357071872,2200256512,2121003008,2154328064,2325131264,2183258112,2249965568,2145599488,2272473088,2168422400,2251427840,2215448576,2198302720,2232283136,2190741504,2117115904,2176258048,2223534080,2152943616,2295287808,2208018432,2288861184,2305794048,2149302272,2146971648,2470596608,2202873856
258,2133000192,2332889088,2255474688,2086629376,2123018240,2364223488,2206982144,2126778368,2161987584,2335244288,2190909440,2259898368,2152964096,2281934848,2176884736,2261225472,2225569792,2208051200,2242306048,2200006656,2126729216,2184851456,2233774080,2162135040,2301685760,2214543360,2295603200,2312622080,2155622400,2153435136,2478120960,2210037760
259,2140577792,2340880384,2264317952,2094456832,2131091456,2372636672,2215206912,2134695936,2169298944,2341093376,2198409216,2265948160,2160168960,2287890432,2183917568,2267353088,2232061952,2214473728,2248523776,2206662656,2132213760,2191683584,2239897600,2168815616,2309357568,2221985792,2303295488,2320719872,2163109888,2160537600,2485968896,2216947712
260,2150256640,2351800320,2274902016,2103250944,2140934144,2382573568,2225336320,2144083968,2179559424,2352521216,2208665600,2276421632,2170867712,2299277312,2194223104,2278031360,2239582208,2222477312,2255912960,2213986304,2139992064,2199457792,2247962624,2176110592,2321199104,2233425920,2314194944,2331136000,2173771776,2171068416,2498011136,2228322304
261,2159546368,2359463936,2283794432,2111537152,2148159488,2392100864,2232909824,2151780352,2187984896,2361532416,2217136128,2285256704,2179248128,2308136960,2202812416,2286817280,2249560064,2232446976,2265714688,2223464448,2148675584,2209398784,2258288640,2186420224,2329174016,2240573440,2322436096,2339516416,2180313088,2178428928,2506444800,2235101184
262,2166607872,2369126400,2291277824,2119786496,2156584960,2401386496,2241921024,2160345088,2194587648,2368385024,2223796224,2291978240,2186014720,2315345920,2209701888,2294018048,2257334272,2240315392,2274181120,2231414784,2157117440,2217156608,2266353664,2193149952,2338439168,2249977856,2331598848,2349277184,2189504512,2187264000,2516815872,2244325376
263,2176077824,2379214848,2301947904,2129166336,2165395456,2412154880,2250571776,2169688064,2203729920,2377621504,2233274368,2301796352,2194792448,2326011904,2219511808,2304188416,2266923008,2249719808,2283151360,2240974848,2165735424,2226462720,2275819520,2202091520,2348154880,2259173376,2341588992,2359214080,2198298624,2196451328,2528067584,2254352384
264,2182332416,2385653760,2307440640,2134548480,2172174336,2418139136,2257506304,2175385600,2213068800,2387521536,2242236416,2310893568,2204241920,2334179328,2227187712,2312929280,2276442112,2259349504,2292649984,2250014720,2176188416,2236862464,2285912064,2211127296,2355044352,2265747456,2349363200,2366681088,2205294592,2204934144,2535833600,2261078016
265,2190659584,2395426816,2316914688,2143084544,2180984832,2428239872,2266415104,2184290304,2220756992,2396065792,2249482240,2319327232,2211303424,2342379520,2234232832,2320539648,2282004480,2265149440,2298650624,2256928768,2181136384,2241822720,2291372032,2217127936,2364313600,2274521088,2357895168,2375884800,2213384192,2211844096,2544873472,2270052352
266,2198249472,2403373056,2324905984,2150809600,2188414976,2436857856,2274861056,2191765504,2228649984,2403663872,2256908288,2327031808,2219413504,2350034944,2242670592,2329169920,2291003392,2273730560,2308132864,2265550848,2189676544,2251165696,2300428288,2226003968,2372538368,2282782720,2366738432,2383958016,2221633536,2219544576,2553741312,2277974016
267,2206134272,2411061248,2333085696,2158149632,2195836928,2444529664,2282819584,2199064576,2234875904,2410831872,2264166400,2333728768,2225782784,2357293056,2249207808,2335883264,2299240448,2282369024,2316275712,2273751040,2197016576,2259296256,2308931584,2233921536,2380021760,2289545216,2373701632,2392121344,2228486144,2226876416,2562011136,2285662208
268,2215854080,2421161984,2342883328,2167476224,2205601792,2455445504,2292957184,2209083392,2244100096,2421116928,2273771520,2343690240,2234880000,2367705088,2258534400,2346061824,2307084288,2289897472,2324328448,2281508864,2204643328,2266779648,2316464128,2241462272,2390306816,2299277312,2384003072,2401828864,2237603840,2236542976,2573008896,2295222272
269,2223243264,2430230528,2350948352,2174758912,2213453824,2463850496,2301059072,2216251392,2255335424,2432204800,2284310528,2353668096,2245156864,2378010624,2269229056,2356502528,2317291520,2299363328,2334126080,2291322880,2214084608,2276966400,2327072768,2250895360,2399641600,2307751936,2392948736,2410516480,2245214208,2244808704,2581897216,2303221760
270,2232733696,2440024064,2360123392,2183729152,2222649344,2473017344,2310017024,2224799744,2263412736,2440847360,2292686848,2362716160,2253414400,2387202048,2277441536,2364436480,2325155840,2307227648,2342166528,2299375616,2221772800,2283630592,2333990912,2258997248,2408062976,2316763136,2401943552,2420482048,2254729216,2253799424,2593001472,2313011200
271,2239950848,2449059840,2369404928,2192334848,2231283712,2481881088,2317803520,2231988224,2270384128,2448654336,2299617280,2369703936,2259832832,2394144768,2284507136,2371592192,2333773824,2315886592,2350698496,2308145152,2230235136,2292051968,2343690240,2267316224,2417418240,2325164032,2411257856,2429898752,2263044096,2262450176,2602500096,2320871424
272,2247749632,2457128960,2376822784,2199138304,2236907520,2489835520,2325901312,2239746048,2278719488,2458750976,2308247552,2378641408,2268225536,2402705408,2293084160,2380345344,2342600704,2325082112,2359422976,2316161024,2238644224,2300551168,2351808512,2275573760,2424946688,2332831744,2418810880,2437799936,2270715904,2269290496,2611048448,2328502272
273,2256834560,2467991552,2387202048,2208567296,2247495680,2500804608,2335080448,2248978432,2287624192,2468069376,2318610432,2388901888,2278227968,2412040192,2301829120,2389921792,2350125056,2333102080,2367012864,2324131840,2245611520,2308120576,2359365632,2283364352,2435473408,2342686720,2429677568,2448355328,2280308736,2279141376,2622124032,2338803712
274,2267234304,2478985216,2396950528,2217742336,2259013632,2511114240,2345058304,2258264064,2296688640,2477977600,2326953984,2397388800,2286514176,2421690368,2310647808,2399014912,2360500224,2343178240,2378018816,2334076928,2255151104,2319392768,2370330624,2292932608,2446909440,2354094080,2440212480,2458808320,2290286592,2289479680,2634616832,2348666880
275,2276659200,2488123392,2406584320,2226950144,2266955776,2521313280,2354126848,2267287552,2307190784,2490056704,2338308096,2409349120,2297278464,2432692224,2321698816,2410315776,2371141632,2353496064,2388328448,2344624128,2264428544,2328068096,2381217792,2303209472,2455990272,2362621952,2449563648,2468769792,2299146240,2298191872,2644074496,2358296576
276,2285998080,2498473984,2416590848,2235891712,2275938304,2531241984,2363498496,2276655104,2316120064,2499076096,2347048960,2418376704,2306244608,2442354688,2330136576,2419507200,2380922880,2361987072,2397675520,2353692672,2274922496,2337128448,2389708800,2312499200,2465415168,2371674112,2459492352,2478379008,2308481024,2307362816,2654908416,2367815680
277,2291978240,2505621504,2423836672,2242215936,2282278912,2538856448,2370838528,2282835968,2321592320,2504441856,2352996352,2424295424,2312028160,2448355328,2335825920,2425597952,2388107264,2369748992,2405679104,2361888768,2282405888,2345148416,2397184000,2319335424,2472787968,2379059200,2466725888,2485682176,2315964416,2314309632,2662363136,2374610944
278,2300919808,2515845120,2433171456,2251046912,2291408896,2548953088,2379919360,2292146176,2332581888,2516545536,2364067840,2435362816,2322284544,2458972160,2347200512,2437148672,2396536832,2378326016,2413879296,2369748992,2290348032,2353246208,2405814272,2328186880,2482319360,2388090880,2477813760,2496057344,2324664320,2323320832,2672500736,2384060416
279,2310557696,2526093312,2443165696,2260172800,2300534784,2559512576,2389831680,2301308928,2342440960,2527498240,2374475776,2446643200,2331635712,2469355520,2357420032,2447273984,2405658624,2387230720,2423074816,2378481664,2298691584,2361954304,2415144960,2336530432,2492891136,2397827072,2486661120,2505543680,2334261248,2333245440,2683957248,2394607616
280,2321563648,2537316352,2454261760,2269921280,2311241728,2570563584,2400538624,2311860224,2352111616,2537259008,2383937536,2456059904,2341863424,2479755264,2366717952,2457378816,2416361472,2397605888,2433585152,2389114880,2309423104,2372624384,2426695680,2347794432,2505338880,2409865216,2499080192,2517123072,2345250816,2345099264,2697314304,2405662720
281,2329735168,2547105792,2464194560,2278752256,2319208448,2580574208,2409947136,2320465920,2361655296,2548224000,2394112000,2466177024,2351636480,2490445824,2376765440,2467037184,2426953728,2408267776,2445377536,2400247808,2319224832,2383626240,2437910528,2356989952,2513424384,2417524736,2507304960,2528309248,2354569216,2352611328,2706239488,2414178304
282,2336477184,2554982400,2471510016,2285228032,2326114304,2588430336,2417008640,2327093248,2367426560,2555547648,2401460224,2472636416,2359050240,2498002944,2384244736,2474262528,2436059136,2417254400,2453618688,2408312832,2327904256,2391777280,2446282752,2366005248,2520719360,2423648256,2514907136,2533552128,2360279040,2359226368,2713571328,2421026816
283,2345013248,2564390912,2480160768,2293432320,2334248960,2597371904,2425618432,2336485376,2374971392,2562646016,2407522304,2480267264,2365239296,2504368128,2390396928,2481811456,2443993088,2424700928,2461044736,2416160768,2334855168,2399248384,2454474752,2373402624,2529984512,2432606208,2524073984,2542497792,2369101824,2367926272,2723160064,2429726720
284,2354966528,2573627392,2490978304,2303291392,2344398848,2607841280,2434244608,2344103936,2385281024,2573389824,2418028544,2490580992,2375389184,2515148800,2400509952,2492133376,2452373504,2432749568,2469769216,2424168448,2343079936,2407206912,2462732288,2380779520,2539962368,2442313728,2534051840,2554499072,2379935744,2378211328,2733420544,2438868992
285,2362953728,2583003136,2498830336,2310922240,2352259072,2617147392,2443726848,2353266688,2394578944,2583629824,2426986496,2503331840,2383974400,2527002624,2409582592,2505109504,2461175808,2442735616,2479652864,2433363968,2351652864,2416029696,2472816640,2389630976,2548482048,2449883136,2542882816,2561187840,2386886656,2384359424,2743439360,2447286272
286,2375491584,2596667392,2510245888,2321829888,2363371520,2631385088,2456489984,2365046784,2405126144,2594385920,2438770688,2511310848,2395254784,2536357888,2419814400,2513698816,2470924288,2450661376,2488115200,2441109504,2360299520,2425249792,2480791552,2398228480,2562232320,2463059968,2556469248,2575265792,2399666176,2396909568,2757935104,2459705344
287,2382143488,2603458560,2518421504,2330005504,2371579904,2639929344,2463870976,2372530176,2413461504,2603139072,2446245888,2520018944,2403512320,2544214016,2428063744,2521366528,2482216960,2462965760,2500603904,2453012480,2372055040,2436440064,2493210624,2409140224,2569674752,2470793216,2563432448,2583158784,2406658048,2403102720,2766704640,2467377152
288,2389581824,2611527680,2526220288,2336620544,2378964992,2647429120,2471440384,2379554816,2420121600,2609528832,2452000768,2526601216,2410217472,2550431744,2434420736,2528894976,2490105856,2470539264,2508005376,2460712960,2379386880,2445053952,2500866048,2417573888,2576424960,2476994560,2570731520,2590179328,2413985792,2410463232,2773999616,2475270144
289,2397814784,2620489728,2534854656,2344849408,2387656704,2656358400,2480816128,2388574208,2427252736,2617606144,2459688960,2534809600,2417156096,2559488000,2442014720,2535804928,2498461696,2478022656,2515722240,2467901440,2386350080,2452942848,2508255232,2424721408,2585190400,2485653504,2579542016,2599297024,2422554624,2418606080,2783293440,2483793920
290,2408337408,2632019968,2545098752,2355318784,2397478912,2667708416,2490609664,2397380608,2438766592,2630053888,2470776832,2546700288,2428416000,2570952704,2453225472,2546524160,2508021760,2488680448,2524741632,2477334528,2396033024,2461945856,2517344256,2433679360,2595430400,2496229376,2590654464,2609913856,2431983616,2428452864,2794471424,2493325312
291,2418888704,2643427328,2557022208,2365386752,2407821312,2678968320,2501967872,2408534016,2448240640,2640433152,2480603136,2556731392,2437910528,2581078016,2462519296,2557509632,2515824640,2495819776,2534264832,2485817344,2402816000,2470150144,2526683136,2442645504,2607693824,2507214848,2601492480,2621108224,2442989568,2439196672,2806747136,2505170944
292,2427412480,2654371840,2567446528,2374246400,2417278976,2690355200,2512011264,2417844224,2458492928,2651553792,2490802176,2567495680,2448453632,2592727040,2473271296,2567880704,2527801344,2508546048,2545963008,2496946176,2415808512,2482561024,2538090496,2452557824,2618920960,2517655552,2613264384,2631729152,2452733952,2449924096,2817830912,2514972672
293,2432122880,2658865152,2571558912,2379264000,2422808576,2695057408,2517405696,2423111680,2463428608,2656129024,2495733760,2571923456,2452582400,2597023744,2477658112,2571956224,2538713088,2518982656,2556063744,2507464704,2425384960,2492399616,2548097024,2463170560,2623016960,2521993216,2618036224,2637094912,2458271744,2454114304,2824003584,2520416256
294,2438348800,2666180608,2578415616,2385666048,2429579264,2702020608,2524282880,2429603840,2470027264,2663325696,2502148096,2578841600,2458996736,2604003328,2484682752,2579312640,2544082944,2524839936,2562564096,2514108416,2431062016,2498269184,2554695680,2469879808,2629988352,2528882688,2625085440,2643771392,2465132544,2460651520,2831368192,2527076352
295,2448252928,2677080064,2588409856,2395250688,2439213056,2712129536,2533707776,2438492160,2479284224,2673803264,2511978496,2588573696,2468474880,2614018048,2494394368,2589270016,2550734848,2531508224,2568654848,2520371200,2437120000,2504916992,2561032192,2476138496,2639478784,2538635264,2634924032,2654265344,2474500096,2469593088,2841604096,2537033728
296,2456838144,2686885888,2598424576,2404044800,2448240640,2722402304,2543423488,2448330752,2488823808,2683957248,2521362432,2599075840,2479591424,2623946752,2503966720,2599206912,2559332352,2540474368,2577801216,2528731136,2445549568,2513350656,2570366976,2484826112,2649899008,2548264960,2644770816,2663481344,2483445760,2478612480,2852290560,2546036736
297,2467856384,2699382784,2609725440,2415226880,2459906048,2734489600,2554945536,2459455488,2499276800,2698244096,2532188160,2609610752,2488963072,2635890688,2516189184,2611572736,2569613312,2550267904,2587467776,2539261952,2454769664,2522468352,2579345408,2493382656,2661965824,2559897600,2656710656,2676183040,2494902272,2489888768,2865651712,2557865984
298,2477617152,2710364160,2619965440,2424217600,2470359040,2745339904,2564517888,2468683776,2510069760,2707079168,2542284800,2620182528,2498445312,2647556096,2525745152,2622595072,2581225472,2562990080,2599174144,2550300672,2467938304,2534674432,2591014912,2504454144,2672082944,2569707520,2668072960,2687279104,2504945664,2499751936,2877571072,2568204288
299,2484625408,2717396992,2627280896,2431524864,2476142592,2752794624,2571948032,2475900928,2515841024,2712928256,2548400128,2626580480,2504519680,2652274688,2531516416,2628014080,2591416320,2571722752,2609545216,2560323584,2476146688,2544689152,2602184704,2515013632,2679267328,2576957440,2674135040,2694168576,2511945728,2506543104,2885177344,2575269888
300,2491416576,2724925440,2634420224,2438053888,2482638848,2759852032,2579030016,2482413568,2522988544,2720141312,2555326464,2633768960,2511474688,2660220928,2539130880,2634670080,2599256064,2580025344,2617978880,2568577024,2484146176,2552680448,2610577408,2523324416,2686132224,2583478272,2681475072,2701139968,2518716416,2512805888,2892488704,2582122496
301,2500112384,2734211072,2643861504,2446585856,2490986496,2769043456,2587684864,2491121664,2531618816,2729304064,2564337664,2642915328,2519805952,2668855296,2546802688,2644344832,2606440448,2587004928,2624679936,2575421440,2490400768,2559795200,2617503744,2530263040,2695761920,2592743424,2690785280,2710556672,2527444992,2521636864,2902511616,2591285248
302,2510508032,2744942592,2654449664,2456010752,2500780032,2779553792,2598584320,2500820992,2541948928,2740506624,2575351808,2652766208,2529812480,2680983552,2558918656,2655166464,2615529472,2596311040,2634035200,2584432640,2499489792,2568826880,2627239936,2538704896,2706214912,2603548672,2701713408,2721320960,2537570304,2532425728,2914213888,2601226240
303,2520580096,2755866624,2665738240,2467442688,2511278080,2792361984,2609229824,2511716352,2552209408,2751328256,2584702976,2664144896,2540486656,2690428928,2567782400,2664964096,2625359872,2605658112,2642849792,2593251328,2508578816,2577768448,2637864960,2549620736,2717990912,2614587392,2713010176,2732699648,2548494336,2542587904,2925797376,2613211136
304,2527379456,2763685888,2672861184,2474065920,2517823488,2799263744,2615603200,2517577728,2559066112,2758496256,2591420416,2671374336,2547318784,2697768960,2575101952,2672668672,2636054528,2616733696,2654113792,2604359680,2518507520,2588188672,2647187456,2558730240,2724167680,2621157376,2720587776,2739945472,2554855424,2549129216,2933620736,2619781120
305,2534543360,2771222528,2680233984,2480631808,2524569600,2807197696,2623283200,2525298688,2565984256,2766139392,2598342656,2678751232,2553856000,2704228352,2581704704,2680078336,2643431424,2624098304,2661777408,2611568640,2525962240,2595971072,2654568448,2565795840,2732023808,2628485120,2727874560,2747813888,2562277376,2556231680,2941390848,2627207168
306,2540744704,2778419200,2687586304,2486816768,2531307520,2814033920,2630144000,2531987456,2572644352,2772971520,2605318144,2685595648,2560937984,2711875584,2587947008,2686529536,2650849280,2630639616,2668490752,2617425920,2532245504,2603069440,2660642816,2572005376,2739322880,2635354112,2734895104,2755543040,2569216000,2563260416,2949541888,2633809920
307,2550083584,2788777984,2697347072,2496008192,2540765184,2823979008,2639462400,2541293568,2582339584,2783526912,2615042048,2695016448,2570502144,2721476608,2597879808,2696183808,2658582528,2639060992,2676551680,2625753088,2540466176,2610237440,2669219840,2579886080,2749165568,2645299200,2745057280,2766028800,2579075072,2573185024,2961031168,2643824640
308,2559262720,2798084096,2706063360,2504429568,2549710848,2833424384,2648633344,2549923840,2592837632,2794971136,2625548288,2705444864,2580402176,2731950080,2608521216,2707689472,2668429312,2648748032,2686578688,2636763136,2549477376,2620907520,2679013376,2588921856,2758275072,2654490624,2754076672,2774921216,2587344896,2580955136,2970267648,2652540928
309,2568941568,2809450496,2717331456,2514456576,2559766528,2845061120,2658873344,2560147456,2600992768,2802769920,2633359360,2715250688,2588717056,2741587968,2616901632,2715009024,2677030912,2657320960,2695454720,2644729856,2557714432,2628997120,2688372736,2597773312,2768650240,2664390656,2764750848,2786029568,2597294080,2590990336,2981720064,2662813696
310,2576900096,2818138112,2725580800,2522386432,2567577600,2853822464,2667397120,2568024064,2608410624,2810986496,2641100800,2722926592,2595905536,2749169664,2624188416,2722836480,2688176128,2668072960,2705973248,2654961664,2568458240,2639872000,2698985472,2608312320,2777145344,2672775168,2773655552,2794893312,2605215744,2599153664,2991144960,2671030272
311,2583752704,2825441280,2732945408,2529308672,2574020608,2861445120,2674528256,2575163392,2616217600,2818707456,2648788992,2730004480,2603745280,2757050368,2631643136,2730463232,2695794688,2676068352,2713657344,2663628800,2575527936,2647965696,2707165184,2615767040,2784059392,2679959552,2780696576,2802450432,2612047872,2605981696,2998173696,2677936128
312,2591854592,2834149376,2741563392,2536812544,2582331392,2870497280,2682728448,2583236608,2623533056,2827292672,2656374784,2738581504,2611105792,2764652544,2639384576,2738372608,2702651392,2683023360,2720612352,2669694976,2582540288,2654314496,2714099712,2622410752,2792615936,2688389120,2789724160,2810798080,2620215296,2613923840,3007979520,2686427136
313,2601869312,2844176384,2751676416,2545455104,2590339072,2879799296,2691760128,2591690752,2634264576,2837164032,2666512384,2749792256,2621734912,2775105536,2649866240,2748620800,2711654400,2692239360,2729205760,2678415360,2590670848,2662690816,2722971648,2631012352,2801565696,2697859072,2798878720,2820354048,2628825088,2622558208,3017912320,2695655424
314,2611347456,2855776256,2762354688,2556489728,2601656320,2892668928,2703114240,2602676224,2644180992,2848591872,2676953088,2759647232,2630721536,2786373632,2660302848,2759581696,2721058816,2701725696,2739232768,2687180800,2599477248,2672205824,2732244992,2640703488,2813665280,2708287488,2809991168,2831704064,2640326656,2633715712,3030728704,2706599936
315,2619408384,2864107520,2770370560,2563768320,2609348608,2900992000,2710953984,2609975296,2651234304,2856701952,2684596224,2767130624,2638184448,2794356736,2667458560,2766917632,2732486656,2712973312,2750365696,2699001856,2610823168,2683662336,2744152064,2651820032,2821455872,2716418048,2818252800,2840104960,2648088576,2641330176,3039379456,2714550272
316,2626678784,2872385536,2777464832,2570321920,2616680448,2909450240,2718044160,2617085952,2658156544,2865119232,2692300800,2774450176,2645438464,2801831936,2674597888,2774560768,2739957760,2720739328,2758098944,2706640896,2618327040,2691698688,2751885312,2659160064,2828877824,2724003840,2826346496,2847875072,2655625216,2648666112,3047538688,2722070528
317,2636652544,2882945024,2788552704,2580074496,2626584576,2919936000,2728128512,2626596864,2668298240,2876334080,2702057472,2785513472,2655571968,2813075456,2685214720,2784931840,2747219968,2727780352,2764779520,2712952832,2625708032,2697859072,2757816320,2666135552,2839343104,2734104576,2836787200,2858307584,2665742336,2658676736,3058925568,2732224512
318,2644463616,2892623872,2797649920,2588106752,2634866688,2929332224,2736988160,2634620928,2676400128,2885304320,2710880256,2793996288,2664448000,2821464064,2693300224,2793644032,2757066752,2738294784,2775343104,2723901440,2635624448,2708774912,2769010688,2675400704,2849583104,2743103488,2846273536,2867122176,2674569216,2667290624,3068432384,2740965376
319,2650644480,2899689472,2804645888,2594209792,2640744448,2936614912,2743332864,2641686528,2683826176,2892840960,2718212096,2801283072,2671800320,2828832768,2700271616,2801324032,2766782464,2747666432,2785640448,2733780992,2643832832,2718441472,2778959872,2684923904,2855677952,2749009920,2852667392,2874261504,2680643584,2673614848,3076128768,2747580416
320,2661904384,2911817728,2816032768,2604978176,2651267072,2948808704,2754510848,2652221440,2693636096,2903322624,2728558592,2812674048,2682081280,2839326720,2711113728,2811441152,2773557248,2754121728,2792435712,2739691520,2650701824,2724651008,2785148928,2691497984,2866823168,2760118272,2863624192,2885480448,2691858432,2683944960,3088691200,2758582272
321,2667450368,2917666816,2821496832,2610327552,2657128448,2955149312,2760339456,2657247232,2699759616,2909302784,2734456832,2819575808,2687610880,2845040640,2716274688,2818494464,2784669696,2765029376,2802937856,2750869504,2661687296,2735714304,2796089344,2702016512,2873618432,2766110720,2870263808,2892214272,2697584640,2689712128,3095568384,2764095488
322,2677448704,2929303552,2831880192,2620616704,2666975232,2966507520,2770874368,2667966464,2710290432,2920374272,2745020416,2828861440,2697367552,2855882752,2726375424,2828005376,2790514688,2771046400,2808373248,2756558848,2666799104,2740985856,2801885184,2707513344,2883694592,2777710592,2880241664,2902786048,2707562496,2700517376,3106680832,2774450176
323,2685636608,2938519552,2841526272,2629009408,2675707904,2976276480,2779820032,2676158464,2718486528,2929311744,2754023424,2838286336,2706604032,2865299456,2735099904,2836099072,2801795072,2781507584,2819178496,2767314944,2677153792,2751741952,2812387328,2717392896,2893537280,2786275328,2889338880,2912571392,2716782592,2709123072,3117531136,2783555584
324,2693271552,2946744320,2849415168,2636615680,2683400192,2984296448,2787729408,2683625472,2726375424,2937815040,2762047488,2846380032,2714247168,2873171968,2742722560,2844614656,2810769408,2790461440,2828701696,2776162304,2685906944,2760847360,2822500352,2726936576,2901123072,2794258432,2897367040,2920472576,2724737024,2716491776,3126165504,2790961152
325,2702106624,2956398592,2858573824,2644922368,2691813376,2994282496,2796515328,2692526080,2735685632,2947747840,2771136512,2855911424,2723803136,2882760704,2752086016,2853945344,2819371008,2798395392,2836795392,2783981568,2693517312,2768674816,2830286848,2734596096,2911338496,2803023872,2906689536,2930221056,2733572096,2725666816,3136831488,2800807936
326,2709876736,2964987904,2866135040,2652528640,2700226560,3003154432,2804580352,2700103680,2743496704,2956386304,2778521600,2863689728,2730549248,2891952128,2758922240,2861834240,2828603392,2806898688,2845937664,2793340928,2702180352,2777288704,2839797760,2742939648,2919608320,2810802176,2914885632,2938384384,2741317632,2733432832,3145973760,2808463360
327,2715869184,2972172288,2872557568,2658312192,2706022400,3009699840,2810609664,2705920000,2750074880,2964185088,2785701888,2871226368,2738225152,2897674240,2766315520,2869035008,2836230144,2815057920,2854092800,2800967680,2709929984,2785427456,2848247808,2751090688,2925735936,2817126400,2921410560,2945748992,2747711488,2739879936,3152773120,2814496768
328,2725322752,2982031360,2883182592,2667773952,2715987968,3020550144,2821582848,2715918336,2758844416,2973040640,2794725376,2879959040,2746687488,2907480064,2774966272,2878709760,2841821184,2821525504,2860171264,2807091200,2715537408,2791100416,2854432768,2757095424,2936705024,2827808768,2931732480,2955558912,2757238784,2749702144,3164557312,2824605696
329,2735992832,2993483776,2893111296,2677510144,2725638144,3032039424,2830823424,2725830656,2769489920,2984923136,2805903360,2890997760,2757623808,2919292928,2785849344,2890256384,2852651008,2832007168,2870194176,2817175552,2725384192,2801664000,2864689152,2766827520,2947825664,2838568960,2942652416,2965983232,2767458304,2759462912,3175960576,2834903040
330,2743508992,3000926208,2901774336,2685128704,2733662208,3040169984,2839613440,2733379584,2777153536,2992242688,2813476864,2898931712,2765008896,2926911488,2793050112,2898014208,2862157824,2841878528,2881396736,2827059200,2735439872,2811584512,2876239872,2776768512,2957070336,2846617600,2951241728,2975055872,2776088576,2767400960,3185573888,2843172864
331,2752442368,3010592768,2911338496,2694119424,2742370304,3049623552,2849398784,2741919744,2786140160,3002142720,2822430720,2908471296,2773774336,2936041472,2802003968,2907250688,2871074816,2850385920,2889777152,2835734528,2743390208,2820370432,2883727360,2784907264,2966376448,2855866368,2960257024,2984935424,2784739328,2776784896,3195863040,2852200448
332,2757869568,3017007104,2917191680,2699505664,2748379136,3056132096,2855247872,2747813888,2791587840,3008335872,2828115968,2914246656,2779049984,2942046208,2807443456,2913112064,2880020480,2859544576,2899025920,2844512256,2751836160,2828787712,2892574720,2793603072,2972905472,2861764608,2966437888,2991349760,2790424576,2782306304,3202486272,2858139648
