%soft,ceph01,ceph02,ceph03,ceph04
152,4.32,4.7,4.52,4.18
153,4.01,4.24,4.73,4.4
154,6.44,5.44,5.4,5.25
155,5.96,6.08,6.01,5.82
156,5.67,5.71,5.53,5.33
157,4.88,4.97,4.81,5.08
158,5.21,5.02,5.09,4.94
159,4.89,4.77,5.19,4.64
160,4.61,3.93,4.19,3.95
161,7.58,6.34,6.14,6.26
162,6.65,5.86,5.92,5.8
163,5.04,4.15,4.25,4.68
164,5.67,4.61,5.75,4.96
