op_r,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
122,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
123,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
124,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
125,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
126,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
127,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
128,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
129,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
130,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
131,48,32,40,48,8,16,40,32,72,64,24,8,24,40,16,40,32,42,32,40,40,8,48,48,40,24,32,16,48,24,88,40
