avgrq-sz,ceph01,ceph02,ceph03,ceph04
356,39.6875,42.59,38.07,32.7263
357,27.9863,29.7138,36.9612,44.56
358,35.3162,35.4325,35.8013,55.44
359,40.74,38.1588,39.0263,44.92
360,46.7575,49.655,35.48,35.6713
361,37.1063,37.2062,40.7125,31.2975
362,33.6088,44.775,36.4363,30.4725
363,29.0288,32.5063,41.7387,37.045
364,39.7237,40.5113,40.04,55.49
365,36.54,38.9288,41.55,53.6925
366,37.4712,36.6562,29.7175,28.6238
367,33.8,39.7088,35.9712,26.17
368,36.74,37.4813,36.8488,31.35
369,30.7413,45.15,37.0875,41.345
370,33.4062,35.3888,34.065,47.6787
371,35.895,36.5037,35.1337,63.3775
372,41.8313,33.9425,37.12,36.3638
373,35.6263,48.3775,33.3612,25.6212
374,41.1437,38.94,36.9213,30.46
375,33.2437,48.8213,38.755,35.515
376,34.5625,38.7963,37.51,44.5575
377,35.37,34.7638,34.3188,52.7475
378,36.0562,33.35,39.9025,50.1412
379,34.1275,38.2138,36.4438,28.935
380,35.685,30.3212,39.4288,28.7362
381,35.6025,48.7037,37.915,43.7612
382,34.7063,44.0438,40.5363,37.4125
383,36.6875,37.0713,36.9313,46.8038
384,30.0,28.46,42.1325,37.1375
385,33.12,37.07,36.255,31.8475
386,47.0012,34.2612,39.625,35.8563
387,39.9763,46.7512,37.5725,40.6362
388,38.4338,48.4213,36.5375,34.6575
389,36.955,40.3313,37.42,44.8488
390,32.5213,30.6438,38.56,33.485
391,36.8012,34.4763,38.8887,38.0162
392,41.2762,36.6112,42.65,31.9963
393,45.835,37.6213,37.985,36.2163
394,36.295,42.4937,35.38,35.1475
395,34.14,38.9475,37.2563,46.1212
396,26.84,30.57,40.77,35.545
397,37.0825,32.3775,38.8462,47.7162
398,38.825,38.6125,35.0625,33.6662
399,44.0125,32.2188,35.9062,31.07
