journal_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
129,0.00101,0.000777,0.002567,0.0026,0.004201,0.004268,0.002548,0.002601,0.000687,0.0007,0.00067,0.000964,0.006141,0.006055,0.000601,0.000563,0.00164,0.001629,0.001629,0.001546,0.000794,0.000778,0.00063,0.00064,0.005715,0.005319,0.000623,0.000612,0.003783,0.003597,0.000716,0.000569
130,0.006586,0.008834,0.000544,0.000819,0.000527,0.000589,0.000565,0.000606,0.000574,0.000512,0.000588,0.000526,0.005555,0.005349,0.000667,0.000586,0.00051,0.000531,0.004883,0.004763,0.000468,0.000564,0.002722,0.003019,0.00583,0.005543,0.000528,0.000628,0.005264,0.005066,0.000653,0.000563
131,0.00558,0.004078,0.000749,0.00075,0.000777,0.000848,0.000681,0.000623,0.000883,0.000834,0.000999,0.000881,0.000828,0.001112,0.000696,0.00075,0.000661,0.000682,0.001286,0.00084,0.00612,0.005297,0.00715,0.006599,0.000796,0.000823,0.000784,0.000705,0.000943,0.001155,0.001132,0.000924
132,0.000606,0.000589,0.000645,0.000741,0.000611,0.000732,0.00063,0.000573,0.000596,0.000614,0.000701,0.000836,0.000652,0.000869,0.006127,0.007713,0.001073,0.000857,0.000807,0.00089,0.006147,0.006688,0.002721,0.002669,0.000728,0.000692,0.005512,0.006352,0.000673,0.000717,0.008148,0.007837
133,0.00064,0.000599,0.000654,0.000768,0.000972,0.000865,0.00068,0.000786,0.005637,0.005223,0.006379,0.005641,0.00072,0.001029,0.001739,0.001992,0.00237,0.001036,0.000642,0.000685,0.001104,0.001034,0.000619,0.000627,0.00056,0.00076,0.001434,0.001541,0.000727,0.000667,0.003419,0.003267
134,0.000585,0.000797,0.006953,0.008328,0.006928,0.00617,0.008307,0.008499,0.002059,0.002163,0.000973,0.000889,0.000569,0.000958,0.000521,0.000542,0.005255,0.005905,0.000707,0.000618,0.000735,0.000812,0.000749,0.000881,0.004252,0.003081,0.000518,0.000602,0.000627,0.000724,0.000627,0.000572
135,0.001625,0.001869,0.002654,0.003172,0.001546,0.001541,0.001643,0.00186,0.000893,0.000717,0.000938,0.000696,0.011449,0.010636,0.000773,0.000809,0.001405,0.001365,0.003536,0.004241,0.000458,0.000467,0.000449,0.000502,0.008289,0.009602,0.000708,0.000748,0.003489,0.003562,0.000814,0.00084
136,0.002585,0.00285,0.000846,0.001145,0.000732,0.001029,0.00083,0.000818,0.000869,0.00078,0.000975,0.00092,0.001757,0.001744,0.000816,0.000936,0.000638,0.000602,0.003483,0.003651,0.000647,0.00071,0.002473,0.001804,0.000809,0.000904,0.000953,0.000854,0.001831,0.001743,0.001051,0.00079
137,0.000965,0.000892,0.000894,0.001029,0.000909,0.000887,0.000965,0.000832,0.00086,0.001067,0.000759,0.000774,0.000901,0.000999,0.000946,0.001141,0.001007,0.00064,0.000709,0.001486,0.002824,0.003945,0.006765,0.00713,0.000789,0.001031,0.000918,0.00115,0.000891,0.000968,0.000951,0.000951
138,0.000598,0.000639,0.000585,0.000519,0.000586,0.000537,0.000704,0.000621,0.000743,0.000554,0.002454,0.002886,0.000642,0.000856,0.004702,0.004281,0.000937,0.000783,0.000955,0.001015,0.006239,0.005657,0.00263,0.002363,0.000739,0.000831,0.008059,0.008747,0.00069,0.000682,0.006404,0.005959
