op_queue_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
335,23762926,31286346,23418688,12782646,8836120,12276711,7492974,13119283,16796813,17341805,11464561,20359922,12949926,20510658,32921134,24308099,15188101,16546363,18126169,16619528,17287791,21052983,20268042,22989185,6243265,14530596,33845063,38832803,8203694,10779328,18549389,19562928
336,25567929,35308009,28220031,18028210,8586667,14705413,10183998,26793515,23223278,19111386,17097946,22467365,20331652,27439272,33783202,25296641,13864929,14015309,13330922,12542836,6416396,14827873,37283576,40240580,8042335,18546536,37427364,40791954,9056008,14354361,24902916,27289166
337,66737,1677625,6067,0,2591006,3052069,501251,24268,82167,72454,0,0,72314,90445,211505,254114,20604253,17458577,34817136,33923449,7970091,15255853,39362743,43257921,3264490,11994,54113,2713997,5997,3742447,15200060,12961745
338,584258,0,1182861,1071829,0,24128,0,0,1297469,416943,525519,617539,713456,930328,2734129,562131,0,60460,690063,60600,574405,4173245,4552170,8259300,429147,181520,501881,662989,0,0,1562842,1762878
339,12134,0,5140354,4953648,0,1750499,922050,2275032,0,0,45975,60460,78731,0,0,0,0,5997,0,0,0,48396,0,6067,0,0,0,0,6067,0,0,0
340,6067,24198,6067,6067,0,0,0,5997,1004777,386328,314154,555504,631954,1256925,5909498,3363837,1340603,1500486,94161,2144854,157252,450924,1036273,928607,544210,493603,235913,567848,744001,1097363,928327,706829
341,0,0,84588,211715,732602,520047,0,0,0,0,0,0,0,18131,0,6067,0,0,1179530,1058400,0,6067,0,0,0,0,0,0,0,0,0,0
342,2848731,2044906,2860871,1823653,2839543,175313,4408353,3395047,2133245,3341926,1810113,1465420,3722665,4054781,0,156902,6487205,6306712,0,0,0,151045,0,0,402038,1260472,3997378,2475774,4739063,4916505,1846976,3048948
343,2351132,1733523,910056,2074086,8211954,6456065,247417,1951830,2147030,2166952,3594424,8954736,296093,3134026,1543941,1575361,2652872,3369519,2415524,3112144,2758432,2841235,2583329,3059011,927837,693709,2151061,784860,1046091,1745552,2513401,3772012
344,18131,0,0,0,0,0,0,0,78591,287605,126777,42399,209154,199651,332215,42329,2525465,1427367,2021064,2281764,2618856,2144819,3083104,2112133,0,0,0,78591,0,0,169316,363705
