w/s,ceph01,ceph02,ceph03,ceph04
382,3078.75,2599.5,2768.88,2876.62
383,2824.38,2793.0,2752.0,2389.12
384,2647.38,2766.12,2008.88,2268.25
385,2314.12,2148.12,2204.0,2429.0
386,2241.62,2905.5,2739.0,2788.25
387,3061.12,2806.12,3227.88,3054.75
388,3162.62,2652.75,3356.25,3433.25
389,2894.12,2682.62,2863.25,2467.75
390,2367.62,2585.62,2194.12,2379.5
391,2779.88,2830.25,2544.5,2579.12
392,2292.0,2511.88,2276.38,2792.0
393,2512.5,3061.12,3049.62,3156.25
394,3052.88,2655.12,3096.25,3190.75
395,3071.88,2793.38,2808.25,2565.88
396,2747.12,2505.88,2023.12,2188.0
397,3235.75,3574.0,3071.38,2553.25
398,2563.62,2648.12,2787.88,2835.25
399,2176.88,2875.75,2739.0,3014.5
