journal_wr,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
60,193423,194324,190478,194188,196543,192419,199374,196988,197419,196072,195492,195070,199412,193582,193972,197580,189808,191283,186887,189993,195819,192152,192809,193573,196439,189233,195304,190321,194452,191835,188385,190379
61,194757,195519,193963,197180,199973,195832,202567,200189,200584,199673,198609,197990,203505,197078,197099,201066,192697,194648,190815,193346,199074,195150,196193,196684,200100,192315,197898,192664,197906,195296,190901,192900
62,197721,198482,196592,200335,202909,199092,205418,202882,203877,202678,201440,201358,206678,200309,198860,202768,195640,197461,193462,196724,202050,198317,199241,200110,203062,195608,201413,195784,200969,198064,193386,195231
63,201430,201499,198881,202560,204862,200903,207115,204606,206508,205260,204747,204594,209856,203426,201624,205255,199117,200828,197005,199949,205507,201911,202801,203458,206219,198721,204677,199581,204400,201456,196732,198608
64,203810,204219,201066,204633,207024,203197,209837,207330,208756,208009,207965,207792,212589,206002,204418,208258,201276,202983,199402,202474,208687,204761,205907,206474,208746,201205,207518,202491,207266,204043,199742,201730
65,206740,207259,204198,207615,209952,206077,212696,210291,211818,211072,210699,210337,214511,207894,207532,211226,203258,205204,201232,204300,211003,207292,208041,208587,210276,202723,210312,205273,209055,205796,202604,204716
66,209003,209558,207794,210853,213270,209472,215815,213546,215255,214115,212527,212304,217856,211200,210833,214507,206284,208196,204259,207229,213221,209448,210832,211494,213572,205872,212603,207208,212015,208462,205624,208035
67,211534,212389,211431,214306,216798,213167,219408,216975,218949,217940,215954,215433,221271,214631,214155,218073,209699,211703,207846,210678,216077,213178,214023,215449,217142,209341,214686,209532,215743,212254,207766,210052
68,214266,214722,214010,217202,219756,215823,221966,219576,221874,220755,219078,218131,224612,217559,215881,219969,212558,214699,210497,213797,219261,215878,217058,217821,220190,212307,217915,212621,218250,214903,209591,211789
69,217691,218180,216803,219466,222157,218183,223860,221434,224164,223026,222332,221067,227926,220917,218464,222774,216019,218127,214043,217106,222644,219057,220476,221043,223336,215744,221452,216204,221349,218350,212973,215410
70,220434,221027,219141,221780,224196,220385,226609,224080,226331,225184,225306,224060,230311,223281,221264,225757,217936,219860,216710,219555,225616,222349,223744,224466,225321,217482,224591,219509,224112,221180,216305,218456
71,223250,223914,222092,224554,227091,223243,229521,227105,228764,227515,226728,225485,232118,224948,223921,228559,220244,222109,218607,221629,227802,224636,225711,226514,228126,220303,227407,222431,225804,222838,219232,221313
72,224533,225373,225410,227686,230170,226224,232736,230220,232034,230917,229578,228471,235155,228038,227166,231643,223053,224993,221571,224420,229450,226240,227614,228519,231331,223335,229988,224941,228901,225871,222253,224581
73,227629,228836,228663,230803,233658,229699,235609,233562,235589,234456,232869,231915,238759,231404,230856,235231,226467,228427,225077,228076,232576,229471,230898,232018,234334,226478,232159,226992,232049,229553,224457,226494
74,231061,232290,232084,234292,237069,233018,238711,236891,238900,238090,236271,235309,242210,234740,232870,237536,229773,231813,228503,231799,235916,232781,234634,235279,237740,229913,235475,230031,235430,232839,226874,229280
75,234131,235415,234573,236687,239275,235337,240225,238612,241772,241192,239549,238738,245554,237991,235556,240126,233065,235208,231775,235143,239292,236168,237798,238975,240674,232695,238720,233563,238734,236352,230190,232587
76,236561,238158,236715,238923,241631,237596,242357,240945,243415,242877,241623,240838,247867,240382,238266,242962,234474,236493,233743,236996,242162,238965,240698,241687,242669,234581,241584,236125,241272,238907,232993,235354
77,239123,240547,240361,242071,244819,241339,245616,244359,246299,245595,243792,243083,249973,242450,241429,246160,237247,239506,235940,239167,244707,241650,242757,243762,245942,238132,244952,239810,243422,241237,236384,238658
78,240691,242223,243337,245245,248020,244177,248967,247468,249558,249036,247048,246482,253377,245928,244634,249506,240637,242466,238933,242449,247080,243967,245122,246014,249599,241161,247896,242567,246969,244780,239883,242117
79,244675,246205,247451,249484,251620,248049,252460,251551,253219,252559,251074,250063,256989,249341,248138,254024,243991,245786,242443,245581,250219,247258,248451,249273,253090,244592,249779,244545,250129,248322,242006,244061
