w/s,ceph01,ceph02,ceph03,ceph04
351,5368.38,4576.62,7184.62,9101.0
352,3623.75,3446.25,6695.88,9976.62
353,5571.5,4423.88,4831.25,5763.38
354,5966.38,10252.9,5837.88,4501.12
355,10495.1,4415.25,4953.25,3969.5
356,6108.75,9136.0,8234.25,3489.0
357,4606.88,4967.75,7829.12,6245.0
358,4296.88,4032.5,4418.0,10402.2
359,4458.25,3944.25,5697.5,7184.12
360,8213.5,6307.38,3781.62,4099.62
361,9072.62,8027.62,6740.62,4909.12
362,7823.5,7850.62,7409.62,3670.62
363,4117.5,6863.38,8304.62,5257.88
364,3504.38,3465.0,3725.38,10761.8
365,4226.25,3904.25,5747.25,7156.62
366,9237.12,5805.62,5219.62,5021.62
367,7514.88,10094.0,8778.25,5250.12
368,8780.0,6047.75,6970.75,4187.0
369,4275.0,8938.88,7213.88,6707.62
370,4014.88,4082.5,4074.62,7418.88
371,5118.25,4373.62,5037.38,9940.88
372,7448.38,4312.5,5489.88,5948.38
373,6970.62,9765.88,9571.0,5175.25
374,9615.38,6905.62,6866.25,5146.38
375,4118.62,7724.0,5187.12,5577.5
376,4522.38,6091.25,5696.62,4930.25
377,5456.25,4561.75,4731.62,9342.25
378,5995.5,4876.5,6786.62,8286.75
379,7354.5,8171.88,8084.38,4908.5
380,10046.6,5900.75,7001.62,6008.75
381,3568.5,6533.62,4666.88,5147.38
382,4805.25,7141.5,6056.0,4270.62
383,5755.25,4553.5,5025.25,8393.75
384,6336.0,5797.38,9246.62,9821.75
385,5622.25,6037.0,6444.5,4683.62
386,8617.12,6316.12,6079.75,5589.38
387,4988.25,5145.88,4340.12,4287.12
388,5443.75,7754.75,5459.0,3987.5
389,4596.38,5232.88,4628.38,6706.5
390,7399.88,7293.88,9652.75,9561.38
391,7160.12,5161.38,7187.62,7560.25
392,7903.0,7515.0,7166.88,6171.38
393,7644.88,4456.62,5467.75,4185.12
394,5973.0,7088.88,5070.12,4181.0
395,4911.38,7560.5,5529.5,7068.38
396,5284.5,8029.75,8960.25,8008.62
397,6978.62,4182.25,6300.12,9307.62
398,5310.12,5593.0,6225.88,5819.38
399,9993.25,5514.38,5945.75,5129.75
