kbcommit,ceph01,ceph02,ceph03,ceph04
218,95276096.0,119542084.0,95357712.0,119599456.0
219,95173100.0,119267440.0,95121060.0,119694996.0
220,95863740.0,119239560.0,95153524.0,120175312.0
221,95298720.0,119270944.0,95170184.0,119626116.0
222,95130540.0,119269584.0,95771636.0,119143356.0
223,95264844.0,119284692.0,95887468.0,119359800.0
224,95115068.0,119269380.0,96043112.0,119125300.0
225,95128428.0,119297612.0,95282744.0,119165364.0
226,95333556.0,119591396.0,95305148.0,119197988.0
227,95190656.0,119388456.0,95296340.0,119207948.0
228,95223348.0,119388360.0,95554828.0,119218160.0
229,95490016.0,119688360.0,95319404.0,119236476.0
230,95277484.0,119451108.0,95373040.0,119534688.0
231,95628476.0,119523616.0,95739708.0,119358236.0
232,95418772.0,119803036.0,95508892.0,119382552.0
233,95411648.0,119547260.0,95505372.0,119630516.0
234,95683120.0,119597500.0,95549976.0,119431820.0
235,95479500.0,119617448.0,95575396.0,119431380.0
236,95496904.0,119643464.0,95587080.0,119638968.0
237,95760448.0,119686904.0,95604324.0,119476708.0
238,95545160.0,120013748.0,95871464.0,119493108.0
239,95543920.0,120366708.0,95651624.0,119673012.0
240,95794212.0,120969892.0,95928428.0,119551312.0
241,96038980.0,119804564.0,96194364.0,119558704.0
242,96700808.0,119789496.0,96538916.0,120864924.0
243,96077376.0,120025776.0,96274744.0,120517204.0
244,95684228.0,119780112.0,95819044.0,119672760.0
245,95912840.0,119834952.0,95796108.0,119637224.0
246,95685704.0,119876216.0,96075588.0,119969624.0
247,95734732.0,119899460.0,95914012.0,119767448.0
248,95750484.0,119907896.0,95943308.0,119787792.0
249,95759936.0,119938640.0,96134844.0,120064312.0
250,95780648.0,119959440.0,95977112.0,119847272.0
251,95916024.0,120043024.0,96033480.0,119886360.0
252,95984336.0,120355396.0,96345864.0,120207660.0
253,96290024.0,120174712.0,96161228.0,119985328.0
254,96075620.0,120208588.0,96223032.0,120033592.0
255,96083780.0,120224600.0,96254356.0,120079336.0
256,96101480.0,120253320.0,96535044.0,120123652.0
257,96395592.0,120273300.0,96321880.0,120140356.0
258,96208948.0,120305484.0,96361516.0,120155556.0
259,96235724.0,120322264.0,96386692.0,120196456.0
260,96247308.0,120363276.0,96644772.0,120217500.0
261,96548088.0,121037352.0,96426148.0,121194696.0
262,96305276.0,121485328.0,96715132.0,121630060.0
263,96823912.0,120826320.0,96976016.0,120326624.0
264,97142516.0,120478224.0,97477740.0,120288624.0
265,96815992.0,120469204.0,96534684.0,120299928.0
266,97029688.0,120721360.0,98085096.0,120567296.0
267,96404920.0,120469576.0,96756728.0,120339624.0
268,96383248.0,120468764.0,96599812.0,120345704.0
269,96649368.0,120469000.0,96600048.0,120360384.0
270,96403764.0,120498296.0,96735868.0,120368824.0
271,96418904.0,120493952.0,96557552.0,120364276.0
272,96653044.0,120745048.0,96557620.0,120385660.0
273,96417300.0,120510636.0,96819968.0,120641232.0
274,96418616.0,120510972.0,96590740.0,120406744.0
275,96577080.0,120669472.0,96606668.0,120641812.0
276,96419020.0,120509584.0,96858584.0,120406176.0
277,96418544.0,120512192.0,96607084.0,120407260.0
278,96670236.0,120761680.0,96607132.0,120816104.0
279,96419372.0,120509604.0,96606528.0,120726152.0
280,96419380.0,120828836.0,96764600.0,120565552.0
281,96418972.0,121080996.0,96608224.0,120727744.0
282,96653380.0,121485524.0,96608804.0,120621516.0
283,96419556.0,120888992.0,96608140.0,120613452.0
284,96681036.0,120807744.0,96861980.0,120689624.0
285,96417888.0,120512212.0,96607040.0,120406976.0
286,96419084.0,120511088.0,96606016.0,120406364.0
287,96737336.0,120509800.0,96607560.0,120406516.0
288,96670684.0,120762124.0,96859716.0,120581248.0
289,97534760.0,120511352.0,97440580.0,120406336.0
290,97695548.0,120510504.0,97433500.0,120405256.0
291,96465872.0,120763280.0,96827216.0,120656704.0
292,96595308.0,120510820.0,96606092.0,120405276.0
293,96419676.0,120510636.0,96606952.0,120406152.0
294,96420048.0,120745620.0,96857420.0,120641196.0
295,96419740.0,120510140.0,96607048.0,120407580.0
296,96580388.0,120512096.0,96604940.0,120724904.0
297,96405984.0,120827708.0,96766956.0,121017548.0
298,96406340.0,120510696.0,96607980.0,121539904.0
299,96406784.0,120670340.0,96606320.0,121079804.0
300,96723192.0,120761452.0,96606880.0,120719040.0
301,96406456.0,120876468.0,96609480.0,120423160.0
302,96406316.0,121037272.0,96606756.0,120406448.0
303,96406900.0,120561412.0,96607268.0,120406900.0
304,96410672.0,120777716.0,96613284.0,120409500.0
305,96406172.0,120508808.0,96607356.0,120405700.0
306,96658056.0,120509304.0,96858920.0,120658588.0
307,97230196.0,120744308.0,97265708.0,120407776.0
308,97083924.0,120510896.0,96981844.0,120406620.0
309,96475420.0,120510200.0,96669652.0,120405812.0
310,96622508.0,120765924.0,96789940.0,120418004.0
311,96406780.0,120509972.0,96605688.0,120407244.0
312,96406220.0,120510620.0,96606772.0,120405288.0
313,96406748.0,120510456.0,96607412.0,120658908.0
314,96565524.0,120760136.0,96855948.0,120405916.0
315,96406708.0,120511444.0,96606656.0,120406224.0
316,96406684.0,120509412.0,96606372.0,121062688.0
317,96656528.0,120509800.0,96606072.0,121932840.0
318,96406920.0,120518556.0,96614736.0,120773576.0
319,96406852.0,120510648.0,96607244.0,120431376.0
320,96406296.0,120512724.0,96607232.0,120405712.0
321,96656848.0,121180444.0,96606728.0,120658192.0
322,96406960.0,120511148.0,96609944.0,120405376.0
323,96405444.0,121625008.0,96606328.0,120405076.0
324,97208216.0,120551592.0,96925236.0,120582024.0
325,96657308.0,120765708.0,96858856.0,120406320.0
326,97043756.0,120509920.0,97256976.0,120406292.0
327,97846708.0,120510020.0,97732136.0,120657844.0
328,97528676.0,120745424.0,97363724.0,120405636.0
329,96448484.0,120510000.0,96641436.0,120407056.0
330,96416880.0,120509460.0,96612584.0,120406648.0
331,96404408.0,120762160.0,96607304.0,120657464.0
332,96656048.0,120510660.0,96616468.0,120406960.0
333,96406180.0,120510644.0,96606940.0,120818084.0
334,96405552.0,120510832.0,96607072.0,120405704.0
335,96406064.0,120745400.0,96858932.0,120407892.0
336,96656164.0,120509296.0,96606476.0,120407972.0
337,96404740.0,120760220.0,96606860.0,121688780.0
338,96406816.0,120510156.0,96606420.0,121846252.0
339,96642336.0,120990068.0,96614592.0,120607072.0
340,96405852.0,121184112.0,96607024.0,120422272.0
341,96415048.0,120749424.0,96610492.0,120416368.0
342,96562472.0,120544240.0,97176824.0,120406032.0
343,96405628.0,120515440.0,96765704.0,120404620.0
344,96405892.0,120760792.0,97085844.0,120657288.0
345,96407040.0,120509476.0,97440448.0,120406976.0
346,96657816.0,120510244.0,98141124.0,120406780.0
347,97211556.0,120744924.0,96645632.0,120640876.0
348,97202992.0,120509456.0,96607648.0,120406292.0
349,97532044.0,120512432.0,96607544.0,120407068.0
350,97498020.0,120761900.0,96857948.0,120598468.0
351,97229344.0,120510776.0,96607752.0,120406712.0
352,96435876.0,120511024.0,96605356.0,120405956.0
353,96405704.0,120514572.0,96605892.0,120405964.0
354,96565020.0,120777308.0,96780676.0,120658588.0
355,96406824.0,120526952.0,96605492.0,120408880.0
356,96404808.0,121005340.0,96606628.0,120405916.0
357,96406768.0,120526268.0,96606260.0,120566076.0
358,96656996.0,121179268.0,96614964.0,121245956.0
359,96405284.0,121215160.0,96607080.0,120657116.0
360,96404416.0,120599156.0,96606628.0,120465696.0
361,96406508.0,120580180.0,96765496.0,120470924.0
362,96580860.0,120575684.0,96766984.0,120458980.0
363,96406800.0,120572124.0,97244700.0,120460076.0
364,96410256.0,120572180.0,97982304.0,120698944.0
365,96711968.0,120876388.0,97308072.0,120566616.0
366,96488220.0,120662444.0,96711812.0,120582856.0
367,96893156.0,120681952.0,96702044.0,120836396.0
368,97143836.0,120682560.0,96697028.0,120615588.0
369,97781344.0,120695132.0,96697772.0,120630720.0
370,97033736.0,120696100.0,96953868.0,120631960.0
371,96592600.0,120717328.0,96750748.0,120647096.0
372,96591844.0,120727452.0,96749488.0,120676912.0
373,96603512.0,120919976.0,97017004.0,121025896.0
374,96603120.0,120793332.0,96766968.0,121348176.0
375,96778072.0,121637540.0,96781756.0,121574120.0
376,96627800.0,121496476.0,96824432.0,120744128.0
377,96628204.0,121241752.0,96864856.0,120770380.0
378,96944748.0,121813064.0,96884796.0,120774676.0
379,96698152.0,120960936.0,97153440.0,120778580.0
380,96966416.0,121183484.0,96901504.0,120825076.0
381,96757920.0,120988332.0,96966752.0,121044872.0
382,96804460.0,121035616.0,97243320.0,120909576.0
383,97060608.0,121112924.0,97097592.0,120980608.0
384,96934808.0,121385716.0,97114504.0,121004152.0
385,97187088.0,121150384.0,97289192.0,121025328.0
386,97283600.0,121150056.0,98422292.0,121036668.0
387,97339136.0,121218948.0,98170968.0,121090084.0
388,97890528.0,121501224.0,97675356.0,121486484.0
389,97296508.0,121428624.0,97425792.0,121438580.0
390,97279128.0,121427536.0,97412516.0,122119448.0
391,97266584.0,121443200.0,97426388.0,122012088.0
392,97491744.0,121660148.0,97617624.0,121542556.0
393,97341472.0,121482356.0,97462620.0,121397792.0
394,97348036.0,121761908.0,97491848.0,121393112.0
395,97364316.0,121541932.0,97493048.0,121661636.0
396,97539896.0,121575864.0,97668068.0,121426332.0
397,97381192.0,121825840.0,97545744.0,121441928.0
398,97398032.0,122409736.0,97544044.0,121709412.0
399,97429052.0,122754928.0,97578212.0,121475096.0
