kbinact,ceph01,ceph02,ceph03,ceph04
343,51051020.0,71400696.0,51126020.0,70151064.0
344,51120480.0,71336288.0,51065460.0,70203352.0
345,51180564.0,71417704.0,51124424.0,70257516.0
346,51259428.0,71503944.0,51206348.0,70327340.0
347,51368232.0,71579952.0,51289608.0,70398900.0
348,51406992.0,71654416.0,51367796.0,70474184.0
349,51481304.0,71732648.0,51443740.0,70545092.0
350,51563656.0,71818876.0,51526180.0,70610932.0
351,51663084.0,71891480.0,51600348.0,70673188.0
352,51766048.0,71964656.0,51663496.0,70726752.0
353,51721280.0,72037928.0,51749396.0,70807292.0
354,51784308.0,72119472.0,51831352.0,70879680.0
355,51898884.0,72235564.0,51939712.0,70945348.0
356,51931964.0,72332488.0,52036192.0,71000684.0
357,51992876.0,72255184.0,51957536.0,71054512.0
358,52074896.0,72328756.0,52029936.0,71112220.0
359,52170168.0,72403448.0,52116600.0,71190488.0
360,52223044.0,72475744.0,52189796.0,71265812.0
361,52294976.0,72550860.0,52259788.0,71339656.0
362,52371464.0,72632208.0,52338848.0,71405612.0
363,52447976.0,72716096.0,52418672.0,71456884.0
364,52510748.0,72791772.0,52495536.0,71511392.0
365,52576196.0,72856520.0,52561664.0,71570300.0
366,52663636.0,72957604.0,52683100.0,71657248.0
367,52754460.0,72961756.0,52662424.0,71738252.0
368,52888712.0,73025580.0,52727928.0,71806800.0
369,52836508.0,73103088.0,52804216.0,71876804.0
370,52881932.0,73172340.0,52872396.0,71925668.0
371,52954808.0,73246908.0,52948440.0,71984228.0
372,53078656.0,73367136.0,53076844.0,72064104.0
373,53106644.0,73405592.0,53119032.0,72142356.0
374,53176200.0,73478772.0,53175604.0,72207856.0
375,53246832.0,73593144.0,53298324.0,72267880.0
376,53361180.0,73636700.0,53337256.0,72333468.0
377,53405036.0,73725464.0,53424020.0,72394532.0
378,53484920.0,73803728.0,53496552.0,72468964.0
379,53547536.0,73938540.0,53626792.0,72544540.0
380,53614604.0,73869536.0,53562004.0,72611776.0
381,53683620.0,73956664.0,53649948.0,72670068.0
382,53765168.0,74006176.0,53704036.0,72739696.0
383,53843532.0,74090348.0,53791332.0,72804620.0
384,53913692.0,74172044.0,53872568.0,72882648.0
385,53987560.0,74275388.0,53961344.0,72940404.0
386,54125856.0,74314184.0,54002460.0,72994592.0
387,54066096.0,74381236.0,54075512.0,73062464.0
388,54126636.0,74452776.0,54151048.0,73120236.0
389,54210956.0,74547220.0,54246856.0,73182312.0
390,54301428.0,74650112.0,54328416.0,73264148.0
391,54376392.0,74767520.0,54457552.0,73340140.0
392,54451008.0,74721212.0,54415964.0,73416584.0
393,54528636.0,74818548.0,54510776.0,73483948.0
394,54609380.0,74861868.0,54566388.0,73552472.0
395,54692032.0,74939564.0,54638880.0,73624696.0
396,54751180.0,75028104.0,54712904.0,73690800.0
397,54869196.0,75110720.0,54793432.0,73754812.0
398,54901044.0,75175108.0,54869844.0,73828740.0
399,54982328.0,75250212.0,54945992.0,73903216.0
