subop_w,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
125,519181,523214,531708,530654,514590,517951,522156,552907,530089,516532,529775,519321,530446,548589,537178,503139,530079,506020,523761,536610,530224,536713,527220,541127,501344,536157,508435,531322,534001,528919,515373,543448
126,523763,528079,536449,535689,519431,522675,527634,558454,535260,521452,534873,524309,535787,553730,542419,508112,534896,510742,528798,541321,534962,541485,532276,546293,506604,541536,513438,536197,539507,534502,520224,548384
127,528058,531945,540494,539445,523253,526775,531334,562558,539297,525279,538620,528179,539825,557829,546347,511611,539317,514783,533021,546000,539409,545990,536352,550829,510333,545443,517239,540482,543681,538679,523885,552823
128,532938,537433,545597,544111,527695,531426,536331,567181,544321,530347,543557,532639,544633,563800,551838,516369,543126,518452,536768,549668,543116,549825,540208,554542,515031,550253,521767,545037,548328,543285,528473,557300
129,536484,540262,549264,548506,532041,535563,540191,571698,547779,533452,547084,536673,548425,566786,554855,519885,547864,523038,541563,554548,548095,554853,544990,559728,518475,554243,525648,549140,552040,547326,532266,561329
130,540471,544417,553463,552402,535681,539344,543999,576312,551866,537726,551379,540755,552686,570983,559253,523886,552646,527677,546404,559499,552881,559551,549704,564459,522235,558141,529452,553086,556019,551373,536056,565623
131,544079,548106,557233,556243,539376,543080,547712,580319,555547,541405,555219,544462,556740,574895,563313,527463,556249,530988,549821,563058,556317,563177,553115,568167,525970,562162,533041,557130,559965,555433,539859,569548
132,549715,553942,563250,562362,545518,548270,552440,586442,561194,547342,560391,549565,561721,580142,568943,533136,559863,534428,553411,566654,559983,566545,556697,571845,531683,567688,538225,562362,565312,560772,544681,574905
133,553810,557616,567290,566407,548982,552278,557594,590169,565681,551178,564707,553769,566082,585086,573229,536513,565005,539417,558612,572031,565106,571882,561839,577215,535810,572553,542681,566704,569911,565488,549178,579647
134,558266,562801,571299,571159,553986,557435,561506,595029,570122,555931,569707,558930,570593,589470,578738,541356,569558,543618,562720,576451,569567,576327,566380,581738,540706,577082,547333,571482,574472,569784,554222,584154
