journal_ops,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
48,31227,31634,11216,8331,25180,26932,24652,25409,20860,21368,35038,32603,12154,15844,31159,30022,16027,14508,13472,15926,44628,45267,46925,46039,39187,39529,39273,40284,12668,13248,38712,36877
49,36180,36285,16683,13498,30047,31685,29403,29869,25166,25752,4432,37131,16508,20419,35546,34455,20575,19002,17709,20298,8447,8129,11256,10885,7680,6299,43745,44795,17372,17534,43323,41333
50,6997,6918,23008,19598,36278,38230,35343,36621,32538,32874,11939,10782,24419,27393,42978,40689,27848,25482,25357,26937,15255,15693,18556,17455,14549,13838,12271,12465,23798,24368,8537,8452
51,15290,14283,29855,26423,44167,45265,43182,43571,39329,39547,18045,16944,30140,34265,11783,11295,34881,32209,31312,33902,21943,22379,24785,24548,21713,21401,18923,19374,30607,31023,15933,16898
52,21197,21879,37406,33909,15931,16424,15841,16137,10900,10726,25978,24824,37644,42477,19291,18495,42251,40173,39622,41806,29837,30179,32419,32768,28439,27794,26609,27054,38289,38570,23801,23858
53,27390,27864,11916,9276,22029,22634,21562,22110,17500,17026,32283,30851,44113,49011,25467,24590,13029,10958,45736,48334,35776,36375,38744,38621,34601,34430,32829,33475,44388,44546,30155,30352
54,32856,33190,17586,14652,27210,28170,26812,27558,22890,22490,37293,36318,14217,15215,30706,29733,18356,16784,14923,14830,40952,41838,8459,8755,6908,6215,38159,38760,14328,12718,35626,35809
55,39468,40212,24517,21614,34308,35442,34002,35251,30484,29478,10935,8164,21304,21995,37639,36287,25686,23180,21127,22396,12488,13627,15304,15610,13983,13699,8471,45681,21031,19334,42689,42925
56,12032,10815,31399,28002,40921,42290,40349,41849,37258,36547,17567,15249,27752,29588,45008,43441,32564,30062,28412,28749,18868,20131,22308,22564,21147,20625,15044,16294,28384,26079,11127,10471
57,17918,17719,37788,34628,46625,47821,46868,48456,43333,41784,23413,21065,33486,35694,11708,10745,39407,36426,33995,35698,25301,26922,28089,28665,26639,26119,20799,21545,33902,32019,16674,16498
