op_rw,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
87,42,42,84,84,0,42,84,84,126,168,42,0,42,42,0,84,84,42,84,42,84,0,84,84,42,42,42,42,84,42,168,84
88,42,42,84,84,0,42,84,84,126,168,42,0,42,42,0,84,84,42,84,42,84,0,84,84,42,42,42,42,84,42,168,84
89,42,42,84,84,0,42,84,84,126,168,42,0,42,42,0,84,84,42,84,42,84,0,84,84,42,42,42,42,84,42,168,84
90,42,42,84,84,0,42,84,84,126,168,42,0,42,42,0,84,84,42,84,42,84,0,84,84,42,42,42,42,84,42,168,84
91,44,44,88,88,0,44,88,88,132,176,44,0,44,44,0,88,88,44,88,44,88,0,88,88,44,44,44,44,88,44,176,88
92,44,44,88,88,0,44,88,88,132,176,44,0,44,44,0,88,88,44,88,44,88,0,88,88,44,44,44,44,88,44,176,88
93,44,44,88,88,0,44,88,88,132,176,44,0,44,44,0,88,88,44,88,44,88,0,88,88,44,44,44,44,88,44,176,88
94,44,44,88,88,0,44,88,88,132,176,44,0,44,44,0,88,88,44,88,44,88,0,88,88,44,44,44,44,88,44,176,88
95,46,46,88,88,0,44,88,88,132,176,44,0,46,44,0,88,88,44,88,44,88,0,88,88,44,46,44,44,88,44,176,88
96,46,46,92,92,0,46,92,92,138,184,46,0,46,46,0,92,92,46,92,46,92,0,92,92,46,46,46,46,92,46,184,92
97,46,46,92,92,0,46,92,92,138,184,46,0,46,46,0,92,92,46,92,46,92,0,92,92,46,46,46,46,92,46,184,92
98,46,46,92,92,0,46,92,92,138,184,46,0,46,46,0,92,92,46,92,46,92,0,92,92,46,46,46,46,92,46,184,92
99,46,46,92,92,0,46,92,92,138,184,46,0,46,46,0,92,92,46,92,46,92,0,92,92,46,46,46,46,92,46,184,92
100,48,48,96,96,0,48,96,96,144,192,48,0,48,48,0,96,96,48,96,46,96,0,96,96,48,48,48,48,96,48,192,96
101,48,48,96,96,0,48,96,96,144,192,48,0,48,48,0,96,96,48,96,48,96,0,96,96,48,48,48,48,96,48,192,96
102,48,48,96,96,0,48,96,96,144,192,48,0,48,48,0,96,96,48,96,48,96,0,96,96,48,48,48,48,96,48,192,96
103,48,48,96,96,0,48,96,96,144,192,48,0,48,48,0,96,96,48,96,48,96,0,96,96,48,48,48,48,96,48,192,96
104,48,48,96,96,0,48,96,96,144,192,48,0,48,48,0,96,96,48,96,48,96,0,96,96,48,48,48,48,96,48,192,96
105,50,50,100,100,0,50,100,100,150,200,50,0,50,50,0,100,100,50,100,50,100,0,100,100,50,50,50,50,100,50,200,100
