loadavg,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
367,7184,6948,7184,6948,7184,6948,6948,6948,8442,8442,8133,8442,8133,8111,8442,8442,6606,6606,6606,7111,7111,6606,6606,6606,7287,7287,7287,7080,7287,7287,7287,7080
368,7184,7184,7184,6948,7184,6948,6948,7184,8111,8442,8111,8442,8111,8111,8111,8442,6606,6606,6606,6606,7111,6606,6606,6606,7287,7080,7287,7080,7080,7080,7287,7080
369,7184,7184,7184,6948,7184,7184,7184,7184,8111,8442,8111,8442,8111,8111,8111,8442,6606,6613,6613,6606,6613,6606,6606,6606,7287,7080,7080,7080,7080,7080,7287,7080
370,7184,7184,7184,6948,7184,7184,7184,7184,8111,8111,8111,8442,8111,8111,8111,8111,6613,6613,6613,6606,6613,6606,6606,6613,7080,7080,7080,7080,7080,7080,7080,7080
371,7184,7184,7184,7184,7184,7184,7184,7184,8111,8111,8111,8111,8111,8111,8111,8111,6613,6613,6613,6613,6613,6606,6613,6613,6777,7080,7080,7080,7080,6777,7080,7080
372,7259,7184,7184,7184,7184,7259,7184,7184,8111,8111,8111,8111,8111,8111,8111,8111,6613,6613,6613,6613,6613,6613,6613,6613,6777,6777,7080,7080,7080,6777,7080,6777
373,7259,7184,7259,7184,7184,7259,7184,7184,8246,8111,8246,8111,8246,8111,8111,8111,6613,6613,6613,6613,6613,6613,6613,6613,6777,6777,7080,7080,6777,6777,6777,6777
374,7259,7184,7259,7184,7184,7259,7259,7259,8246,8111,8246,8111,8246,8246,8111,8111,6795,6795,6795,6795,6795,6795,6613,6613,6777,6777,6777,7080,6777,6777,6777,6777
375,7259,7259,7259,7259,7184,7259,7259,7259,8246,8246,8246,8246,8246,8246,8111,8111,6795,6795,6795,6795,6795,6795,6613,6795,6777,6777,6777,7080,6777,6777,6777,6777
376,7259,6950,7259,7259,6950,7259,7259,7259,8246,8246,8246,8246,8246,8246,8111,8246,6795,6795,6795,6795,6795,6795,6613,6795,6777,6777,6777,7080,6777,6777,6777,6777
377,7259,6950,7259,6950,6950,6950,7259,7259,7826,8246,8246,8246,7826,8246,7826,8246,6795,6795,6795,6795,6795,6795,6795,6795,6777,6777,6777,6634,6634,6634,6777,6634
378,7259,6950,6950,6950,6950,6950,7259,6950,7826,7826,7826,7826,7826,7826,7826,8246,6795,6795,6795,6795,6795,6795,6795,6795,6777,6777,6634,6634,6634,6634,6634,6634
379,6950,6950,6950,6950,6950,6950,6950,6950,7826,7826,7826,7826,7826,7826,7826,8246,6795,6795,6820,6795,6795,6795,6795,6795,6777,6777,6634,6634,6634,6634,6634,6634
380,6950,6950,6950,6950,6950,6950,6950,6950,7826,7826,7826,7826,7826,7826,7826,8246,6820,6795,6820,6820,6795,6795,6795,6795,6777,6634,6634,6634,6634,6634,6634,6634
381,6950,6729,6950,6950,6950,6950,6950,6950,7826,7826,7826,7826,7826,7826,7826,7826,6820,6795,6820,6820,6795,6795,6795,6795,6623,6634,6634,6623,6623,6623,6634,6634
382,6950,6729,6729,6729,6950,6729,6950,6729,7826,7728,7728,7826,7826,7826,7728,7826,6820,6820,6820,6820,6820,6795,6820,6795,6623,6634,6634,6623,6623,6623,6623,6634
383,6729,6729,6729,6729,6950,6729,6729,6729,7826,7728,7728,7826,7728,7728,7728,7728,6820,6820,6820,6820,6820,6820,6820,7059,6623,6634,6623,6623,6623,6623,6623,6623
384,6729,6729,6729,6729,6729,6729,6729,6729,7728,7728,7728,7826,7728,7728,7728,7728,6820,6820,7059,6820,6820,6820,6820,7059,6623,6623,6623,6623,6623,6623,6623,6623
385,6729,6729,6729,6751,6729,6751,6729,6729,7728,7728,7728,7728,7728,7728,7728,7728,7059,6820,7059,7059,6820,7059,6820,7059,6623,6623,6623,6623,6623,6623,6623,6623
386,6729,6729,6729,6751,6751,6751,6729,6729,7397,7728,7728,7728,7728,7728,7728,7728,7059,7059,7059,7059,7059,7059,6820,7059,6726,6623,6623,6726,6623,6726,6623,6623
387,6729,6751,6729,6751,6751,6751,6729,6751,7397,7397,7728,7397,7397,7728,7728,7728,7059,7059,7059,7059,7059,7059,7059,7059,6726,6623,6726,6726,6623,6726,6623,6726
388,6751,6751,6751,6751,6751,6751,6729,6751,7397,7397,7397,7397,7397,7397,7728,7397,7059,7059,6806,7059,7059,7059,7059,7059,6726,6623,6726,6726,6623,6726,6726,6726
389,6751,6751,6751,6751,6751,6751,6729,6751,7397,7397,7397,7397,7397,7397,7728,7397,7059,7059,6806,7059,7059,7059,7059,7059,6726,6726,6726,6726,6623,6726,6726,6726
390,6751,6751,6755,6751,6751,6751,6751,6751,7397,7397,7397,7397,7397,7397,7397,7397,7059,7059,6806,7059,7059,7059,6806,6806,6726,7269,7269,6726,6726,6726,6726,6726
391,6751,6751,6755,6751,6751,6751,6755,6755,7397,7397,7397,7397,7397,7397,7397,7397,6806,6806,6806,6806,7059,6806,6806,6806,6726,7269,7269,7269,7269,6726,6726,6726
392,6755,6755,6755,6751,6755,6751,6755,6755,7397,7566,7397,7397,7397,7397,7397,7397,6806,6806,6806,6806,6806,6806,6926,6806,6726,7269,7269,7269,7269,6726,6726,7269
393,6755,6755,6755,6751,6755,6755,6755,6755,7397,7566,7566,7397,7397,7397,7397,7397,6806,6806,6926,6806,6926,6806,6926,6806,7269,7269,7269,7269,7269,7269,7269,7269
394,6755,6755,6755,6755,6755,6755,6755,6755,7566,7566,7566,7566,7397,7566,7566,7397,6806,6806,6926,6806,6926,6806,6926,6806,7269,7269,7269,7269,7269,7269,7269,7269
395,6755,6755,6755,6755,6755,6755,6294,6755,7566,7566,7566,7566,7566,7566,7566,7397,6806,6806,6926,6926,6926,6806,6926,6806,7269,7269,7087,7269,7269,7269,7269,7269
396,6755,6755,6755,6755,6755,6294,6294,6294,7566,7566,7566,7495,7566,7566,7566,7495,6926,6926,6926,6926,6926,6926,6926,6926,7269,7269,7087,7269,7269,7269,7269,7269
397,6294,6755,6294,6755,6294,6294,6294,6294,7566,7495,7566,7495,7566,7495,7566,7495,6972,6926,6926,6926,6926,6926,6972,6926,7269,7269,7087,7087,7269,7269,7269,7269
398,6294,6294,6294,6755,6294,6294,6294,6294,7566,7495,7566,7495,7566,7495,7566,7495,6972,6926,6972,6972,6926,6926,6972,6926,7269,7087,7087,7087,7269,7087,7269,7269
399,6294,6294,6294,6294,6294,6294,6294,6294,7495,7495,7566,7495,7566,7495,7495,7495,6972,6972,6972,6972,6972,6926,6972,6972,7087,7087,7087,7087,7087,7087,7087,7087
400,6294,6294,6294,6294,6294,6351,6294,6351,7495,7495,7495,7495,7566,7495,7495,7495,6972,6972,6972,6972,6972,6972,6972,6972,6784,7087,7087,6784,7087,7087,7087,7087
401,6294,6294,6294,6294,6351,6351,6294,6351,7495,7681,7495,7681,7681,7681,7495,7681,6972,6972,6972,6972,6972,6972,6972,6972,6784,6784,7087,6784,6784,7087,7087,7087
402,6351,6351,6294,6294,6351,6351,6294,6351,7495,7681,7495,7681,7681,7681,7495,7681,6972,6972,6972,6972,6972,6972,6972,6972,6784,6784,6784,6784,6784,6784,7087,7087
403,6351,6351,6351,6351,6351,6351,6351,6351,7681,7681,7495,7681,7681,7681,7681,7681,6972,6972,7181,7181,6972,6972,6972,7181,6784,6784,6784,6784,6784,6784,7087,7087
404,6351,6351,6351,6351,6351,6351,6351,6351,7681,7681,7495,7681,7681,7681,7681,7681,7181,7181,7181,7181,7181,7181,6972,7181,6784,6784,6561,6784,6784,6784,6784,6784
405,6351,6291,6351,6351,6351,6351,6351,6291,7681,7681,7626,7681,7681,7681,7681,7681,7181,7181,7181,7181,7181,7181,6972,7181,6784,6784,6561,6561,6784,6784,6784,6784
406,6351,6291,6351,6351,6351,6351,6351,6291,7681,7681,7626,7626,7681,7626,7681,7681,7181,7181,7181,7181,7181,7181,7181,7181,6784,6784,6561,6561,6784,6784,6561,6784
407,6351,6291,6351,6291,6351,6351,6351,6291,7681,7626,7626,7626,7681,7626,7681,7626,7181,7181,7384,7181,7181,7181,7181,7384,6561,6561,6561,6561,6784,6784,6561,6784
408,6291,6291,6291,6291,6291,6351,6291,6291,7681,7626,7626,7626,7681,7626,7626,7626,7181,7181,7384,7384,7181,7181,7181,7384,6561,6561,6561,6561,6784,6561,6561,6784
409,6291,6291,6291,6500,6291,6291,6291,6291,7626,7626,7626,7626,7626,7626,7626,7626,7384,7384,7384,7384,7181,7181,7181,7384,6561,6561,6356,6561,6561,6561,6561,6356
410,6291,6291,6500,6500,6291,6291,6291,6500,7626,7626,7626,7626,7856,7626,7626,7626,7384,7384,7384,7384,7384,7384,7181,7384,6356,6561,6356,6356,6561,6561,6561,6356
411,6500,6500,6500,6500,6500,6291,6291,6500,7626,7856,7626,7856,7856,7856,7626,7626,7384,7384,7384,7384,7384,7384,7384,7384,6356,6561,6356,6356,6356,6356,6561,6356
412,6500,6500,6500,6500,6500,6291,6291,6500,7626,7856,7856,7856,7856,7856,7856,7856,7401,7384,7384,7401,7401,7384,7384,7401,6356,6356,6356,6356,6356,6356,6561,6356
413,6500,6500,6500,6500,6500,6500,6500,6500,7856,7856,7856,7856,7856,7856,7856,7856,7401,7384,7401,7401,7401,7384,7384,7401,6356,6356,6356,6356,6356,6356,6356,6356
414,6500,6836,6500,6500,6836,6500,6500,6500,7856,7856,7856,7856,7856,7856,7856,7856,7401,7401,7401,7401,7401,7384,7401,7401,6356,6356,6559,6356,6356,6356,6356,6559
415,6836,6836,6836,6500,6836,6836,6836,6500,7856,7856,7856,7856,7856,7856,7856,7856,7401,7401,7401,7401,7401,7401,7401,7401,6559,6356,6559,6559,6356,6356,6356,6559
416,6836,6836,6836,6836,6836,6836,6836,6836,7856,7700,7856,7856,7856,7700,7700,7856,7401,7401,7401,7369,7369,7401,7401,7401,6559,6356,6559,6559,6559,6356,6356,6559
417,6836,6836,6836,6836,6836,6836,6836,6836,7856,7700,7700,7700,7856,7700,7700,7856,7401,7401,7401,7369,7369,7401,7401,7401,6559,6356,6559,6559,6559,6356,6356,6559
418,6836,6836,6836,6836,6836,6836,6836,6836,7856,7700,7700,7700,7856,7700,7700,7700,7369,7401,7401,7369,7369,7401,7369,7401,6559,6559,6559,6559,6559,6559,6356,6559
419,6836,6836,6369,6836,6369,6369,6369,6836,7856,7700,7700,7700,7700,7700,7700,7700,7369,7401,7369,7369,7369,7401,7369,7369,6559,6419,6559,6559,6419,6559,6419,6559
420,6369,6369,6369,6836,6369,6369,6369,6369,7620,7620,7700,7620,7700,7700,7620,7700,7369,7369,7369,7369,7369,7401,7369,7369,6419,6419,6559,6559,6419,6559,6419,6559
421,6369,6369,6369,6369,6369,6369,6369,6369,7620,7620,7700,7620,7700,7620,7620,7700,7369,7369,7059,7059,7369,7059,7059,7369,6419,6419,6419,6559,6419,6419,6419,6559
422,6369,6369,6369,6369,6369,6369,6369,6369,7620,7620,7700,7620,7700,7620,7620,7620,7059,7369,7059,7059,7369,7059,7059,7369,6419,6419,6419,6559,6419,6419,6419,6559
423,6369,6369,6369,6369,6369,6369,6369,6369,7620,7620,7700,7620,7620,7620,7620,7620,7059,7369,7059,7059,7369,7059,7059,7369,6419,6257,6419,6419,6419,6419,6419,6419
424,5939,6369,5939,5939,6369,6369,6369,6369,7620,7620,7620,7620,7620,7620,7620,7620,7059,7369,7059,7059,7369,7059,7059,7369,6257,6257,6257,6419,6419,6419,6257,6419
425,5939,6369,5939,5939,5939,6369,5939,6369,7620,7378,7620,7378,7620,7620,7620,7620,7059,7059,7059,7059,7369,7059,7059,7059,6257,6257,6257,6257,6419,6419,6257,6419
426,5939,6369,5939,5939,5939,6369,5939,5939,7378,7378,7620,7378,7620,7378,7620,7378,7059,7287,7059,7059,7287,7287,7059,7059,6257,6257,6257,6257,6257,6257,6257,6419
427,5939,5939,5939,5939,5939,5939,5939,5939,7378,7378,7620,7378,7620,7378,7620,7378,7059,7287,7059,7287,7287,7287,7287,7287,6257,6257,6257,6257,6257,6257,6257,6419
428,5939,5939,6272,5939,5939,5939,5939,5939,7378,7378,7378,7378,7620,7378,7378,7378,7059,7287,7059,7287,7287,7287,7287,7287,6257,6257,6257,6257,6257,6461,6257,6461
429,5939,5939,6272,5939,6272,5939,5939,5939,7378,7378,7378,7378,7378,7378,6795,7378,7287,7287,7059,7287,7287,7287,7287,7287,6257,6257,6257,6461,6257,6461,6257,6461
430,5939,6272,6272,6272,6272,6272,6272,6272,6795,7378,7378,7378,6795,7378,6795,7378,7287,7287,7287,6823,7287,7287,7287,7287,6461,6257,6257,6461,6257,6461,6257,6461
431,6272,6272,6272,6272,6272,6272,6272,6272,6795,7378,7378,7378,6795,7378,6795,7378,7287,6823,7287,6823,7287,6823,6823,7287,6461,6257,6257,6461,6257,6461,6257,6461
432,6272,6272,6272,6272,6272,6272,6272,6272,6795,7378,7378,7378,6795,6795,6795,7378,7287,6823,6823,6823,7287,6823,6823,7287,6461,6461,6257,6461,6461,6461,6461,6461
433,6272,6146,6272,6272,6272,6272,6146,6272,6795,6795,6795,7378,6795,6795,6795,6795,7287,6823,6823,6823,6823,6823,6823,7287,6461,6461,6461,6461,6461,6461,6461,6461
434,6272,6146,6146,6272,6272,6272,6146,6272,6770,6770,6795,6770,6770,6795,6795,6795,6823,6823,6823,6823,6823,6823,6823,7287,6461,6461,6461,6448,6448,6448,6461,6448
435,6146,6146,6146,6146,6146,6146,6146,6272,6770,6770,6770,6770,6770,6795,6795,6795,6823,6823,6823,6823,6525,6823,6525,6525,6461,6448,6461,6448,6448,6448,6461,6448
436,6146,6146,6146,6146,6146,6146,6146,6272,6770,6770,6770,6770,6770,6770,6795,6795,6823,6525,6823,6823,6525,6823,6525,6525,6461,6448,6461,6448,6448,6448,6461,6448
437,6146,6146,6146,6146,6146,6146,6146,6146,6770,6770,6770,6770,6770,6770,6795,6770,6525,6525,6823,6823,6525,6823,6525,6525,6448,6448,6448,6448,6448,6448,6461,6448
438,6158,6158,6146,6146,6146,6146,6146,6146,6770,6770,6770,6770,6770,6770,6781,6770,6525,6525,6525,6525,6525,6823,6525,6525,6448,6448,6448,6448,6448,6448,6604,6448
439,6158,6158,6146,6158,6146,6158,6158,6146,6781,6781,6770,6781,6781,6770,6781,6770,6525,6525,6525,6525,6525,6525,6525,6525,6448,6448,6604,6448,6448,6448,6604,6448
440,6158,6158,6146,6158,6158,6158,6158,6146,6781,6781,6781,6781,6781,6770,6781,6781,6525,6525,6525,6525,6525,6525,6525,6525,6448,6604,6604,6604,6604,6448,6604,6604
441,6158,6158,6146,6158,6158,6158,6158,6158,6781,6781,6781,6781,6781,6781,6781,6781,6331,6331,6525,6525,6525,6525,6331,6525,6448,6604,6604,6604,6604,6604,6604,6604
442,6158,6158,6570,6158,6158,6158,6158,6158,6781,6781,6781,6781,6781,6781,6781,6781,6331,6331,6525,6525,6525,6331,6331,6331,6876,6604,6604,6604,6604,6604,6604,6604
443,6570,6158,6570,6570,6158,6158,6158,6158,6781,6781,6781,6781,6781,6781,6781,6781,6331,6331,6331,6525,6525,6331,6331,6331,6876,6604,6604,6604,6876,6604,6604,6604
444,6570,6570,6570,6570,6158,6158,6158,6158,6615,6615,6615,6781,6781,6781,6781,6781,6331,6331,6331,6331,6553,6331,6331,6331,6876,6876,6876,6604,6876,6604,6604,6604
445,6570,6570,6570,6570,6570,6570,6570,6570,6615,6615,6615,6615,6781,6781,6781,6615,6331,6331,6331,6331,6553,6553,6553,6331,6876,6876,6876,6876,6876,6876,6604,6876
446,6570,6570,6570,6570,6570,6570,6570,6570,6615,6615,6615,6615,6615,6615,6781,6615,6553,6331,6331,6553,6553,6553,6553,6331,6876,6876,6876,6876,6876,6876,6604,6876
447,6570,6604,6570,6570,6570,6570,6570,6570,6615,6615,6615,6615,6615,6615,6781,6615,6553,6553,6553,6553,6553,6553,6553,6553,6876,6876,6876,6876,6790,6876,6790,6790
448,6604,6604,6570,6570,6570,6570,6570,6604,6509,6615,6509,6509,6509,6615,6509,6615,6553,6553,6553,6553,6553,6553,6553,6553,6876,6876,6876,6876,6790,6876,6790,6790
449,6604,6604,6570,6570,6570,6570,6570,6604,6509,6509,6509,6509,6509,6509,6509,6615,6553,6553,6553,6553,6797,6797,6553,6553,6790,6790,6790,6876,6790,6790,6790,6790
450,6604,6604,6604,6604,6604,6604,6604,6604,6509,6509,6509,6509,6509,6509,6509,6509,6553,6797,6553,6797,6797,6797,6553,6553,6790,6790,6790,6876,6790,6790,6790,6790
451,6604,6604,6604,6604,6604,6604,6604,6604,6509,6509,6509,6509,6509,6509,6509,6509,6797,6797,6553,6797,6797,6797,6797,6797,6790,6790,6790,6790,6790,6790,6790,6790
452,6604,6604,6604,6604,6604,6604,6604,6604,6509,6509,6509,6509,6509,6509,6509,6509,6797,6797,6553,6797,6797,6797,6797,6797,6790,6790,6790,6790,6911,6911,6911,6911
453,6396,6396,6604,6604,6604,6604,6396,6396,6509,6509,6620,6509,6509,6509,6509,6509,6797,6797,6797,6797,6797,6797,6797,6797,6790,6790,6790,6790,6911,6911,6911,6911
454,6396,6396,6396,6396,6396,6396,6396,6396,6509,6509,6620,6620,6620,6620,6509,6620,6797,6837,6797,6797,6797,6797,6797,6797,6911,6790,6790,6911,6911,6911,6911,6911
455,6396,6396,6396,6396,6396,6396,6396,6396,6620,6620,6620,6620,6620,6620,6509,6620,6837,6837,6837,6837,6797,6837,6797,6797,6911,6790,6790,6911,6911,6911,6911,6911
456,6396,6396,6396,6396,6396,6396,6396,6396,6620,6620,6620,6620,6620,6620,6620,6620,6837,6837,6837,6837,6797,6837,6837,6797,6911,6911,6911,6911,6911,6911,6911,6911
457,6396,6140,6396,6396,6396,6140,6396,6140,6620,6620,6620,6620,6620,6620,6620,6620,6837,6837,6837,6837,6837,6837,6837,6837,7118,6911,6911,6911,6911,7118,6911,6911
458,6140,6140,6396,6396,6140,6140,6396,6140,6620,6620,6620,6620,6515,6515,6620,6620,6837,6837,6837,6837,6837,6837,6837,6837,7118,6911,7118,6911,6911,7118,7118,6911
459,6140,6140,6396,6396,6140,6140,6140,6140,6620,6620,6515,6620,6515,6515,6620,6515,6837,6837,6837,7090,7090,7090,6837,7090,7118,6911,7118,6911,7118,7118,7118,7118
460,6140,6140,6140,6140,6140,6140,6140,6140,6620,6515,6515,6620,6515,6515,6620,6515,7090,6837,6837,7090,7090,7090,7090,7090,7118,7118,7118,7118,7118,7118,7118,7118
461,6140,6140,6140,6140,6140,6140,6140,6140,6620,6515,6515,6515,6515,6515,6515,6515,7090,6837,6837,7090,7090,7090,7090,7090,7118,7118,7118,7118,7118,7597,7118,7118
462,5881,6140,6140,6140,6140,5881,6140,5881,6578,6515,6515,6515,6515,6578,6578,6515,7090,7090,7090,7090,7090,7090,7090,7090,7597,7118,7118,7597,7118,7597,7118,7118
463,5881,5881,6140,6140,6140,5881,6140,5881,6578,6578,6515,6515,6578,6578,6578,6515,7090,7090,7090,7090,7090,7090,7419,7090,7597,7118,7118,7597,7597,7597,7118,7597
464,5881,5881,6140,5881,5881,5881,5881,5881,6578,6578,6515,6515,6578,6578,6578,6578,7419,7090,7419,7090,7090,7419,7419,7090,7597,7597,7118,7597,7597,7597,7597,7597
465,5881,5881,6140,5881,5881,5881,5881,5881,6578,6578,6578,6515,6578,6578,6578,6578,7419,7419,7419,7419,7090,7419,7419,7090,7597,7597,7597,7597,7597,7597,7597,7597
466,5881,5881,5881,5881,5881,5881,5881,5698,6578,6578,6578,6515,6578,6578,6578,6578,7419,7419,7419,7419,7090,7419,7419,7419,8006,7597,7597,7597,7597,7597,7597,7597
467,5881,5698,5698,5881,5881,5881,5698,5698,6578,6578,6578,6578,6578,6578,6578,6700,7419,7419,7419,7419,7419,7419,7419,7419,8006,7597,7597,8006,7597,7597,7597,7597
468,5881,5698,5698,5881,5881,5881,5698,5698,6578,6700,6578,6578,6578,6700,6578,6700,7419,7419,7419,7419,7419,7458,7419,7419,8006,7597,7597,8006,7597,8006,7597,8006
469,5881,5698,5698,5881,5698,5881,5698,5698,6700,6700,6578,6700,6700,6700,6700,6700,7458,7458,7458,7419,7458,7458,7419,7458,8006,8006,7597,8006,7597,8006,8006,8006
470,5698,5698,5698,5698,5698,5881,5698,5698,6700,6700,6578,6700,6700,6700,6700,6700,7458,7458,7458,7419,7458,7458,7419,7458,8006,8006,8006,8006,8006,8006,8006,8006
471,5698,5562,5698,5698,5698,5698,5698,5562,6700,6700,6700,6700,6700,6700,6700,6700,7458,7458,7458,7419,7458,7458,7458,7458,8006,8006,8006,8006,8109,8006,8006,8109
472,5698,5562,5562,5698,5698,5698,5562,5562,6404,6700,6700,6700,6700,6700,6700,6404,7458,7458,7458,7458,7458,7458,7458,7458,8006,8006,8109,8006,8109,8109,8006,8109
473,5562,5562,5562,5562,5698,5698,5562,5562,6404,6404,6700,6700,6700,6404,6700,6404,7458,7830,7830,7458,7830,7458,7458,7458,8109,8006,8109,8109,8109,8109,8109,8109
474,5562,5562,5562,5562,5562,5562,5562,5562,6404,6404,6700,6700,6700,6404,6700,6404,7830,7830,7830,7458,7830,7458,7458,7830,8109,8006,8109,8109,8109,8109,8109,8109
475,5562,5562,5562,5562,5562,5562,5562,5562,6404,6404,6404,6404,6404,6404,6700,6404,7830,7830,7830,7458,7830,7458,7830,7830,8109,8109,8109,7580,8109,8109,8109,8109
476,5562,5562,5562,5693,5693,5562,5693,5562,6404,6404,6404,6404,6404,6404,6404,6404,7830,7830,7830,7830,7830,7830,7830,7830,8109,7580,8109,7580,7580,8109,8109,7580
477,5562,5693,5693,5693,5693,5562,5693,5562,6404,5971,6404,6404,6404,5971,6404,5971,7830,7830,7830,7830,7830,7830,7830,7830,7580,7580,8109,7580,7580,7580,8109,7580
478,5562,5693,5693,5693,5693,5562,5693,5562,5971,5971,6404,5971,6404,5971,6404,5971,7830,7830,7219,7830,7219,7830,7830,7830,7580,7580,7580,7580,7580,7580,7580,7580
479,5693,5693,5693,5693,5693,5562,5693,5562,Null,Null,Null,Null,Null,Null,Null,Null,7830,7219,7219,7219,7219,7830,7830,7219,Null,Null,Null,Null,Null,Null,Null,Null
480,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,7830,7219,7219,7219,7219,7830,7219,7219,Null,Null,Null,Null,Null,Null,Null,Null
