loadavg,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
54,5020,5020,5020,4874,5020,5020,5020,4874,3919,3829,3919,3919,3919,3919,3919,3919,4832,4832,4832,4832,4832,4832,4832,4832,3600,3600,3600,3600,3600,3647,3600,3647
55,5020,5020,5020,4874,4874,5020,4874,4874,3829,3829,3919,3919,3919,3829,3829,3919,5181,4832,5181,4832,4832,5181,4832,4832,3600,3647,3600,3600,3600,3647,3647,3647
56,4874,5020,4874,4874,4874,4874,4874,4874,3829,3829,3829,3829,3829,3829,3829,3919,5181,5181,5181,4832,5181,5181,5181,5181,3647,3647,3647,3600,3600,3647,3647,3647
57,4874,4874,4874,4874,4874,4874,4874,4874,3829,3829,3829,3829,3829,3829,3829,3829,5181,5181,5181,5181,5181,5181,5181,5181,3647,3647,3647,3600,3647,3647,3647,3647
58,4874,4874,4874,4980,4980,4980,4874,4874,3829,3829,3829,3829,3829,3829,3829,3829,5181,5181,5181,5181,5181,5181,5181,5181,3604,3647,3647,3604,3647,3647,3604,3647
59,4980,4980,4874,4980,4980,4980,4980,4874,3829,3829,3829,3829,3829,3829,3829,3829,5359,5359,5181,5181,5181,5181,5181,5181,3604,3647,3647,3604,3647,3647,3604,3647
60,4980,4980,4874,4980,4980,4980,4980,4980,3829,3829,3829,3829,3829,3643,3829,3829,5359,5359,5181,5181,5181,5181,5359,5181,3604,3647,3647,3604,3604,3647,3604,3647
61,4980,4980,4980,4980,4980,4980,4980,4980,3829,3643,3829,3643,3643,3643,3829,3643,5359,5359,5181,5359,5359,5359,5359,5181,3604,3647,3647,3604,3604,3604,3604,3604
62,4980,4980,4980,4980,4980,4980,4980,4980,3643,3643,3643,3643,3643,3643,3643,3643,5359,5359,5359,5359,5359,5359,5359,5359,3604,3604,3604,3604,3604,3604,3604,3604
63,4980,4980,4980,5422,5422,4980,4980,4980,3643,3643,3643,3643,3643,3643,3643,3643,5359,5359,5359,5359,5359,5359,5359,5359,3604,3604,3604,3604,3604,3604,3604,3604
64,5422,4980,5422,5422,5422,4980,5422,4980,3799,3643,3643,3643,3643,3799,3799,3643,5619,5359,5619,5359,5359,5359,5619,5359,3604,3604,3604,3604,3604,3828,3604,3604
65,5422,5422,5422,5422,5422,4980,5422,5422,3799,3799,3643,3643,3799,3799,3799,3799,5619,5359,5619,5619,5359,5619,5619,5359,3828,3828,3604,3604,3828,3828,3604,3604
66,5422,5422,5422,5422,5422,5422,5422,5422,3799,3799,3643,3799,3799,3799,3799,3799,5619,5619,5619,5619,5359,5619,5619,5619,3828,3828,3828,3604,3828,3828,3604,3604
67,5422,5549,5549,5422,5549,5422,5422,5422,3799,3799,3799,3799,3799,3799,3799,3799,5619,5619,5619,5619,5619,5619,5619,5619,3828,3828,3828,3828,3828,3828,3828,3604
68,5422,5549,5549,5422,5549,5422,5422,5422,3799,3799,3799,3799,4328,3799,3799,3799,5619,5619,5619,5619,5619,5619,5619,5619,3828,3828,3828,4186,3828,4186,3828,4186
69,5549,5549,5549,5549,5549,5422,5549,5549,4328,4328,3799,3799,4328,4328,4328,3799,5577,5619,5577,5577,5619,5577,5577,5619,4186,3828,3828,4186,3828,4186,3828,4186
70,5549,5549,5549,5549,5549,5422,5549,5549,4328,4328,3799,4328,4328,4328,4328,3799,5577,5619,5577,5577,5577,5577,5577,5619,4186,3828,3828,4186,4186,4186,3828,4186
71,5549,5549,5549,5549,5549,5549,5549,5549,4328,4328,4328,4328,4328,4328,4328,4328,5577,5577,5577,5577,5577,5577,5577,5577,4186,4186,4186,4186,4186,4186,3828,4186
72,5737,5549,5549,5549,5549,5549,5737,5737,4328,4328,4328,4328,4328,4328,4328,4328,5577,5577,5577,5577,5577,5577,5577,5577,4186,4186,4186,4186,4186,4186,4186,4186
73,5737,5549,5549,5549,5737,5549,5737,5737,4328,4328,4328,4328,4328,4446,4328,4328,5577,5577,5577,5577,5577,5577,5577,5979,4186,4186,4186,4186,4035,4035,4186,4186
74,5737,5549,5737,5549,5737,5737,5737,5737,4446,4446,4328,4446,4328,4446,4328,4328,5577,5577,5979,5577,5979,5979,5577,5979,4035,4186,4035,4186,4035,4035,4035,4186
