kbcached,ceph01,ceph02,ceph03,ceph04
299,51804856.0,71631208.0,52632848.0,70960068.0
300,51881352.0,71755972.0,52245536.0,71035980.0
301,51969632.0,71724396.0,51979800.0,71115152.0
302,52064488.0,71814548.0,52080708.0,71202960.0
303,52157896.0,71914404.0,52167508.0,71291576.0
304,52224940.0,71992212.0,52243768.0,71362864.0
305,52323960.0,72089716.0,52345912.0,71444956.0
306,52420696.0,72186468.0,52447400.0,71530844.0
307,52480684.0,72263504.0,52508616.0,71590280.0
308,52574900.0,72351800.0,52606708.0,71683892.0
309,52666848.0,72455148.0,52703956.0,71770252.0
310,52748208.0,72540628.0,52790668.0,71835976.0
311,52834784.0,72637948.0,52884628.0,71919312.0
312,52920112.0,72762340.0,53008084.0,71994848.0
313,52984940.0,72714300.0,52970432.0,72068356.0
314,53104164.0,72779092.0,53029276.0,72148036.0
315,53249804.0,72912300.0,53153196.0,72224084.0
316,53202428.0,72964392.0,53217612.0,72300768.0
317,53272212.0,73050588.0,53290644.0,72388992.0
318,53378936.0,73134144.0,53398580.0,72466804.0
319,53439812.0,73208076.0,53447048.0,72547796.0
320,53506044.0,73271028.0,53525336.0,72626224.0
321,53584848.0,73373388.0,53615976.0,72720212.0
322,53686172.0,73471640.0,53715208.0,72801816.0
323,53760688.0,73552308.0,53792972.0,72879416.0
324,53838012.0,73624276.0,53873180.0,72952036.0
325,53942664.0,73765708.0,54024400.0,73043012.0
326,54067124.0,73821412.0,54075780.0,73113808.0
327,54111896.0,73900560.0,54158668.0,73189160.0
328,54220876.0,74026604.0,54278824.0,73292832.0
329,54294320.0,74119876.0,54360756.0,73375704.0
330,54424620.0,74233208.0,54483340.0,73464088.0
331,54469272.0,74338288.0,54593248.0,73539756.0
332,54576828.0,74312352.0,54569040.0,73623392.0
333,54668456.0,74401504.0,54656000.0,73698812.0
334,54783172.0,74505904.0,54757332.0,73794348.0
335,54918004.0,74590140.0,54849868.0,73881320.0
336,54881496.0,74680896.0,54935072.0,73967764.0
337,54978852.0,74780376.0,55040744.0,74059956.0
338,55080372.0,74881684.0,55119488.0,74120844.0
339,55149796.0,74982464.0,55222784.0,74200868.0
340,55223448.0,75036160.0,55281388.0,74278012.0
341,55319884.0,75129924.0,55383444.0,74367452.0
342,55398480.0,75229392.0,55475876.0,74445312.0
343,55486400.0,75360796.0,55613292.0,74530444.0
344,55572908.0,75303872.0,55561856.0,74594828.0
345,55646908.0,75400248.0,55635672.0,74660700.0
346,55740928.0,75503040.0,55734296.0,74749948.0
347,55859848.0,75590224.0,55833376.0,74834688.0
348,55912780.0,75682532.0,55921756.0,74926284.0
349,56004860.0,75773744.0,56017504.0,75010952.0
350,56105372.0,75871444.0,56113420.0,75092164.0
351,56214060.0,75965584.0,56197716.0,75166956.0
352,56336088.0,76050528.0,56278644.0,75232132.0
353,56301728.0,76138040.0,56382928.0,75332272.0
354,56381456.0,76233092.0,56475948.0,75417848.0
355,56512268.0,76365992.0,56598276.0,75499940.0
356,56556052.0,76474620.0,56705644.0,75567444.0
357,56629060.0,76411296.0,56645860.0,75632572.0
358,56730052.0,76502584.0,56732912.0,75703448.0
359,56837204.0,76588296.0,56833108.0,75799616.0
360,56906624.0,76673900.0,56917344.0,75892904.0
361,56993248.0,76770232.0,57001084.0,75978600.0
362,57083888.0,76854448.0,57096312.0,76061488.0
363,57171276.0,76964960.0,57190632.0,76121552.0
364,57252768.0,77048532.0,57281760.0,76190324.0
365,57327076.0,77130108.0,57366848.0,76262756.0
366,57435284.0,77244848.0,57504072.0,76369092.0
367,57537452.0,77263464.0,57494084.0,76465144.0
368,57686416.0,77339324.0,57576240.0,76549488.0
369,57649212.0,77433160.0,57669724.0,76634408.0
370,57709844.0,77520416.0,57746340.0,76693988.0
371,57796648.0,77608604.0,57840236.0,76764908.0
372,57941836.0,77741652.0,57984784.0,76863608.0
373,57978304.0,77795008.0,58040528.0,76958312.0
374,58064336.0,77879452.0,58114208.0,77039316.0
375,58144100.0,78013196.0,58242388.0,77112876.0
376,58277908.0,78067608.0,58304124.0,77192440.0
377,58336404.0,78176628.0,58408468.0,77264892.0
378,58435180.0,78268012.0,58489968.0,77357444.0
379,58509044.0,78418844.0,58644252.0,77451196.0
380,58586852.0,78359612.0,58584244.0,77529816.0
381,58672916.0,78460228.0,58688772.0,77603612.0
382,58769000.0,78527176.0,58755040.0,77688872.0
383,58866836.0,78630040.0,58860028.0,77767316.0
384,58950440.0,78724484.0,58958160.0,77864628.0
385,59033856.0,78841576.0,59058748.0,77933796.0
386,59184032.0,78891524.0,59111908.0,77999728.0
387,59138532.0,78975396.0,59201384.0,78083828.0
388,59211200.0,79057844.0,59284880.0,78152276.0
389,59314944.0,79173720.0,59400220.0,78228292.0
390,59422752.0,79289300.0,59503308.0,78328972.0
391,59516780.0,79424228.0,59648156.0,78420076.0
392,59605148.0,79391712.0,59619012.0,78515640.0
393,59694764.0,79502632.0,59730812.0,78598024.0
394,59792640.0,79555644.0,59801456.0,78681424.0
395,59892976.0,79652424.0,59888428.0,78769748.0
396,59959676.0,79764192.0,59974148.0,78848648.0
397,60097748.0,79855444.0,60073760.0,78929876.0
398,60144328.0,79930768.0,60164368.0,79019940.0
399,60236876.0,80024212.0,60255204.0,79108760.0
