op,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
161,327187,358474,346863,321011,326511,363555,339172,326990,331817,358479,337057,346173,330159,349750,334454,347025,341206,339412,344409,337699,326304,336462,343158,332468,353070,339746,352632,354736,331081,331481,380623,339803
162,329290,360954,349221,323193,328749,365876,341437,329131,334041,360780,339212,348370,332157,352152,336686,349397,342942,340979,346120,339312,328238,338066,344597,334156,355365,341992,355083,357138,333303,333632,383277,342086
163,330965,362622,350901,324665,330341,367779,343230,330742,335755,362665,340938,350249,333884,353889,338292,350996,345378,343274,348324,341360,330198,340214,347046,336249,357290,343858,356857,358995,335038,335291,385453,343864
164,331925,363718,351873,325480,331134,368801,344144,331618,336829,363579,342415,351215,334847,354795,339268,352075,346632,344540,349696,342876,331523,341666,348426,337790,357998,344693,357463,359628,335738,335840,386056,344411
165,333048,364896,353259,326667,332401,370080,345367,332884,337871,364966,343042,352397,335982,356182,340503,353168,348084,345886,351137,343960,332719,343160,349474,338835,359520,346074,359122,361325,337148,337484,387838,346074
166,334580,366485,354883,328067,333919,371700,346910,334416,339351,366659,344631,353939,337465,357697,342012,354756,348881,346720,351912,345015,333624,343826,350606,339966,361222,347709,360776,362925,338719,339039,389529,347672
167,335669,367753,356086,329085,335063,372949,347958,335565,340439,367595,345606,354885,338496,358721,342912,355877,350507,348238,353656,346572,335214,345388,352201,341496,362029,348511,361646,363823,339537,339881,390478,348509
168,337173,369403,357724,330680,336560,374588,349621,337110,342087,369475,347330,356611,340146,360534,344597,357506,351687,349363,354755,347769,336189,346428,353345,342645,363952,350367,363580,365829,341341,341662,392579,350339
169,339398,371318,360084,332390,338230,376533,351756,338845,344257,371446,349224,358340,341879,362879,346486,359368,353179,350876,356321,349313,337756,348036,354925,344236,365655,351914,365120,367874,342896,343091,394157,352095
170,341180,373656,361880,334414,340338,378859,353633,340949,345956,373678,351276,360723,344039,364726,348466,361578,355515,353057,358526,351478,339669,349902,356778,346204,368172,354412,367684,369979,345213,345554,397143,354508
