journal_wr_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
98,24730.0,27156.0,22944.0,23123.0,21367.0,24045.0,21964.0,23363.0,23050.0,21981.0,19564.0,18675.0,15114.0,17211.0,18444.0,17632.0,28254.0,26489.0,14226.0,14900.0,15172.0,14999.0,14639.0,14670.0,16787.0,16342.0,15416.0,18254.0,16077.0,16468.0,15373.0,15914.0
99,16147.0,18214.0,20128.0,19077.0,21826.0,22523.0,20058.0,20606.0,16873.0,18351.0,16598.0,16743.0,24313.0,25483.0,18205.0,15429.0,24853.0,25648.0,21820.0,21681.0,16527.0,17723.0,16767.0,16654.0,14485.0,17620.0,17196.0,17002.0,22823.0,23948.0,18332.0,15920.0
100,17669.0,17130.0,16991.0,18669.0,16999.0,17472.0,17929.0,17444.0,19715.0,18649.0,18217.0,17568.0,27165.0,29527.0,18502.0,18604.0,16782.0,16513.0,24313.0,26476.0,16669.0,16560.0,26768.0,29409.0,17564.0,20509.0,17512.0,21435.0,26437.0,32066.0,18755.0,19344.0
101,17536.0,18206.0,18045.0,19775.0,17987.0,18188.0,18103.0,18222.0,19116.0,18027.0,18884.0,17885.0,17083.0,20257.0,18811.0,17051.0,20949.0,18250.0,20951.0,20112.0,28878.0,29162.0,36635.0,43242.0,20245.0,20953.0,18244.0,18184.0,17825.0,19776.0,18683.0,19722.0
102,14159.0,14706.0,13915.0,13977.0,13250.0,14830.0,14065.0,14697.0,13996.0,14790.0,13855.0,13706.0,13727.0,13859.0,16084.0,15612.0,15163.0,14025.0,15635.0,14992.0,27297.0,26349.0,13879.0,15639.0,36647.0,37271.0,25510.0,23929.0,15703.0,15348.0,24075.0,21722.0
103,24723.0,25605.0,14808.0,15031.0,14875.0,15753.0,15858.0,16724.0,21351.0,20899.0,24030.0,23447.0,15939.0,17435.0,27267.0,28357.0,14554.0,14231.0,14131.0,14369.0,14378.0,14347.0,14499.0,14366.0,15412.0,15709.0,18645.0,19650.0,16648.0,14849.0,21284.0,21506.0
104,21326.0,20132.0,30112.0,26882.0,28756.0,25410.0,30302.0,33785.0,20331.0,20805.0,21096.0,19459.0,15769.0,16169.0,18462.0,17658.0,19461.0,20064.0,15284.0,15029.0,15401.0,15937.0,15026.0,15136.0,14491.0,15509.0,14787.0,16462.0,15145.0,16782.0,16035.0,15928.0
105,19033.0,16653.0,20228.0,18280.0,20753.0,23888.0,18736.0,16956.0,17361.0,16486.0,18869.0,15831.0,24941.0,24017.0,18700.0,17473.0,30032.0,29984.0,22964.0,24164.0,17041.0,16815.0,15441.0,16148.0,17177.0,16861.0,15751.0,17290.0,25053.0,23483.0,16844.0,17256.0
106,20478.0,20398.0,18932.0,20252.0,18338.0,22199.0,18131.0,18653.0,19470.0,20080.0,21566.0,19384.0,27257.0,30653.0,19922.0,19296.0,19197.0,19286.0,35604.0,34721.0,17938.0,18880.0,23515.0,21800.0,19544.0,19360.0,18316.0,20116.0,22915.0,21750.0,21393.0,19440.0
107,15295.0,16619.0,17174.0,16164.0,15657.0,17243.0,17426.0,17955.0,18013.0,17581.0,18782.0,16459.0,17123.0,17375.0,18183.0,15083.0,18813.0,18420.0,18784.0,17678.0,25871.0,24600.0,31117.0,35197.0,27464.0,28471.0,16952.0,17403.0,17420.0,15971.0,17666.0,16349.0
