commitcycle_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
187,0,0,1.500519,1.42792,0,0,0,0,0,0,0,0,0,0,0,0,1.016536,1.077184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,0.623581,0,0,0,1.393731,1.404223,0,0,1.434576,1.445352,1.341688,1.304434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,0,0.542733,0,0,0,0,0,0,0,0,0,0,0.756339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.320576,1.319566,0,0
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0.718163,1.042246,1.130488,0,0,1.058767,1.151006,0,0,0,0,1.376832,1.135722,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0.664331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684336,0.805475,0,0,0,0
192,0,0,0,1.201179,0,0,0.762995,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31411,1.332939,1.269255,1.23789,0,0,0,0,0,0,1.436715,1.400927
193,0,0,1.247786,0,0,0,0,0,0,0,0,0,0,0,0,0,1.323705,1.296768,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0.738323,0.5439,0,0,1.29972,1.311886,0,0,1.363585,1.395282,1.503187,1.540458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0,0,0,0.737816,0.81569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.263434,1.19712,0,0
196,0,0,0,0,0,0,0,0.717837,0,0,0,0,0,0,1.352313,1.349998,0,0,1.369804,1.345101,0,0,0,0,1.256659,1.268561,0.823333,0,0,0,0,0
