%idle,ceph01,ceph02,ceph03,ceph04
104,18.08,19.04,16.73,17.09
105,17.57,17.53,20.46,18.59
106,19.82,20.9,18.54,22.4
107,28.05,27.14,30.68,27.72
108,19.62,20.31,19.95,19.86
109,24.96,22.16,19.12,20.0
110,21.75,25.55,21.3,21.62
111,23.15,22.56,27.12,25.04
112,35.87,35.54,36.9,39.63
113,30.83,26.53,29.46,25.56
114,21.28,20.62,20.28,19.56
115,22.57,19.8,19.13,20.59
116,23.69,26.53,20.92,23.63
117,29.63,31.2,33.48,33.37
118,29.07,27.29,31.1,32.74
119,31.8,31.81,29.39,27.78
120,15.8,16.3,17.87,15.87
121,17.38,18.11,17.95,19.31
122,26.53,22.68,19.78,22.42
123,27.47,32.62,30.28,32.04
124,26.66,26.35,27.97,28.85
125,26.81,23.76,26.08,22.92
126,19.32,19.94,21.67,19.16
127,18.35,17.71,19.54,18.63
128,25.3,21.2,19.1,23.19
129,21.13,22.46,19.91,22.48
130,21.84,27.89,26.44,24.86
131,23.61,19.79,20.65,25.96
132,14.42,15.1,17.16,14.46
133,16.93,16.65,19.03,16.52
134,22.89,24.2,23.48,23.91
135,26.35,23.99,19.85,20.69
136,32.06,36.74,35.5,34.35
