stat_bytes_avail,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
56,476628131840,459259609088,458974609408,472734560256,479737769984,460091695104,468983975936,454364004352,467442626560,462117654528,465768574976,467265437696,468161798144,448130736128,462231396352,477316960256,460180856832,476847198208,463886385152,459165675520,468009885696,458771275776,461665951744,458673516544,475058954240,460558598144,471068979200,454794604544,465170235392,466926657536,453379047424,456302104576
57,476628131840,459259609088,458974609408,472734560256,479737769984,460091695104,468983975936,454364004352,467442667520,462117654528,465768574976,467265437696,468161798144,448130736128,462231457792,477316960256,460180856832,476847198208,463886385152,459165675520,468009885696,458771275776,461665951744,458673516544,475058954240,460558536704,471068979200,454794604544,465170173952,466926657536,453379047424,456302104576
58,476628131840,459259609088,458974609408,472734498816,479737831424,460091695104,468983975936,454364004352,467442667520,462117654528,465768574976,467265437696,468161798144,448130736128,462231457792,477316960256,460180856832,476847198208,463886385152,459165675520,468009885696,458771275776,461665951744,458673516544,475059015680,460558536704,471068979200,454794604544,465170173952,466926657536,453379047424,456302104576
59,476628131840,459259609088,458974609408,472734498816,479737831424,460091695104,468984037376,454364004352,467442667520,462117654528,465768574976,467265437696,468161798144,448130736128,462231457792,477316960256,460180856832,476847198208,463886385152,459165675520,468009885696,458771275776,461665951744,458673516544,475059015680,460558536704,471068979200,454794604544,465170173952,466926657536,453379047424,456302104576
60,476628131840,459259609088,458974609408,472734498816,479737831424,460091695104,468984037376,454364004352,467442667520,462117654528,465768574976,467265437696,468161798144,448130797568,462231457792,477316960256,460180856832,476847198208,463886385152,459165675520,468009885696,458771275776,461665951744,458673516544,475059015680,460558536704,471068979200,454794604544,465170235392,466926657536,453379047424,456302104576
61,476628131840,459259609088,458974609408,472734498816,479737831424,460091695104,468984037376,454364004352,467442667520,462117654528,465768574976,467265437696,468161798144,448130797568,462231457792,477316960256,460180856832,476847198208,463886385152,459165675520,468009885696,458771275776,461665951744,458673516544,475058954240,460558536704,471068979200,454794604544,465170235392,466926657536,453379047424,456302104576
62,476628070400,459259609088,458974609408,472734498816,479737831424,460091695104,468984037376,454364004352,467442544640,462117654528,465768574976,467265376256,468161798144,448130797568,462231457792,477316960256,460180856832,476847198208,463886385152,459165675520,468009885696,458771275776,461665951744,458673516544,475058954240,460558536704,471068979200,454794604544,465170235392,466926657536,453379047424,456302104576
63,476628070400,459259609088,458974609408,472734560256,479737769984,460091695104,468984037376,454364004352,467442544640,462117654528,465768574976,467265376256,468161798144,448130736128,462231457792,477316960256,460180856832,476847198208,463886385152,459165675520,468009885696,458771275776,461665951744,458673516544,475058954240,460558536704,471068979200,454794604544,465170235392,466926657536,453379047424,456302104576
64,476628070400,459259609088,458974609408,472734560256,479737769984,460091695104,468984037376,454364004352,467442667520,462117654528,465768574976,467265376256,468161798144,448130797568,462231457792,477316960256,460180856832,476847198208,463886385152,459165675520,468009885696,458771275776,461665951744,458673516544,475058954240,460558536704,471068979200,454794604544,465170235392,466926596096,453379047424,456302104576
65,476628070400,459259547648,458974609408,472734560256,479737831424,460091695104,468984037376,454364004352,467442667520,462117654528,465768574976,467265376256,468161798144,448130736128,462231457792,477316960256,460180856832,476847198208,463886385152,459165675520,468009885696,458771275776,461665951744,458673516544,475059015680,460558598144,471068979200,454794604544,465170235392,466926596096,453379047424,456302104576
