rxkB/s,ceph01,ceph02,ceph03,ceph04
77,217032.0,243344.0,251623.0,209580.0
78,213341.0,199303.0,192410.0,217696.0
79,312941.0,318120.0,315258.0,306190.0
80,164521.0,184696.0,212823.0,158735.0
81,344448.0,335768.0,305416.0,343676.0
82,270319.0,289612.0,297952.0,269054.0
83,204041.0,210405.0,217032.0,200618.0
84,211762.0,193090.0,183855.0,211502.0
85,279779.0,311131.0,317652.0,273668.0
86,260037.0,266620.0,261094.0,258674.0
87,314487.0,312115.0,313321.0,311358.0
88,257884.0,262388.0,266696.0,257441.0
89,231786.0,239422.0,243539.0,227025.0
90,305842.0,307797.0,303901.0,301142.0
91,263758.0,258848.0,261285.0,257128.0
92,332956.0,347446.0,345218.0,331051.0
93,270692.0,279172.0,285816.0,270724.0
94,235615.0,246956.0,259268.0,232280.0
95,231333.0,232650.0,221174.0,232065.0
96,240330.0,261652.0,265732.0,232467.0
97,324439.0,317998.0,320357.0,319805.0
98,269030.0,271075.0,266703.0,274496.0
99,289666.0,304471.0,311788.0,286399.0
100,279815.0,297994.0,301678.0,276218.0
101,248353.0,244424.0,247530.0,243913.0
102,234031.0,223310.0,211965.0,232795.0
103,324684.0,340529.0,340917.0,324468.0
104,311803.0,327457.0,336150.0,303211.0
105,293470.0,291730.0,293814.0,288102.0
106,250163.0,251317.0,253304.0,247738.0
107,226407.0,250198.0,253982.0,219995.0
108,278702.0,286735.0,283479.0,282979.0
109,269404.0,267060.0,266573.0,266101.0
110,283595.0,291526.0,292963.0,279012.0
111,272012.0,278954.0,277985.0,266993.0
112,202727.0,208527.0,209992.0,202625.0
113,251852.0,247160.0,245363.0,250659.0
114,297517.0,288166.0,294704.0,292573.0
115,270706.0,298856.0,309888.0,267433.0
116,257929.0,248044.0,239901.0,255075.0
117,233276.0,240658.0,242880.0,230534.0
118,239868.0,253079.0,261171.0,237361.0
119,239058.0,234238.0,233920.0,234865.0
120,306805.0,319588.0,319517.0,303233.0
121,305022.0,312202.0,312867.0,301338.0
122,258788.0,261274.0,262136.0,253660.0
123,233305.0,244125.0,245468.0,232174.0
124,262757.0,276889.0,286304.0,256007.0
125,260982.0,259359.0,253765.0,261970.0
126,296657.0,296337.0,296424.0,293292.0
127,291460.0,290806.0,289453.0,287606.0
128,273401.0,295014.0,304463.0,274565.0
129,273150.0,287678.0,290870.0,268857.0
130,240298.0,234685.0,237644.0,236196.0
131,277221.0,273620.0,260202.0,273967.0
132,337569.0,338871.0,341411.0,333642.0
133,316761.0,346082.0,352363.0,320218.0
134,224657.0,225930.0,232316.0,218194.0
135,278637.0,262946.0,253974.0,275460.0
136,196007.0,213511.0,222855.0,193230.0
137,197171.0,210429.0,209937.0,195539.0
138,351907.0,352903.0,351366.0,348982.0
139,321941.0,315714.0,320232.0,317752.0
140,253814.0,266523.0,263395.0,253337.0
141,245961.0,264048.0,273865.0,243472.0
142,210665.0,216168.0,211365.0,209685.0
143,315250.0,307263.0,303373.0,316472.0
144,280237.0,281256.0,285039.0,275524.0
145,250065.0,276259.0,286764.0,245099.0
146,247849.0,250049.0,243693.0,245159.0
147,188225.0,189215.0,191682.0,187782.0
148,228126.0,227866.0,234072.0,227403.0
149,350415.0,348216.0,342807.0,346896.0
150,292143.0,311288.0,314096.0,289803.0
151,228186.0,237098.0,241099.0,225913.0
152,251372.0,257812.0,259222.0,246250.0
153,234012.0,249632.0,257167.0,234060.0
154,297348.0,285664.0,277581.0,293161.0
155,336998.0,338503.0,342270.0,334726.0
156,339195.0,358872.0,365104.0,333819.0
157,257160.0,253325.0,254802.0,250277.0
158,275611.0,287479.0,285212.0,277952.0
159,242381.0,242969.0,246458.0,238891.0
160,215275.0,221337.0,221227.0,211600.0
161,387493.0,389474.0,386800.0,382522.0
162,338561.0,355146.0,357888.0,336049.0
163,219787.0,233446.0,239546.0,218694.0
164,249005.0,242966.0,234458.0,246092.0
165,244370.0,259258.0,278523.0,241664.0
166,277108.0,276998.0,272102.0,273121.0
167,286276.0,288029.0,277311.0,283195.0
168,301857.0,308747.0,309614.0,296228.0
169,209172.0,210890.0,224404.0,207003.0
170,247364.0,271806.0,271748.0,244837.0
171,264063.0,256304.0,257790.0,256827.0
172,246488.0,245446.0,235615.0,244863.0
173,225156.0,245490.0,250753.0,226563.0
174,329220.0,330724.0,335245.0,322162.0
175,272265.0,278462.0,274329.0,272545.0
176,223398.0,236304.0,244294.0,220027.0
177,291961.0,304004.0,302815.0,288857.0
178,239196.0,228784.0,220885.0,241707.0
179,251952.0,265217.0,278471.0,247077.0
180,266926.0,262828.0,261195.0,263514.0
181,230256.0,251495.0,250769.0,227860.0
182,293385.0,297245.0,289806.0,291346.0
183,251115.0,256822.0,263970.0,251257.0
184,285222.0,283213.0,292030.0,280463.0
185,253270.0,261923.0,266193.0,251191.0
186,250589.0,256565.0,250973.0,245018.0
187,284318.0,289111.0,290751.0,280568.0
188,283820.0,279328.0,275812.0,283357.0
189,309295.0,324536.0,329952.0,306651.0
190,290477.0,314966.0,317493.0,288891.0
191,283754.0,286087.0,292153.0,281114.0
192,203156.0,193668.0,191223.0,198864.0
193,328139.0,334158.0,326703.0,324923.0
194,290455.0,290264.0,292969.0,286028.0
195,335063.0,356327.0,365226.0,334841.0
196,292603.0,278272.0,270270.0,288342.0
197,208838.0,218396.0,222895.0,204707.0
198,245380.0,278802.0,287086.0,247493.0
199,300537.0,291357.0,286566.0,296431.0
200,263521.0,272773.0,277585.0,259717.0
201,370133.0,361273.0,353566.0,363875.0
202,244347.0,267607.0,276031.0,243750.0
203,236019.0,236837.0,238696.0,233316.0
204,278727.0,275642.0,273793.0,274525.0
205,242326.0,248441.0,247024.0,239737.0
206,353716.0,360076.0,359401.0,352655.0
207,295484.0,311581.0,313641.0,292733.0
208,257142.0,263095.0,277172.0,255885.0
209,174564.0,179384.0,175043.0,170997.0
210,251091.0,251608.0,245470.0,249965.0
211,266954.0,272285.0,289986.0,261368.0
212,322706.0,318463.0,309000.0,321981.0
213,362714.0,368095.0,359216.0,363205.0
214,310053.0,324806.0,328295.0,307876.0
215,188113.0,205876.0,219957.0,183395.0
216,223592.0,230959.0,228461.0,222480.0
217,282996.0,284188.0,287364.0,275752.0
218,308240.0,302567.0,293187.0,304315.0
219,351277.0,355877.0,359766.0,346860.0
220,206531.0,233222.0,239628.0,207670.0
221,218401.0,197931.0,194203.0,213479.0
222,230679.0,249867.0,254880.0,226622.0
223,279919.0,283229.0,280014.0,282134.0
224,294431.0,306561.0,319414.0,289128.0
225,330198.0,328092.0,327099.0,327548.0
226,231329.0,243874.0,251388.0,227654.0
227,224124.0,222442.0,212990.0,220102.0
228,245982.0,254626.0,261438.0,248100.0
229,256063.0,254802.0,255518.0,248948.0
230,355707.0,356740.0,356132.0,355373.0
231,306974.0,320582.0,320792.0,307589.0
232,192726.0,216831.0,232208.0,185674.0
