svctm,ceph01,ceph02,ceph03,ceph04
332,0.065,0.075,0.0775,0.085
333,0.06875,0.075,0.09625,0.0625
334,0.075,0.07,0.07625,0.1025
335,0.075,0.0675,0.08,0.0675
336,0.1125,0.09375,0.0925,0.07
337,0.07375,0.0825,0.06625,0.07125
338,0.07,0.0825,0.07,0.105
339,0.0775,0.0725,0.08,0.07375
340,0.0825,0.06875,0.07625,0.0675
341,0.06375,0.075,0.07375,0.075
342,0.1075,0.0825,0.075,0.08375
343,0.07125,0.11375,0.08375,0.07125
344,0.0575,0.05625,0.0625,0.07375
345,0.07125,0.0675,0.07625,0.10125
346,0.07375,0.07125,0.085,0.0775
347,0.0625,0.09,0.0725,0.06625
348,0.08875,0.07375,0.08,0.07
349,0.07875,0.09625,0.08,0.0625
350,0.07625,0.0675,0.09125,0.07375
351,0.07,0.0675,0.0875,0.0825
352,0.07,0.08125,0.0825,0.08
353,0.08125,0.1,0.0775,0.07125
354,0.10125,0.06875,0.08,0.0625
355,0.06625,0.09625,0.0875,0.06625
356,0.08,0.06625,0.08375,0.07875
357,0.05875,0.065,0.06,0.11
358,0.07125,0.0825,0.08,0.09
359,0.1025,0.075,0.06875,0.06375
360,0.09625,0.1225,0.07625,0.08125
361,0.06875,0.07375,0.085,0.05875
362,0.07,0.10375,0.0925,0.0675
363,0.08125,0.065,0.0675,0.11375
364,0.10125,0.09875,0.10125,0.105
365,0.075,0.0775,0.08125,0.08
366,0.06125,0.09125,0.0675,0.0675
367,0.07375,0.06625,0.07,0.06
368,0.06375,0.095,0.075,0.06625
369,0.075,0.0725,0.08,0.07
370,0.08,0.07875,0.075,0.1175
371,0.08,0.07875,0.0775,0.08375
372,0.065,0.06875,0.08625,0.06625
373,0.1075,0.07125,0.07375,0.06625
374,0.0725,0.08125,0.0775,0.0675
375,0.07375,0.09125,0.0925,0.06875
376,0.06625,0.07375,0.08625,0.105
377,0.07875,0.07125,0.07125,0.105
378,0.0825,0.0775,0.08875,0.08125
379,0.0825,0.0775,0.08,0.06
380,0.06125,0.0825,0.0775,0.07125
381,0.09875,0.09625,0.08375,0.11125
382,0.075,0.08,0.0875,0.07875
383,0.065,0.08375,0.0675,0.0875
384,0.075,0.06625,0.08625,0.06125
385,0.08125,0.0875,0.08875,0.07625
386,0.07,0.06625,0.07,0.06625
387,0.08875,0.09125,0.08375,0.08
388,0.08625,0.085,0.085,0.09625
389,0.07375,0.07625,0.08125,0.08875
390,0.07125,0.0575,0.065,0.05375
391,0.0675,0.08875,0.0775,0.0825
392,0.0925,0.0575,0.07125,0.07
393,0.075,0.10375,0.0825,0.06875
394,0.08875,0.10125,0.0825,0.08125
395,0.0725,0.07625,0.08375,0.085
396,0.0675,0.05875,0.085,0.08
397,0.0775,0.075,0.0925,0.08125
398,0.10625,0.06375,0.06625,0.07
399,0.07125,0.0775,0.0775,0.0675
