wrqm/s,ceph01,ceph02,ceph03,ceph04
327,4.25,0.0,1.75,104.5
328,128.625,0.0,51.625,0.0
329,0.875,114.5,71.75,0.0
330,115.375,0.0,0.0,0.0
331,3.125,50.25,0.0,0.0
332,0.0,0.0,0.0,13.75
333,0.0,0.0,46.875,77.25
334,65.625,0.0,5.375,54.25
335,7.875,59.375,44.75,1.375
336,64.5,2.375,0.0,0.0
337,15.625,45.875,0.125,0.0
338,0.0,124.5,0.0,0.25
339,0.0,0.0,2.375,154.625
340,0.0,0.0,33.0,44.0
341,0.0,59.875,77.25,0.0
342,36.0,67.875,0.0,0.0
343,14.625,71.5,0.0,0.0
344,0.0,25.375,0.5,0.0
345,0.0,0.0,2.25,99.5
346,0.0,0.0,153.0,230.125
347,3.625,36.25,0.0,0.0
348,9.125,125.125,0.0,0.0
349,173.5,27.5,20.75,0.0
350,0.0,63.625,20.625,0.0
351,0.0,0.0,10.375,13.375
352,0.0,0.0,36.125,137.375
353,0.0,0.0,0.0,0.0
354,0.0,77.125,11.0,0.0
355,77.5,1.75,15.625,0.0
356,64.25,94.875,69.375,0.0
357,0.0,2.0,36.25,86.625
358,0.0,0.0,0.0,160.25
359,0.0,0.0,0.0,0.625
360,57.0,31.5,0.0,0.0
361,24.5,43.25,41.75,0.0
362,21.375,98.25,66.875,0.0
363,0.0,8.875,63.125,0.0
364,0.0,0.0,0.0,149.5
365,0.0,0.0,0.0,28.5
366,23.25,23.75,0.0,0.0
367,34.25,127.25,82.25,0.0
368,65.625,0.625,15.625,0.0
369,0.0,80.875,64.125,15.125
370,0.0,0.0,0.0,50.0
371,0.0,0.0,0.0,262.625
372,23.5,0.0,14.0,0.0
373,64.125,134.125,88.75,0.0
374,137.0,6.875,56.125,0.0
375,0.0,70.625,0.0,0.0
376,0.0,7.875,0.5,19.25
377,0.0,0.0,0.0,115.25
378,7.0,0.0,66.5,143.5
379,56.25,21.0,163.375,0.0
380,56.875,5.25,34.375,0.0
381,0.0,24.625,0.0,39.875
382,0.0,17.875,12.0,0.0
383,0.0,0.0,0.0,6.75
384,28.75,0.0,128.25,66.125
385,10.25,28.75,38.125,4.625
386,81.75,1.0,0.0,0.0
387,16.125,9.0,0.0,0.0
388,18.875,55.75,0.0,0.0
389,0.0,0.125,0.0,0.0
390,22.25,0.0,35.5,5.875
391,0.25,3.125,12.125,1.5
392,81.125,0.5,53.0,0.0
393,29.0,11.0,29.5,0.0
394,0.0,2.25,3.0,0.0
395,0.0,0.5,24.5,17.25
396,0.0,28.375,112.75,6.375
397,1.375,0.0,1.25,57.125
398,17.125,0.0,0.0,0.0
399,117.375,0.0,0.0,0.0
