bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
343,12908460164,13352253501,13345771829,13022786368,12831197468,13331535738,13120963465,13470118729,13152904710,13258627138,13192098718,13162659649,13135556061,13673605853,13287555412,12887588579,13284552745,12863312440,13203733990,13339238284,13106914304,13326962654,13261978653,13359816414,12930827942,13331137871,13051541141,13462408324,13206395948,13138305685,13495272107,13445149503
344,12933402457,13375613590,13369666911,13046208066,12856048546,13353988087,13144015706,13495136334,13175938797,13283342280,13217656660,13186500635,13160265608,13699764381,13311812425,12909762546,13311646729,12888262264,13228937543,13364545985,13134601401,13351112567,13290895047,13387276739,12954358619,13354764068,13074380034,13486762730,13231762254,13162823066,13522799538,13470535078
345,12968618691,13405055060,13405635068,13072988695,12891082974,13380029225,13171420991,13523192987,13206461908,13315681980,13253130712,13216658414,13196154404,13731972310,13346835909,12941696457,13337048136,12913020482,13254001847,13389652460,13159753822,13377428767,13313697899,13412172882,12986501608,13388709411,13105995363,13522079239,13262429929,13194298270,13559167739,13503640293
346,12990231705,13439738011,13434468659,13105400912,12911009992,13412960831,13205826411,13556867881,13250075600,13351892870,13281486702,13254139879,13226502739,13766758218,13378694723,12976879322,13373423418,12944738944,13281602933,13417024610,13187934219,13404885849,13341851940,13441087129,13020875655,13422894196,13142546139,13555875906,13297085741,13225822576,13593267721,13534282708
347,13017913406,13462298271,13458197913,13131615781,12940367463,13442182658,13230113643,13585576982,13262703520,13373076055,13305911036,13273084673,13248207079,13790153682,13400186916,12994485374,13400986177,12972392136,13312780446,13446867744,13217220887,13437221721,13373592978,13468497349,13038179973,13443433695,13160805041,13574964803,13319188059,13248569151,13612688448,13558416246
348,13042833945,13487361974,13483409668,13155757393,12964203374,13467894941,13256132893,13610935039,13296473573,13410160453,13341652258,13305098184,13280944097,13828617214,13438176825,13031167518,13424301364,12996737646,13341252141,13476324393,13246430428,13465141423,13402555184,13500387180,13075122386,13477665400,13197940268,13614062407,13350717924,13285247538,13646484765,13594634497
349,13086904383,13534000965,13528581425,13201242364,13008582483,13511812135,13303037286,13655918829,13334866348,13443349323,13377505941,13343606046,13318607794,13863394214,13472470431,13065737319,13450032991,13020741304,13366942530,13502044370,13272103234,13490677535,13427530641,13525613461,13107935289,13517746079,13231781545,13650770266,13391262863,13321085062,13685502022,13632001191
350,13120952159,13567057738,13566802966,13232420110,13038617883,13544134007,13334024103,13691607448,13376018296,13486467202,13415012911,13381815149,13358130192,13901503859,13515635527,13105279675,13496372698,13065891068,13410826204,13546744802,13316054397,13535447814,13471109337,13573258535,13150646358,13556926888,13273071279,13686293776,13428960914,13362622691,13730976704,13675878704
351,13145747852,13597007360,13593455622,13262822050,13067618037,13575618616,13363450907,13721825884,13395453432,13506533108,13439385168,13406512714,13381177906,13928610834,13535347359,13124615913,13528739034,13094865146,13441973108,13579439905,13345610708,13569380614,13503271618,13603278312,13169497557,13578911687,13293888373,13710579730,13452600954,13381731025,13749745211,13695351368
352,13184625970,13637714452,13632883603,13300081112,13106067953,13619649812,13406109677,13761975465,13436131367,13549878219,13481491485,13455209393,13425402364,13978285437,13584992957,13168475395,13556880462,13124727421,13472001998,13607349842,13374937132,13596174620,13532911111,13630468866,13212678573,13624419188,13337885331,13754461736,13496548973,13425449017,13792504665,13739138057
353,13214174499,13666764799,13663634425,13329892342,13135406564,13645274654,13432025607,13791441138,13466497273,13578973526,13510963552,13478468035,13453526641,14002447321,13609199789,13195165597,13599923915,13165609767,13514074095,13650141251,13417011725,13640072049,13572745412,13674030784,13241813216,13652446282,13365993893,13786158876,13525082767,13453862824,13824001227,13769364562
354,13242732112,13695103160,13691070407,13358390090,13162350191,13675727400,13458758727,13819823356,13501213014,13610813964,13547710327,13510046723,13483801460,14035695408,13643563236,13224242592,13629159795,13194749205,13543462922,13681897912,13446465218,13669568431,13605156702,13703701680,13274147596,13687091092,13398805786,13822891160,13560080093,13489029961,13861258360,13801239932
355,13276638930,13732346257,13726382284,13390537395,13195899680,13711372641,13495910229,13856174148,13539123784,13648849429,13580305529,13549347443,13522678884,14072172172,13679825549,13262401298,13658329790,13224594131,13573744310,13707647250,13472536486,13697014604,13632183109,13730832614,13311978539,13727999999,13435537586,13858550612,13597537559,13523913641,13899871736,13842047128
356,13311857118,13765914268,13759753683,13428023982,13227568474,13743129442,13529157686,13890780770,13563782946,13678739064,13610565297,13577047042,13550998367,14104405886,13708880504,13289106399,13694161113,13255997459,13608436752,13746192687,13509545746,13733616780,13669039306,13768839382,13337596603,13751842455,13462603364,13886233597,13622978046,13552217962,13925911783,13868346953
357,13341125900,13797311710,13792174219,13457694778,13260087500,13776459364,13562254897,13922130755,13600453650,13715668444,13644492275,13612116612,13588034701,14139025308,13743603794,13324613178,13727817369,13293848568,13641833451,13777926626,13543308828,13768876929,13703637189,13801046838,13376003695,13788732907,13497990186,13923975436,13662358045,13590444735,13961189784,13904796952
358,13375619606,13836161407,13828859659,13492978536,13295836148,13812973779,13597978233,13959697327,13629473416,13745897755,13677396602,13642418546,13617084120,14172920173,13774887648,13352920171,13761085477,13320256339,13673479844,13811205293,13574501479,13800928557,13732990641,13832597098,13404066474,13820725387,13528185656,13954381874,13689003788,13618064915,13994786135,13936146791
