stat_bytes_used,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
56,472907374592,490275897344,490560897024,476800946176,469797736448,489443811328,480551530496,495171502080,482092879872,487417851904,483766931456,482270068736,481373708288,501404770304,487304110080,472218546176,489354649600,472688308224,485649121280,490369830912,481525620736,490764230656,487869554688,490861989888,474476552192,488976908288,478466527232,494740901888,484365271040,482608848896,496156459008,493233401856
57,472907374592,490275897344,490560897024,476800946176,469797736448,489443811328,480551530496,495171502080,482092838912,487417851904,483766931456,482270068736,481373708288,501404770304,487304048640,472218546176,489354649600,472688308224,485649121280,490369830912,481525620736,490764230656,487869554688,490861989888,474476552192,488976969728,478466527232,494740901888,484365332480,482608848896,496156459008,493233401856
58,472907374592,490275897344,490560897024,476801007616,469797675008,489443811328,480551530496,495171502080,482092838912,487417851904,483766931456,482270068736,481373708288,501404770304,487304048640,472218546176,489354649600,472688308224,485649121280,490369830912,481525620736,490764230656,487869554688,490861989888,474476490752,488976969728,478466527232,494740901888,484365332480,482608848896,496156459008,493233401856
59,472907374592,490275897344,490560897024,476801007616,469797675008,489443811328,480551469056,495171502080,482092838912,487417851904,483766931456,482270068736,481373708288,501404770304,487304048640,472218546176,489354649600,472688308224,485649121280,490369830912,481525620736,490764230656,487869554688,490861989888,474476490752,488976969728,478466527232,494740901888,484365332480,482608848896,496156459008,493233401856
60,472907374592,490275897344,490560897024,476801007616,469797675008,489443811328,480551469056,495171502080,482092838912,487417851904,483766931456,482270068736,481373708288,501404708864,487304048640,472218546176,489354649600,472688308224,485649121280,490369830912,481525620736,490764230656,487869554688,490861989888,474476490752,488976969728,478466527232,494740901888,484365271040,482608848896,496156459008,493233401856
61,472907374592,490275897344,490560897024,476801007616,469797675008,489443811328,480551469056,495171502080,482092838912,487417851904,483766931456,482270068736,481373708288,501404708864,487304048640,472218546176,489354649600,472688308224,485649121280,490369830912,481525620736,490764230656,487869554688,490861989888,474476552192,488976969728,478466527232,494740901888,484365271040,482608848896,496156459008,493233401856
62,472907436032,490275897344,490560897024,476801007616,469797675008,489443811328,480551469056,495171502080,482092961792,487417851904,483766931456,482270130176,481373708288,501404708864,487304048640,472218546176,489354649600,472688308224,485649121280,490369830912,481525620736,490764230656,487869554688,490861989888,474476552192,488976969728,478466527232,494740901888,484365271040,482608848896,496156459008,493233401856
63,472907436032,490275897344,490560897024,476800946176,469797736448,489443811328,480551469056,495171502080,482092961792,487417851904,483766931456,482270130176,481373708288,501404770304,487304048640,472218546176,489354649600,472688308224,485649121280,490369830912,481525620736,490764230656,487869554688,490861989888,474476552192,488976969728,478466527232,494740901888,484365271040,482608848896,496156459008,493233401856
64,472907436032,490275897344,490560897024,476800946176,469797736448,489443811328,480551469056,495171502080,482092838912,487417851904,483766931456,482270130176,481373708288,501404708864,487304048640,472218546176,489354649600,472688308224,485649121280,490369830912,481525620736,490764230656,487869554688,490861989888,474476552192,488976969728,478466527232,494740901888,484365271040,482608910336,496156459008,493233401856
65,472907436032,490275958784,490560897024,476800946176,469797675008,489443811328,480551469056,495171502080,482092838912,487417851904,483766931456,482270130176,481373708288,501404770304,487304048640,472218546176,489354649600,472688308224,485649121280,490369830912,481525620736,490764230656,487869554688,490861989888,474476490752,488976908288,478466527232,494740901888,484365271040,482608910336,496156459008,493233401856
66,472907436032,490275958784,490560958464,476800946176,469797675008,489443811328,480551469056,495171502080,482092838912,487417851904,483766931456,482270068736,481373708288,501404770304,487304048640,472218546176,489354649600,472688308224,485649121280,490369830912,481525620736,490764230656,487869554688,490861989888,474476490752,488976908288,478466527232,494740901888,484365271040,482608910336,496156459008,493233401856
67,472907436032,490275897344,490560897024,476800946176,469797675008,489443811328,480551469056,495171502080,482092838912,487417851904,483766931456,482270068736,481373708288,501404770304,487304048640,472218546176,489354649600,472688308224,485649121280,490369830912,481525620736,490764230656,487869554688,490861989888,474476490752,488976908288,478466527232,494740901888,484365271040,482608910336,496156459008,493233401856
68,472907436032,490275897344,490560897024,476800946176,469797675008,489443811328,480551469056,495171502080,482092838912,487417851904,483766931456,482270068736,481373708288,501404770304,487304048640,472218546176,489354649600,472688308224,485649121280,490369830912,481525620736,490764230656,487869554688,490861989888,474476490752,488976908288,478466527232,494740901888,484365271040,482608848896,496156459008,493233463296
69,472907374592,490275897344,490560897024,476801007616,469797675008,489443811328,480551469056,495171502080,482092838912,487417851904,483766931456,482270068736,481373708288,501404770304,487304048640,472218546176,489354649600,472688308224,485649121280,490369830912,481525620736,490764230656,487869554688,490861989888,474476490752,488976908288,478466527232,494740901888,484365271040,482608848896,496156459008,493233401856
