txpck/s,ceph01,ceph02,ceph03,ceph04
139,368007.0,364704.0,363707.0,371433.0
140,312250.0,297163.0,291019.0,295031.0
141,293511.0,300314.0,308900.0,284793.0
142,260613.0,243570.0,232886.0,248099.0
143,372842.0,358694.0,349539.0,370564.0
144,331006.0,321322.0,318645.0,321110.0
145,304931.0,308049.0,315648.0,288900.0
146,294497.0,286893.0,276020.0,290657.0
147,234576.0,221286.0,219683.0,226682.0
148,265513.0,265927.0,267018.0,269314.0
149,416331.0,396328.0,385370.0,404554.0
150,356104.0,348780.0,347754.0,339372.0
151,274951.0,276586.0,272565.0,266424.0
152,287102.0,300035.0,295931.0,291659.0
153,289620.0,285005.0,286627.0,274857.0
154,357932.0,326225.0,313393.0,341874.0
155,406070.0,389129.0,386433.0,389660.0
156,393620.0,411054.0,417591.0,390299.0
157,301321.0,284202.0,282802.0,296041.0
158,333558.0,327023.0,316435.0,325233.0
159,294028.0,272875.0,273114.0,279383.0
160,259445.0,256209.0,253390.0,250340.0
161,442652.0,449203.0,442579.0,447695.0
162,405907.0,400559.0,402494.0,392878.0
163,268812.0,263366.0,266808.0,256260.0
164,303158.0,272515.0,260015.0,286958.0
165,284853.0,306791.0,317327.0,284436.0
166,322277.0,314390.0,311604.0,319985.0
167,350723.0,323106.0,309171.0,332944.0
168,361314.0,350128.0,345909.0,347250.0
169,258833.0,242362.0,256051.0,243475.0
170,290758.0,313102.0,311509.0,285628.0
171,311949.0,292892.0,289062.0,301942.0
172,301605.0,278936.0,261403.0,289412.0
173,276339.0,279578.0,283584.0,266600.0
174,392079.0,382123.0,380829.0,373901.0
175,312200.0,321027.0,310632.0,318526.0
176,272705.0,266445.0,274581.0,258477.0
177,353963.0,345323.0,338419.0,340021.0
178,287039.0,262470.0,247548.0,286290.0
179,297150.0,312579.0,320277.0,288285.0
180,315592.0,299247.0,291397.0,309206.0
181,279868.0,286076.0,283585.0,267561.0
182,359352.0,337571.0,323650.0,343047.0
183,298827.0,297879.0,301685.0,292437.0
184,329004.0,326730.0,334008.0,326532.0
185,309972.0,295334.0,291622.0,297113.0
186,297531.0,292601.0,285820.0,291928.0
187,344248.0,323419.0,326332.0,331120.0
188,334871.0,323828.0,320741.0,330717.0
189,361262.0,366719.0,372413.0,356950.0
190,352065.0,355839.0,349976.0,336257.0
191,339645.0,325379.0,327429.0,331260.0
192,242536.0,226482.0,226155.0,234897.0
193,384162.0,377802.0,365969.0,379904.0
194,345481.0,329509.0,329452.0,333335.0
195,403583.0,402222.0,405456.0,393801.0
196,342938.0,325331.0,312977.0,337316.0
