kbmenfree,ceph01,ceph02,ceph03,ceph04
245,84067576.0,64198332.0,84194872.0,64951056.0
246,83867312.0,64099272.0,84014148.0,64783832.0
247,83851256.0,63894816.0,83848000.0,64618288.0
248,83752676.0,63740332.0,83721136.0,64495744.0
249,83627952.0,63553796.0,83610728.0,64420540.0
250,83582004.0,64223512.0,83575328.0,64381384.0
251,83289408.0,63855196.0,83322744.0,64162460.0
252,83149308.0,63626132.0,83108288.0,63999256.0
253,82934400.0,63554968.0,83018264.0,63856848.0
254,82751932.0,63389552.0,82853116.0,63670484.0
255,83443412.0,63351996.0,82919132.0,63639500.0
256,83315404.0,63228608.0,82757112.0,64229888.0
257,83092116.0,62981840.0,82568676.0,64754024.0
258,82851444.0,63487380.0,83694084.0,65338444.0
259,83368292.0,64002000.0,83690500.0,65128176.0
260,84639640.0,64566576.0,84264052.0,64843416.0
261,85141176.0,64239636.0,84833236.0,65285736.0
262,84866688.0,63892504.0,84574596.0,65804256.0
263,84541132.0,65829676.0,85002464.0,65620760.0
264,84960580.0,66090380.0,85643568.0,65421128.0
265,85154784.0,65921404.0,86160208.0,65174668.0
266,84862392.0,65732856.0,86131372.0,64953288.0
267,84599940.0,65532264.0,85942048.0,65443800.0
268,84434012.0,65335056.0,85720580.0,65219984.0
269,84925264.0,65150196.0,85484108.0,64996324.0
270,84678248.0,64938636.0,85274804.0,65536928.0
271,84419928.0,64715928.0,85057564.0,65313080.0
272,84979532.0,64481164.0,84804008.0,65089836.0
273,84752320.0,65061256.0,84553248.0,64802812.0
274,84555456.0,64871548.0,84301476.0,64614660.0
275,84329296.0,64648060.0,84041312.0,65154080.0
276,84103376.0,64440084.0,84530276.0,64944196.0
277,83873856.0,64445808.0,84487812.0,64726900.0
278,83611724.0,64238684.0,84239100.0,64469732.0
279,83314328.0,63955040.0,83929148.0,64149128.0
280,83117212.0,63766752.0,83706912.0,64015884.0
281,82993532.0,63575008.0,83487424.0,63826464.0
282,82764944.0,63345240.0,83248488.0,63601452.0
283,82562180.0,63180096.0,83052492.0,63388864.0
284,82338740.0,63003600.0,82801456.0,63172952.0
285,81983592.0,63630084.0,82490144.0,62905524.0
286,81741996.0,63454736.0,82241964.0,62668920.0
287,81518000.0,63260428.0,81976104.0,62462208.0
288,81306180.0,63212100.0,81874284.0,62296512.0
289,81853776.0,63080784.0,81591612.0,62084868.0
290,83046772.0,62909336.0,81328696.0,61810756.0
291,82975452.0,62746396.0,81110348.0,61764208.0
292,82945884.0,62592444.0,81709936.0,62240428.0
293,82772064.0,63211684.0,81467096.0,62793060.0
294,82653052.0,63084300.0,81325208.0,62620096.0
295,82550276.0,63014432.0,81995328.0,62531148.0
296,82272608.0,62742152.0,81651944.0,62212636.0
297,82140940.0,62607344.0,81477536.0,62027032.0
298,82134052.0,62544380.0,81378900.0,62713896.0
299,82009028.0,62390944.0,81210696.0,62590060.0
300,81937308.0,62277228.0,81618172.0,62509576.0
301,81864316.0,62220004.0,81849992.0,62421444.0
302,81689452.0,62066164.0,81705208.0,62296912.0
303,81563220.0,61986256.0,81583580.0,62199916.0
304,81477356.0,61913052.0,81495208.0,62111628.0
305,81325264.0,61770764.0,81309404.0,61927676.0
306,81169044.0,61646984.0,81162016.0,61773076.0
307,80974528.0,61517060.0,81013252.0,61692520.0
308,80812120.0,61370188.0,80827712.0,61508388.0
309,80713812.0,61262580.0,80704904.0,61403448.0
310,80641600.0,61175192.0,80644432.0,61322348.0
311,80597468.0,61092540.0,80569736.0,61231328.0
312,80466556.0,60901932.0,80412492.0,61116900.0
313,80389040.0,60936100.0,80448628.0,61003648.0
314,80209808.0,60791316.0,80302948.0,60891612.0
315,80059468.0,60684796.0,80175092.0,60813788.0
316,80057720.0,60583408.0,80036228.0,60619684.0
317,79966036.0,60469100.0,79950044.0,60473548.0
318,79804328.0,60308484.0,79772044.0,60383028.0
319,79695224.0,60186624.0,79698180.0,60232764.0
320,79562200.0,60050184.0,79517344.0,60141236.0
321,79472292.0,59935712.0,79443740.0,60081496.0
322,79312928.0,59815456.0,79288312.0,59959392.0
323,79219772.0,59635716.0,79180264.0,59869460.0
324,79034752.0,59538348.0,79020808.0,59732268.0
325,78914744.0,59338592.0,78830108.0,59620452.0
326,78725752.0,59283796.0,78688176.0,59474652.0
327,78486896.0,59025584.0,78426876.0,59264596.0
328,78399012.0,58903468.0,78331124.0,59170220.0
329,78353856.0,58828976.0,78289884.0,59131180.0
330,78169116.0,58636220.0,78136844.0,58995656.0
331,77993056.0,58439576.0,77929060.0,58787096.0
332,77888164.0,58451192.0,77951952.0,58685724.0
333,77770092.0,58329104.0,77811784.0,58535080.0
334,77653244.0,58242648.0,77748272.0,58538052.0
335,77484740.0,58111752.0,77625536.0,58441972.0
336,77443564.0,57961360.0,77480152.0,58297164.0
337,77320132.0,57818228.0,77346192.0,58086152.0
338,77249552.0,57780956.0,77251824.0,58002044.0
339,77145976.0,57602648.0,77102892.0,57919216.0
340,77049024.0,57469108.0,77022752.0,57917892.0
341,76912124.0,57287088.0,76880808.0,57826988.0
342,76744428.0,57172604.0,76684340.0,57692780.0
343,76606376.0,57039892.0,76489160.0,57524144.0
344,76544396.0,57084788.0,76525828.0,57426364.0
345,76444552.0,56989320.0,76387680.0,57346484.0
346,76291268.0,56847840.0,76214860.0,57266252.0
347,76053452.0,56676892.0,76144880.0,57154788.0
348,75949768.0,56574708.0,76063844.0,57037548.0
349,75840368.0,56471516.0,75950292.0,56894808.0
350,75709780.0,56315228.0,75764180.0,56715936.0
351,75593736.0,56259364.0,75662612.0,56595692.0
352,75475356.0,56091348.0,75542744.0,56543068.0
353,75451200.0,55941656.0,75428056.0,56424484.0
354,75320576.0,55775224.0,75297936.0,56268408.0
355,75152372.0,55634168.0,75135712.0,56141108.0
356,75103352.0,55480744.0,74984312.0,55996620.0
357,75034076.0,55588524.0,75071296.0,55896532.0
358,74875096.0,55409528.0,74935016.0,55722156.0
359,74697248.0,55207612.0,74734740.0,55502820.0
360,74591168.0,55019504.0,74583688.0,55424576.0
361,74500556.0,54914340.0,74452820.0,55335340.0
362,74381300.0,54814660.0,74319184.0,55184980.0
363,74284716.0,54747320.0,74207944.0,55099044.0
364,74041204.0,54514768.0,73899088.0,54860692.0
365,73760288.0,54279760.0,73675996.0,54633228.0
366,73669676.0,54119064.0,73538908.0,54517108.0
367,73576868.0,54143528.0,73621820.0,54466236.0
368,73426744.0,54077228.0,73564740.0,54404952.0
369,73407756.0,53983448.0,73460620.0,54318844.0
370,73331108.0,53872424.0,73316444.0,54221584.0
371,73194080.0,53683984.0,73156900.0,54020732.0
372,73039408.0,53492588.0,72974892.0,53896032.0
373,73026752.0,53450964.0,72935364.0,53895548.0
374,72937244.0,53369640.0,72870416.0,53769912.0
