journal_queue_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
213,0,54603,0,6095,0,6011,24296,36486,0,424298,0,0,0,48508,0,0,0,18285,43722,6011,36486,0,0,18117,0,0,0,12190,6095,0,18201,6011
214,121564,6095,0,0,18201,6011,0,0,12106,0,0,0,0,0,0,0,6011,12190,297395,58179,0,12190,0,30391,0,0,278942,0,6011,0,78647,0
215,0,0,6011,42581,18201,36486,54519,0,0,0,0,0,6011,0,0,0,0,0,0,0,0,0,418875,452338,0,0,0,0,6095,0,0,6095
216,30307,0,6095,6095,0,6011,6095,0,0,0,0,42497,0,84910,0,0,0,0,0,0,48340,0,0,6095,24296,0,0,0,0,0,1090297,60446
217,0,0,0,6095,0,0,0,0,24380,0,0,0,612823,0,0,12106,273267,0,0,0,0,0,0,12106,6095,24128,0,54519,18033,6011,801180,0
218,6011,0,0,0,6095,30307,486473,0,0,0,0,0,0,0,224927,0,6095,12106,0,0,6011,60866,0,0,0,18201,0,0,42413,0,6011,6095
219,0,12190,0,0,0,0,0,6095,0,6095,0,0,0,6095,60782,616315,54603,0,349395,327702,0,0,0,0,206390,0,0,0,97268,6095,0,18117
220,0,0,12106,0,6095,0,6095,0,36150,0,36486,12022,12106,24044,6095,115385,66793,42413,0,6011,0,0,0,12190,0,6095,0,0,6011,0,30307,0
221,0,0,0,0,0,0,0,0,12190,0,0,6095,0,0,0,0,0,0,0,0,6011,0,97184,291384,0,0,24296,30391,90669,12190,0,0
222,0,0,0,0,0,0,0,0,0,0,673857,552041,0,6095,0,6011,21777,6095,6095,0,0,54687,36402,36150,0,0,0,0,0,0,539767,121312
