rMB/s,ceph01,ceph02,ceph03,ceph04
332,0.00625,0.0,0.0,0.0
333,0.0025,0.0,0.0,0.0
334,0.00125,0.00375,0.00125,0.00125
335,0.00125,0.0,0.0,0.0
336,0.00125,0.0,0.0,0.0
337,0.0,0.00125,0.0,0.0025
338,0.0,0.0025,0.0,0.0
339,0.0,0.0,0.0,0.00125
340,0.0,0.0,0.00125,0.0
341,0.0,0.0,0.0,0.0
342,0.0,0.0,0.0,0.0
343,0.0,0.0,0.0025,0.0
344,0.0,0.0,0.0,0.00125
345,0.0,0.0,0.0,0.0
346,0.00125,0.0,0.0,0.0
347,0.0,0.00125,0.0,0.0
348,0.0,0.0,0.00125,0.0
349,0.0,0.0,0.0,0.00125
350,0.0,0.0,0.0,0.0
351,0.00125,0.0025,0.0,0.0
352,0.0,0.0,0.00125,0.0
353,0.0,0.0,0.0,0.005
354,0.00125,0.0,0.0,0.0
355,0.0,0.0,0.0,0.0
356,0.0,0.0,0.0,0.0
357,0.0,0.0,0.0,0.00125
358,0.0,0.0,0.0,0.0
359,0.0,0.00125,0.00125,0.0
360,0.0025,0.0025,0.0,0.0
361,0.0,0.0,0.0,0.0
362,0.0,0.00125,0.0,0.0
363,0.0,0.0,0.00125,0.0
364,0.0,0.0025,0.00125,0.0
365,0.0,0.0025,0.00125,0.0025
366,0.0025,0.0025,0.00125,0.00125
367,0.0,0.00125,0.00125,0.0
368,0.0,0.0,0.0,0.00125
369,0.00125,0.0,0.0,0.00125
370,0.0,0.0,0.0,0.0
371,0.00125,0.00125,0.0,0.0
372,0.0,0.00125,0.0,0.0
373,0.0,0.00375,0.0,0.00125
374,0.0,0.0,0.0,0.0
375,0.0,0.0,0.0,0.0
376,0.0,0.0,0.00125,0.0
377,0.0,0.0025,0.0025,0.0
378,0.0,0.00125,0.0,0.0025
379,0.00125,0.0,0.0,0.0025
380,0.0,0.0,0.0,0.0025
381,0.0025,0.0,0.0,0.0
382,0.0,0.0,0.00375,0.0
383,0.0025,0.0,0.0,0.00125
384,0.0,0.0,0.0,0.0025
385,0.0,0.0,0.0,0.0
386,0.0,0.0,0.0,0.0
387,0.0,0.00125,0.0,0.0
388,0.0,0.0,0.0,0.0
389,0.0,0.00125,0.0,0.0
390,0.00125,0.0025,0.0,0.0
391,0.00125,0.0,0.00125,0.0
392,0.00125,0.0,0.0,0.00375
393,0.0025,0.0,0.0,0.0
394,0.00125,0.0,0.00125,0.0025
395,0.0,0.0025,0.0025,0.0
396,0.0,0.0,0.0,0.0
397,0.0,0.00125,0.00125,0.0
398,0.0,0.0,0.00125,0.0
399,0.0,0.0,0.0,0.0
