op_w,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
66,130441,142489,138727,127375,130134,143786,134417,129776,132091,142283,133982,137993,131387,139336,132814,137870,136842,135396,137667,135549,130367,134360,137347,132989,140459,135251,140152,141205,131555,132055,151349,135280
67,133035,145737,141491,129755,132523,146654,137063,132223,134607,145207,136457,140512,133760,142095,135303,140506,139453,137957,140422,138061,132556,137220,139721,135785,143077,137762,142597,143943,134492,134823,154066,137503
68,134968,147404,143351,131765,134588,148821,139091,134223,136628,147237,138625,142733,135873,144264,137443,142692,141555,140290,142248,140314,134851,139120,141914,137558,145397,140144,144915,146190,136141,136601,156503,139936
69,137077,149798,145772,133918,136715,151075,141245,136404,138652,149401,140653,144774,137980,146500,139481,144854,143786,142622,144514,142495,136951,141238,144080,139627,147512,142284,147216,148406,138176,138731,158876,142223
70,138928,151823,147544,135786,138671,153245,143310,138366,140808,151592,142689,146959,139908,148477,141416,146835,145766,144527,146510,144287,138781,143367,146057,141739,149610,144323,149270,150612,140084,140764,161087,144139
71,140438,153534,149141,137308,140208,155039,144981,139976,142401,153214,144240,148535,141440,150129,143016,148488,147396,146115,148155,145939,140413,145043,147647,143295,151359,145956,151010,152282,141622,142296,162848,145737
72,142505,155650,151302,139337,142078,157095,147220,141854,144491,155486,146345,150522,143540,152183,144989,150533,149453,148106,150146,147978,142338,146919,149723,145277,153594,147879,153062,154353,143615,144198,165048,147798
73,145084,158605,153940,141935,144774,160136,149627,144301,147145,158452,149055,153260,146154,155065,147768,153299,152184,150866,152939,150634,144940,149608,152395,148020,156284,150554,156030,157118,146243,146910,168169,150406
74,147740,161333,156569,144409,147354,162894,152319,146928,149724,161321,151725,155879,148764,157754,150366,155956,154874,153529,155691,153301,147623,152189,155223,150638,159190,153342,158762,159852,148928,149296,171057,153061
75,149999,163749,158884,146702,149674,165352,154623,149122,151874,163690,154078,158386,150935,160245,152548,158247,156991,155894,157943,155531,149750,154518,157489,152941,161602,155619,160963,162354,151167,151557,173449,155237
76,151457,165467,160442,148221,151212,167007,156169,150614,153380,165459,155664,159944,152462,161936,154127,159949,158644,157408,159600,157051,151254,156038,159135,154450,163146,157116,162602,163844,152671,153092,175246,156820
77,153410,167423,162554,149941,153030,169288,158151,152525,155288,167468,157755,161872,154305,163774,156094,161905,160492,159412,161653,158948,153196,158065,161029,156343,165108,159193,164662,166051,154563,154979,177437,158775
78,155678,169939,164840,152133,155214,171717,160508,154739,157532,169998,160067,164380,156581,166300,158392,164352,162873,161558,163982,161226,155373,160290,163534,158597,167621,161453,167077,168316,156967,157290,180198,161078
79,158452,172807,167704,154917,157596,174769,162850,157494,160129,172741,162987,166943,158997,168988,160909,167451,165230,163929,166489,163542,157616,162837,165802,160906,170432,163933,170015,171179,159401,159704,183254,163382
80,160061,174691,169600,156605,159756,176705,165186,159228,162067,174771,164753,169086,161241,171057,163091,169012,167390,166308,168710,165859,159837,164823,168165,163135,172604,166203,171966,173260,161425,162012,185564,165771
81,162086,176881,171646,158657,161748,179005,167280,161155,164011,176868,166618,171265,163236,173131,165024,171105,169450,168380,170827,167962,161749,166948,170249,165177,174534,168258,174187,175363,163467,163953,187782,167886
82,163589,178614,173092,160072,163132,180635,168630,162583,165450,178484,168108,172704,164660,174870,166631,172652,170869,169697,172272,169365,163270,168418,171668,166605,176055,169905,175808,177024,164963,165508,189573,169376
83,165314,180434,175058,161770,164867,182690,170542,164304,167299,180495,169883,174582,166528,176508,168266,174578,172635,171571,174130,171228,164967,170047,173515,168370,178076,171713,177816,178957,166884,167250,191522,171324
84,168407,183789,178224,164915,167993,185921,173494,167291,170286,183635,172872,177676,169400,179861,171281,177656,175800,174781,177404,174388,167943,173137,176894,171129,181123,174685,180933,182091,169886,170120,194867,174279
85,170559,186391,180659,167148,170197,188644,176182,169666,173054,186230,175714,180227,171890,182718,174064,180368,178510,177513,180331,176800,170343,175671,179443,173785,183768,177275,183956,185091,172279,172993,197835,176912
86,172669,188556,182808,168897,172273,190864,178143,171732,174828,188603,177607,182560,174000,184563,175978,182314,180418,179386,182242,178934,172404,177728,181267,175865,185770,179321,185762,187030,174384,174729,200058,179218
87,173979,189801,184141,170141,173515,192311,179543,173024,176107,190015,178925,183941,175274,185991,177152,183679,181917,180779,183571,180253,173772,179257,182717,177390,187226,180711,187230,188465,175640,176193,201532,180470
88,175978,192015,186499,171929,175330,194630,181673,174922,177893,192144,180676,186030,177014,188098,179031,185854,183661,182663,185300,182036,175356,180845,184663,179068,189185,182588,189190,190359,177517,178425,203627,182783
89,177604,193700,188047,173613,177015,196398,183255,176558,179619,193952,182420,187658,178804,189735,180764,187519,185537,184388,187289,183786,177179,182742,186303,180849,191124,184369,191062,192265,179216,179721,205591,184128
90,180610,197144,191275,176418,179912,199645,186239,179656,182523,196966,185304,190774,181595,192826,183847,190579,188451,187324,190645,186635,180038,185858,189203,183754,194285,187333,194237,195658,182303,182776,209026,186950
91,182830,199484,193607,178836,182092,202322,188665,181811,184883,199484,187709,193177,184050,195132,186302,192812,190841,189637,192824,189025,182398,188096,191582,186043,196657,189765,196595,197821,184514,184955,211562,189382
92,184677,201599,195562,180807,184190,204358,190771,183797,186883,201629,189708,195278,185857,197299,188171,195008,193194,191569,194989,190936,184225,190099,193597,188110,198870,191969,198720,199999,186636,186915,213951,191416
93,186274,203394,197356,182510,185517,205949,192414,185307,188461,203154,191277,196814,187568,199233,189878,196660,194569,193072,196550,192694,185952,191611,195217,189640,200600,193396,200412,201735,188409,188522,215989,192987
94,188741,205967,199501,184572,188116,208656,194671,187641,190977,205923,193742,199702,189563,201096,191896,199086,196723,195128,198477,194891,187728,193657,197189,191663,202898,195904,202559,203971,190453,190785,218375,195399
95,190968,208599,202024,186736,189901,211017,197174,189896,193106,207922,196017,201552,192127,203765,194353,201405,199091,197190,200890,196885,189797,196028,199684,193889,205459,198432,204880,206463,192864,192993,221113,197694
96,193451,211361,204923,189090,192777,214715,199786,192601,195760,211037,198871,204285,194710,206466,197381,204590,202024,199928,203877,199819,192784,199243,202629,196767,208389,201685,207838,209353,195495,196371,224134,200333
97,195483,213539,206983,191139,194608,216371,201879,194653,197659,213213,200828,206479,196607,208705,199161,206554,204294,202465,206228,202231,194979,200972,204932,199035,210317,202995,209883,211558,197540,197683,226519,202474
98,197530,215811,209387,193216,196732,218690,204154,196882,199856,215581,203088,208833,198745,210907,201502,208841,206248,204529,208182,204257,196956,203145,206969,201074,212672,205336,212478,214037,199865,199990,229176,204754
99,200042,218146,211508,195283,198784,220879,206118,198725,202069,218241,205154,210820,200716,212870,203530,211477,208390,206613,210203,206209,199013,204914,209056,202867,215006,207505,214480,216467,201898,201984,231239,206933
100,201709,220662,213367,196943,200518,222896,208510,200955,203855,219873,206903,212904,203322,215349,205708,213049,210346,208467,212377,208219,200742,207058,211043,204974,217014,209422,217158,218458,203686,203746,234258,208840
101,203801,222725,215885,199218,203499,225435,210881,203263,206475,222210,209341,215353,205094,217828,207752,215460,212244,210597,214261,210432,202711,209127,212931,206880,219578,212083,219414,220958,205888,205980,236969,211361
102,206170,225288,218433,201530,205465,228021,213202,205337,208515,224856,211728,217828,207337,220074,210073,217930,214940,213371,217087,213042,205189,211934,216085,209525,221912,214259,221658,223186,208333,208505,239182,213526
